transit,proximity_score,access,street,neighbourhood,city,state,zipcode,market,smart_location,country_code,country,ZRENT,cost_property,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_score,amenities,square_feet,price,yearly_price,ROI,weekly_price,monthly_price,security_deposit,cleaning_fee,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_communication,review_scores_location,pets,first_review,apartment_age
,,"Everything.  :)  Ok, so the dresser in the master won't have any room for your stuff, but we'll leave a couple suitcase stands and a clothes rack so you for you to use","Austin, TX, United States",Cherry Creek,Austin,TX,78749,Austin,"Austin, TX",US,United States,"1,650.00",317121,30.20273,-97.84439,House,Entire home/apt,6,2,3,3,19,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher""}",1175,55,20075,-36.69608761,,,,150,0,0,0,48,97,10,10,1,25-07-2010,2010
Very close to bus and rail.,3,Small bedroom with single trundle bed and shared bathroom.,"Austin, TX, United States",Scofield Ridge,Austin,TX,78727,Austin,"Austin, TX",US,United States,"2,487.00",427246,30.4303,-97.69125,House,Private room,1,1,1,1,16,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Washer/Dryer,""Pets live on this property"",Dog(s),""Free street parking"",Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",132,35,12775,-70.09919344,200,350,100,0,1,1,20,74,97,10,10,1,26-05-2015,2015
"bus, bike, rental bike kiosks, walk, hike,Uber type autos",3,Yard by pond,"Austin, TX, United States",Bouldin Creek,Austin,TX,78704,Austin,"Austin, TX",US,United States,"1,850.00",760849,30.25671,-97.75412,Apartment,Entire home/apt,3,1,2,0,18,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,265,96725,27.12772179,,,300,40,9,9,9,10,94,10,10,1,07-09-2010,2010
"If you chose to forgo a car, public transportation is nearby (see bus info below).   Many of our guests use ride sharing services.   We recommend RideAustin, but we also have Uber and Lyft in the city.  Or you can rent bicycles from us (need to arrange in advance). We also have point to point bike share service, Austin B Cycle, with a station only 5 blocks from our house at Oyster Landing (3825 Lake Austin Blvd).  Made for quick trips around central Austin, B-cycle has hundreds of bikes and more than 60 stations. Or you can rent bicycles from many bike shops (we can provide info) Bike lanes are nearby our home. A Capital Metro Route 18 bus stop is a few blocks away, with direct access to UT and downtown restaurants and bars. •Capital Metro Bus Stop for MLK/Enfield Route 18 is 5 blocks away with route to downtown, including 6th street and Convention Center. •UT Shuttle Bus Stop for Late Austin Route 663 is 1 mile away Our guests sometimes use Car2Go (requires membership), enabling you t",5,"We use a keypad coded lock.  After we give you the code you can access the apartment at your convenience. You have exclusive use of your bedroom, short hallway, bathroom and closet, with no access to the main house.","Austin, TX, United States",Tarrytown,Austin,TX,78703,Austin,"Austin, TX",US,United States,"4,500.00",1197081,30.29923,-97.77789,House,Entire home/apt,2,1,1,1,30,"{TV,Internet,Wifi,""Air conditioning"",""Free parking on premises"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed""}",1300,59,21535,-82.01040698,,,0,20,7,18,37,75,99,10,10,1,12-03-2014,2014
,,,"Austin, TX, United States",Northwest Hills,Austin,TX,78731,Austin,"Austin, TX",US,United States,"3,900.00",846039,30.35141,-97.76323,House,Entire home/apt,4,2,2,2,16,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Shampoo,Hangers,Iron}",2000,350,127750,50.99776724,,,400,,29,59,89,364,98,10,10,0,28-02-2011,2011
"If you chose to forgo a car, public transportation is nearby (see bus info below).   Many of our guests use ride sharing services.   We recommend RideAustin, but we also have Uber and Lyft in the city.  Or you can rent bicycles from us (need to arrange in advance). We also have point to point bike share service, Austin B Cycle, with a station only 5 blocks from our house at Oyster Landing (3825 Lake Austin Blvd).  Made for quick trips around central Austin, B-cycle has hundreds of bikes and more than 60 stations. Or you can rent bicycles from from the following: -Mellow Johnny's Bike Shop - downtown -Barton Springs Bike Rental - Zilker Park area Bike lanes are nearby our home. A Capital Metro Route 18 bus stop is a few blocks away, with direct access to UT and downtown restaurants and bars. •Capital Metro Bus Stop for MLK/Enfield Route 18 is 5 blocks away with route to downtown, including 6th street and Convention Center. •UT Shuttle Bus Stop for Late Austin Route 663 is 1 mile away Ou",5,We use a keypad coded lock.  After we give you the code you can access the apartment at your convenience.,"Austin, TX, United States",Tarrytown,Austin,TX,78703,Austin,"Austin, TX",US,United States,"4,500.00",1197081,30.29923,-97.77789,House,Entire home/apt,4,1,1,2,36,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free parking on premises"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed""}",,105,38325,-67.98462259,700,3100,0,40,7,13,38,126,99,10,10,0,14-10-2010,2010
"There are two bus stops at each end of street that can take you downtown and back.  The fast MetroRail is in the Domain shopping center location 5 min. away. If I am available and its not during traffic hours, I can pick you up or take you to airport for 20.00. Advance notice is needed.",3,"You have access to your room, bathroom,  shower, washer and dryer in garage, and the kitchen.   You will have access to the full kitchen, stove, refrigerator, utensils, dishes, cooking pans, and coffee maker.  There is  wireless Internet in the house.  There is a TV in your room for local television.  Big screen TV in the living room to watch Netflix or Amazon movies is available for your use.  There is no storage for things in my garage.  All things must fit in your room. Please only bring laptop or computer, clothes, toiletries, etc.  No furniture. Room is fully furnished.  If you have a bike, bring a cover for it.  There is room in the backyard for it but it won't be covered.","Austin, TX, United States",,Austin,TX,78758,Austin,"Austin, TX",US,United States,"1,445.00",375202,30.37641,-97.70926,House,Private room,1,1,1,0,31,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Gym,""Pets live on this property"",Dog(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Dishes and silverware"",""Cooking basics"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",1200,36,13140,-64.97886472,500,1200,150,100,30,60,71,248,100,10,10,1,19-03-2019,2019
"Super easy and inexpensive public bus (#7 runs from William Cannon in the south, all the way through downtown, the Capitol, UT campus, and end of line at Highland Mall) available to get around...pickup to downtown around the corner on Teri Lane in front of the mini mart, and drops across the street on Teri as well). Lyft from airport 15; Lyft to downtown 13; Lyft to SoCo district 8-10",3,Studio is private and independent in-law style apartment attached to my main residence.,"Austin, TX, United States",McKinney,Austin,TX,78744,Austin,"Austin, TX",US,United States,"1,600.00",228162,30.20093,-97.75318,Guest suite,Entire home/apt,2,1,1,1,25,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Single level home""}",,40,14600,-36.01037859,275,900,0,0,2,21,38,298,96,10,10,0,09-10-2010,2010
Several buslines are close by but most things are walkable.,3,"Everything in the house, a parking spot, a guest parking tag, and a bicycle!","Austin, TX, United States",West Campus,Austin,TX,78705,Austin,"Austin, TX",US,United States,"2,078.00",310000,30.28625,-97.75022,Condominium,Entire home/apt,2,1,2,0,20,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Fire extinguisher"",Shampoo,""Hair dryer"",""Self check-in"",Lockbox,""Hot water"",""Coffee maker"",Refrigerator,""Dishes and silverware""}",650,130,47450,53.06451613,1000,2000,,50,15,45,73,327,97,10,10,0,25-10-2010,2010
City Bus at end of street takes you DT in 6 minutes. Walk to ACL Festival LESS than 2 miles from the park.,4,,"Austin, TX, United States",Clarksville,Austin,TX,78703,Austin,"Austin, TX",US,United States,"1,850.00",1000000,30.28188,-97.76413,Townhouse,Entire home/apt,6,2.5,3,3,31,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Washer/Dryer,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Host greets you""}",1700,500,182500,82.5,,,1000,100,21,47,77,352,100,10,10,0,25-04-2011,2011
,,,"Austin, TX, United States",Travis Heights,Austin,TX,78704,Austin,"Austin, TX",US,United States,"1,510.00",203677,30.2444,-97.75121,Apartment,Entire home/apt,2,1,0,0,29,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Garden or backyard"",""Shower gel""}",,150,54750,168.8079656,1500,4000,0,50,17,42,71,71,98,10,10,1,16-03-2011,2011
"I always recommend a car in Austin.  The closest bus stop is a half mile away.  Airport cab is about 30 or the local public Airport flyer bus to Riverside and Congress.  Uber from airport is 20 something.  Taxi from that location is probably less that 10.00 or a long walk to bike rental 1/2 mile from my home. Here are some local resources. BICYCLE RENTAL Barton Springs Bike Rental Spinster CAR RENTALS Car Rentals website for airport rentals Enterprise Rent a Car Austin Car2Go – (Often seen parked in the neighborhood.)   With free parking around Austin, you only have to pay for the time you   are actually driving the car. (.41/minute)  You will need to go online, join, and get your Car2Go ID card to use the system. NO monthly fees.  Public Transportation Capital Metro---Contact the Go-Line for all info This number will direct you to where you need to go via routes and stops closest to where you are. One Way Pass 1.25 Day Pass 2.50 Local Cab Companies: Yellow Cab, Fasten, or Lyft (U",2,,"Austin, TX, United States",Zilker,Austin,TX,78704,Austin,"Austin, TX",US,United States,"3,400.00",779616,30.25596,-97.76866,Guesthouse,Entire home/apt,6,1,1,3,21,"{Wifi,""Air conditioning"",""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Coffee maker"",Refrigerator,""Garden or backyard"",""Luggage dropoff allowed"",Other}",265,99,36135,-53.65025859,,,200,29,19,42,65,340,98,10,10,1,02-01-2011,2011
