,id,zipcode,bedrooms,bathrooms,price,neighbourhood_cleansed,latitude,longitude,property_type,room_type,is_location_exact,address
38,21091571,,3.0,3.0,$264.00,Palo Alto,37.41713,-122.13054,Condominium,Entire home/apt,f,"3885 CA-82, Palo Alto, CA 94306, USA"
39,21094846,,3.0,2.5,$208.00,Sunnyvale,37.371959999999994,-122.05951999999999,Condominium,Entire home/apt,f,"695 S Knickerbocker Dr, Sunnyvale, CA 94087, USA"
40,21135866,,3.0,3.0,$264.00,Palo Alto,37.417759999999994,-122.12969,Condominium,Entire home/apt,f,"438 Ventura Ave, Palo Alto, CA 94306, USA"
41,21138426,,3.0,3.0,$264.00,Palo Alto,37.41689,-122.13152,Condominium,Entire home/apt,f,"3847 La Selva Dr, Palo Alto, CA 94306, USA"
42,21400047,95008,2.0,1.0,$120.00,Campbell,37.293279999999996,-121.92788,Townhouse,Entire home/apt,t,"441 April Way, Campbell, CA 95008, USA"
43,21580564,,2.0,2.0,$173.00,Sunnyvale,37.40128,-122.01448,Condominium,Entire home/apt,f,"1162 Morse Ave, Sunnyvale, CA 94089, USA"
44,21679339,95054,1.0,1.5,$145.00,Santa Clara,37.402879999999996,-121.94979,Townhouse,Entire home/apt,t,"4513 Laird Cir, Santa Clara, CA 95054, USA"
45,21739480,,1.0,1.0,$166.00,Mountain View,37.40764,-122.11222,Condominium,Entire home/apt,f,"2650 California St, Mountain View, CA 94040, USA"
46,21999297,94306,1.0,1.0,$119.00,Palo Alto,37.4194,-122.1266,Condominium,Entire home/apt,t,"3931 Park Blvd, Palo Alto, CA 94306, USA"
47,22031678,95035,2.0,2.0,$120.00,Milpitas,37.4237,-121.91208,Townhouse,Entire home/apt,t,"383 Rio Verde Pl, Milpitas, CA 95035, USA"
48,22567710,95035,1.0,1.0,$148.00,Milpitas,37.41645,-121.89016000000001,Condominium,Entire home/apt,f,"598 Gibraltar Dr, Milpitas, CA 95035, USA"
49,23274396,95131,2.0,2.0,$188.00,San Jose,37.38165,-121.89726999999999,Townhouse,Entire home/apt,t,"Unnamed Road, San Jose, CA 95131, USA"
50,23547243,95112,1.0,1.0,$145.00,San Jose,37.36564,-121.91185,Condominium,Entire home/apt,f,"1700 N 1st St, San Jose, CA 95112, USA"
51,23963168,,2.0,2.0,$217.00,Mountain View,37.40508,-122.10388999999999,Condominium,Entire home/apt,f,"49 Showers Dr, Mountain View, CA 94040, USA"
52,24178220,94041,2.0,1.0,$223.00,Mountain View,37.394740000000006,-122.08563000000001,Condominium,Entire home/apt,t,"300 Mountain View Ave, Mountain View, CA 94041, USA"
53,24181843,94041,2.0,1.0,$250.00,Mountain View,37.39467,-122.08593,Condominium,Entire home/apt,t,"1335 W Dana St, Mountain View, CA 94041, USA"
54,24303312,,1.0,1.0,$159.00,Mountain View,37.40746,-122.11092,Condominium,Entire home/apt,f,"230 San Antonio Cir, Mountain View, CA 94040, USA"
55,24317835,95035,2.0,2.0,$169.00,Milpitas,37.451859999999996,-121.90773,Condominium,Entire home/apt,t,"121 Rose Dr, Milpitas, CA 95035, USA"
56,24353440,,1.0,1.0,$149.00,Mountain View,37.39696,-122.09903999999999,Condominium,Entire home/apt,f,"575 S Rengstorff Ave APT 75, Mountain View, CA 94040, USA"
57,24392446,94041,2.0,1.0,$175.00,Mountain View,37.39417,-122.08871,Condominium,Entire home/apt,t,"432 Pettis Ave, Mountain View, CA 94041, USA"
58,24516376,94040,2.0,1.5,$149.00,Mountain View,37.40433,-122.11396,Townhouse,Entire home/apt,t,"2660 Fayette Dr, Mountain View, CA 94040, USA"
59,24655804,,2.0,2.0,$490.00,Palo Alto,37.44412,-122.15975,Condominium,Entire home/apt,f,"275 Forest Ave, Palo Alto, CA 94301, USA"
60,24796957,95112,1.0,1.0,$149.00,San Jose,37.34106,-121.89367,Condominium,Entire home/apt,t,"1 E Julian St, San Jose, CA 95112, USA"
61,24938963,94306,3.0,2.5,$250.00,Palo Alto,37.416129999999995,-122.12801,Townhouse,Entire home/apt,t,"3981 El Camino Real, Palo Alto, CA 94306, USA"
62,24940993,,3.0,2.5,$177.00,San Jose,37.2962,-121.84565,Condominium,Entire home/apt,f,"2795 Garden Ave, San Jose, CA 95111, USA"
63,25106440,95014,2.0,2.0,$159.00,Cupertino,37.323370000000004,-122.02356,Condominium,Entire home/apt,t,"20007 Stevens Creek Blvd, Cupertino, CA 95014, USA"
64,25546378,,2.0,2.0,$185.00,Mountain View,37.40017,-122.10535,Condominium,Entire home/apt,f,"400 Ortega Ave, Mountain View, CA 94040, USA"
65,25549823,95131,2.0,2.0,$138.00,San Jose,37.37712,-121.88153999999999,Condominium,Entire home/apt,t,"1591 Sierra Rd, San Jose, CA 95131, USA"
66,25804918,95054,2.0,2.0,$350.00,Santa Clara,37.39431,-121.95022,Condominium,Entire home/apt,t,"888 Agnew Rd, Santa Clara, CA 95054, USA"
67,26038196,,3.0,2.5,$194.00,San Jose,37.39271,-121.90248999999999,Condominium,Entire home/apt,f,"1821 Bright Willow Cir, San Jose, CA 95131, USA"
68,26393418,,3.0,2.5,$197.00,San Jose,37.32334,-121.90295,Condominium,Entire home/apt,f,"346 Bautista Pl, San Jose, CA 95126, USA"
69,26629452,94043,2.0,2.0,$250.00,Mountain View,37.41182,-122.09357,Condominium,Entire home/apt,t,"2124 W Middlefield Rd, Mountain View, CA 94043, USA"
70,27805374,95035,2.0,2.0,$175.00,Milpitas,37.42204,-121.90696000000001,Condominium,Entire home/apt,f,"934 Mente Linda Loop, Milpitas, CA 95035, USA"
71,28695818,,3.0,2.5,$190.00,Sunnyvale,37.37112,-122.01552,Condominium,Entire home/apt,f,"Evelyn & Wolfe, Sunnyvale, CA 94086, USA"
72,28736395,95117,2.0,2.0,$228.00,San Jose,37.311640000000004,-121.97601,Townhouse,Entire home/apt,f,"4140 Manzanita Dr, San Jose, CA 95117, USA"
73,28834302,,1.0,1.0,$139.00,San Jose,37.39999,-121.88438000000001,Condominium,Entire home/apt,f,"1848 Tradan Dr, San Jose, CA 95132, USA"
74,28889880,,2.0,1.5,$168.00,Santa Clara,37.34437,-121.98284,Condominium,Entire home/apt,f,"3033 Kaiser Dr, Santa Clara, CA 95051, USA"
75,29008214,,1.0,1.0,$115.00,Santa Clara,37.353429999999996,-121.97223000000001,Condominium,Entire home/apt,f,"2576 Robinson Ave, Santa Clara, CA 95051, USA"
76,29215618,,3.0,3.0,$174.00,San Jose,37.29841,-121.86738000000001,Condominium,Entire home/apt,f,"2200 Golden Crest Common, San Jose, CA 95125, USA"
77,29515645,,2.0,2.0,$161.00,Santa Clara,37.3961,-121.94388000000001,Condominium,Entire home/apt,f,"5501 Moreland Way, Santa Clara, CA 95054, USA"
78,29515758,95035,3.0,2.0,$177.00,Milpitas,37.4193,-121.90292,Condominium,Entire home/apt,f,"27A E Curtis Ave, Milpitas, CA 95035, USA"
79,29654380,,3.0,2.5,$294.00,Palo Alto,37.44766,-122.16328999999999,Condominium,Entire home/apt,f,"332 Everett Ave, Palo Alto, CA 94301, USA"
80,29659155,,3.0,2.0,$250.00,Palo Alto,37.41057,-122.12316000000001,Condominium,Entire home/apt,f,"4195 CA-82, Palo Alto, CA 94306, USA"
81,29666654,94041,2.0,1.0,$260.00,Mountain View,37.39441,-122.08858000000001,Condominium,Entire home/apt,t,"410 Pettis Ave, Mountain View, CA 94041, USA"
82,29762029,94022,2.0,2.5,$240.00,Los Altos,37.3737,-122.11108,Townhouse,Entire home/apt,t,"150 Cuesta Dr, Los Altos, CA 94022, USA"
83,29802123,94043,1.0,1.0,$95.00,Mountain View,37.40109,-122.0701,Condominium,Entire home/apt,t,"500 W Middlefield Rd, Mountain View, CA 94043, USA"
84,29826572,95128,2.0,1.5,$225.00,San Jose,37.322540000000004,-121.94765,Condominium,Entire home/apt,t,"334 Santana Row #1000, San Jose, CA 95128, USA"
85,29861471,,2.0,2.0,$161.00,Santa Clara,37.39683,-121.94171000000001,Condominium,Entire home/apt,f,"410 River Side Ct, Santa Clara, CA 95054, USA"
86,30090887,95035,3.0,3.0,$184.00,Milpitas,37.408,-121.90024,Condominium,Entire home/apt,f,"1628 Lee Way, Milpitas, CA 95035, USA"
87,30212898,95110,2.0,2.0,$229.00,San Jose,37.327709999999996,-121.89801000000001,Townhouse,Entire home/apt,t,"460 Park Ave, San Jose, CA 95110, USA"
88,30376556,,3.0,2.0,$190.00,San Jose,37.36286,-121.89001999999999,Condominium,Entire home/apt,f,"757 Entertainment Ct, San Jose, CA 95112, USA"
89,30450973,95117,1.0,1.0,$125.00,San Jose,37.299440000000004,-121.95865,Townhouse,Entire home/apt,t,"1375 Maria Way, San Jose, CA 95117, USA"
90,30502514,,3.0,2.5,$184.00,San Jose,37.29492,-121.84505,Condominium,Entire home/apt,f,"2781 Lavender Terrace, San Jose, CA 95111, USA"
91,30536322,95126,1.0,1.0,$130.00,San Jose,37.30169,-121.92545,Condominium,Entire home/apt,t,"1793 Stokes St, San Jose, CA 95126, USA"
92,30789085,95136,2.0,2.5,$158.00,San Jose,37.28175,-121.86038,Condominium,Entire home/apt,t,"620 Marble Arch Ave, San Jose, CA 95136, USA"
93,30955198,95035,1.0,1.0,$106.00,Milpitas,37.41534,-121.90391000000001,Condominium,Entire home/apt,f,"Great Mall & Abel, Milpitas, CA 95035, USA"
94,31114532,,2.0,2.0,$165.00,Santa Clara,37.39607,-121.95783,Condominium,Entire home/apt,f,"1520 Avina Cir, Santa Clara, CA 95054, USA"
95,31127306,95035,3.0,2.5,$249.00,Milpitas,37.409290000000006,-121.89582,Townhouse,Entire home/apt,f,"1662 Centre Pointe Dr, Milpitas, CA 95035, USA"
96,31243329,95051,3.0,2.0,$240.00,Cupertino,37.32693,-122.00681000000002,Condominium,Entire home/apt,t,"10440 N Tantau Ave, Cupertino, CA 95014, USA"
97,31414797,,2.0,1.0,$168.00,Mountain View,37.386829999999996,-122.07218999999999,Condominium,Entire home/apt,f,"521 Frances Way, Mountain View, CA 94041, USA"
98,31450791,94085,3.0,2.0,$258.00,Sunnyvale,37.38585,-122.01839,Townhouse,Entire home/apt,t,"551 E Maude Ave, Sunnyvale, CA 94085, USA"
99,31589123,95035,3.0,2.0,$187.00,San Jose,37.403459999999995,-121.90101000000001,Condominium,Entire home/apt,f,"1536 County Hwy G4, San Jose, CA 95131, USA"
100,31616417,,3.0,3.0,$192.00,San Jose,37.37252,-121.87878,Condominium,Entire home/apt,f,"1032 Giacomo Ln, San Jose, CA 95131, USA"
101,31648540,,3.0,2.0,$193.00,Sunnyvale,37.35208,-122.01714,Condominium,Entire home/apt,f,"828 E Fremont Ave, Sunnyvale, CA 94087, USA"
102,31991872,95035,2.0,2.0,$165.00,Milpitas,37.42018,-121.90663,Condominium,Entire home/apt,f,"661 S Abel St, Milpitas, CA 95035, USA"
103,32045683,,2.0,2.0,$157.00,Sunnyvale,37.391890000000004,-122.01257,Condominium,Entire home/apt,f,"649 Blythe Ct, Sunnyvale, CA 94085, USA"
104,32191764,,1.0,1.0,$130.00,Sunnyvale,37.35244,-122.00813000000001,Condominium,Entire home/apt,f,"999 E El Camino Real, Sunnyvale, CA 94087, USA"
105,32241965,,3.0,2.0,$210.00,Mountain View,37.40569,-122.10313000000001,Condominium,Entire home/apt,f,"2447 Tamalpais St, Mountain View, CA 94043, USA"
106,32312467,,2.0,2.0,$153.00,San Jose,37.27758,-121.85632,Condominium,Entire home/apt,f,"3633 Sandpebble Dr, San Jose, CA 95136, USA"
107,32356916,95126,1.0,2.5,$268.00,San Jose,37.334740000000004,-121.90947,Condominium,Entire home/apt,t,"434 N Morrison Ave, San Jose, CA 95126, USA"
108,32526233,,2.0,2.0,$167.00,Cupertino,37.32486,-122.06894,Condominium,Entire home/apt,f,"10130 Westminster Ct, Cupertino, CA 95014, USA"
109,32526452,,3.0,2.0,$180.00,San Jose,37.367059999999995,-121.86513000000001,Condominium,Entire home/apt,f,"676 Obsidian Dr, San Jose, CA 95133, USA"
110,32598188,95110,2.0,1.0,$119.00,San Jose,37.31118,-121.87992,Condominium,Entire home/apt,f,"328 Shadow Run Dr, San Jose, CA 95110, USA"
111,32613193,95050,2.0,2.0,$130.00,Santa Clara,37.35971,-121.96287,Condominium,Entire home/apt,t,"2067 Eucalyptus Ct, Santa Clara, CA 95050, USA"
112,32635019,,2.0,2.0,$177.00,Sunnyvale,37.38113,-122.0578,Condominium,Entire home/apt,f,"203 Acalanes Dr, Sunnyvale, CA 94086, USA"
113,32635160,,2.0,2.0,$177.00,Sunnyvale,37.37986,-122.05868000000001,Condominium,Entire home/apt,f,"301 Acalanes Dr, Sunnyvale, CA 94086, USA"
114,32740289,94043,2.0,2.0,"$2,000.00",Mountain View,37.41342,-122.09246999999999,Condominium,Entire home/apt,t,"765 Rengstorff Ave, Mountain View, CA 94043, USA"
115,32770582,95126,2.0,2.0,$127.00,San Jose,37.318979999999996,-121.91176999999999,Condominium,Entire home/apt,t,"525 Race St UNIT 150, San Jose, CA 95126, USA"
116,32843609,95126,2.0,2.5,$299.00,San Jose,37.333709999999996,-121.90813999999999,Condominium,Entire home/apt,t,"933 W Julian St, San Jose, CA 95126, USA"
117,32988632,,3.0,2.5,$183.00,San Jose,37.413000000000004,-121.86188999999999,Condominium,Entire home/apt,f,"3312 Cropley Ave, San Jose, CA 95132, USA"
118,33188268,,2.0,1.0,$151.00,San Jose,37.32306,-121.9616,Condominium,Entire home/apt,f,"3550 Stevens Creek Blvd UNIT 320, San Jose, CA 95117, USA"
119,33249009,,1.0,1.0,$147.00,Mountain View,37.40804,-122.1113,Condominium,Entire home/apt,f,"181 Del Medio Ave, Mountain View, CA 94040, USA"
120,33298639,94041,1.0,1.0,$160.00,Mountain View,37.3897,-122.07073000000001,Condominium,Entire home/apt,t,"138 W Dana St, Mountain View, CA 94041, USA"
121,33425287,,2.0,2.0,$207.00,Mountain View,37.39665,-122.06581000000001,Condominium,Entire home/apt,f,"254 Tyrella Ave, Mountain View, CA 94043, USA"
122,33431542,95134,1.0,1.0,$85.00,San Jose,37.41363,-121.95499,Condominium,Entire home/apt,t,"55 Vista Montaña, San Jose, CA 95134, USA"
123,33452809,95126,2.0,2.0,$298.00,San Jose,37.33265,-121.91345,Condominium,Entire home/apt,t,"1343 The Alameda, San Jose, CA 95126, USA"
124,33498783,95128,1.0,2.0,$148.00,Unincorporated Areas,37.31114,-121.93858,Condominium,Entire home/apt,f,"1154 Yarwood Ct, San Jose, CA 95128, USA"
125,33556067,95136,3.0,2.5,$199.00,San Jose,37.26422,-121.86346,Townhouse,Entire home/apt,t,"4649 Adamo Dr, San Jose, CA 95136, USA"
126,33748073,95112,2.0,2.0,$170.00,San Jose,37.32824,-121.86741,Condominium,Entire home/apt,t,"900 S 12th St, San Jose, CA 95112, USA"
127,33923095,95126,1.0,1.0,$84.00,San Jose,37.31002,-121.91791,Condominium,Entire home/apt,t,"1520 Southwest Expy, San Jose, CA 95126, USA"
128,34115547,95035,2.0,2.0,$163.00,Milpitas,37.41427,-121.90268,Condominium,Entire home/apt,f,"Great Mall / Main, VTA Greatmall Light Rail station, Milpitas, CA 95035, USA"
129,34204089,,1.0,1.0,$133.00,Santa Clara,37.39185,-121.96286,Condominium,Entire home/apt,f,"4265 Burton Dr, Santa Clara, CA 95054, USA"
130,34544943,94043,1.0,1.0,$150.00,Mountain View,37.39779,-122.09925,Condominium,Entire home/apt,t,"2065 California St, Mountain View, CA 94040, USA"
131,34571495,95054,2.0,2.0,$195.00,Santa Clara,37.39506,-121.95908,Condominium,Entire home/apt,t,"4320 Bassett St, Santa Clara, CA 95054, USA"
132,34706664,95035,2.0,2.5,$173.00,Milpitas,37.44263,-121.90573,Condominium,Entire home/apt,f,"759 Erie Cir, Milpitas, CA 95035, USA"
133,34928509,95050,1.0,1.0,$146.00,Santa Clara,37.3598,-121.96346000000001,Condominium,Entire home/apt,t,"2079 Elm Leaf Ct, Santa Clara, CA 95050, USA"
134,34998533,,2.0,2.5,$157.00,San Jose,37.38197,-121.86506000000001,Condominium,Entire home/apt,f,"1138 Genco Terrace, San Jose, CA 95133, USA"
135,35225066,,3.0,2.5,$173.00,San Jose,37.36244,-121.88968,Condominium,Entire home/apt,f,"771 Modern Ice Dr, San Jose, CA 95112, USA"
136,35415657,,2.0,2.0,$167.00,Sunnyvale,37.37005,-121.99666,Condominium,Entire home/apt,f,"1190 Willow Ave, Sunnyvale, CA 94086, USA"
137,35464660,94043,2.0,1.5,$268.00,Mountain View,37.391490000000005,-122.05881000000001,Townhouse,Entire home/apt,f,"166 Campbell Dr, Mountain View, CA 94043, USA"
138,35470603,95133,2.0,1.0,$150.00,San Jose,37.36225,-121.86186000000001,Condominium,Entire home/apt,f,"466 Avalani Ave, San Jose, CA 95133, USA"
139,35673691,,2.0,2.0,$170.00,Mountain View,37.397040000000004,-122.06453,Condominium,Entire home/apt,f,"116 Kittoe Dr, Mountain View, CA 94043, USA"
140,35743145,94043,3.0,2.5,$258.00,Mountain View,37.39159,-122.05778000000001,Townhouse,Entire home/apt,f,"171 Stockwell Dr, Mountain View, CA 94043, USA"
141,35878508,95008,2.0,1.5,$139.00,San Jose,37.271029999999996,-121.99025,Condominium,Entire home/apt,t,"5080 Westmont Ave, San Jose, CA 95130, USA"
142,35978955,94043,2.0,1.0,$161.00,Mountain View,37.396,-122.06516,Condominium,Entire home/apt,t,"196 Ada Ave, Mountain View, CA 94043, USA"
143,36149060,94043,1.0,1.0,$120.00,Mountain View,37.405879999999996,-122.09198,Condominium,Entire home/apt,t,"1938 Montecito Ave, Mountain View, CA 94043, USA"
144,36278552,94085,3.0,2.0,$195.00,Sunnyvale,37.3864,-122.0166,Townhouse,Entire home/apt,t,"580 Fir Ave, Sunnyvale, CA 94085, USA"
145,36477900,95111,3.0,2.0,$169.00,San Jose,37.28714,-121.84223999999999,Townhouse,Entire home/apt,f,"3173 Kenland Dr, San Jose, CA 95111, USA"
146,36489953,95051,2.0,2.0,$250.00,Santa Clara,37.34391,-121.98096000000001,Condominium,Entire home/apt,t,"3043 Kaiser Dr, Santa Clara, CA 95051, USA"
