CPL,MI,HS,CDC,UI,SPL,ICU,BLG,CC
Heavily Republican,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,Medium,Lifted,High
Republican,Medium,Medium,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Very High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,Very High,SometimesWearMasks,noncore,Republican,Medium,Lifted,Very High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,High,New Limit on Large Gatherings in Place,Very High
Republican,Medium,Medium,AlwaysWearMasks,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Low
Democrat,High,Low,AlwaysWearMasks,metropolitan,Republican,High,New Limit on Large Gatherings in Place,High
Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,New Limit on Large Gatherings in Place,High
Republican,Medium,High,AlwaysWearMasks,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,High
Republican,Very High,Medium,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Medium,New Limit on Large Gatherings in Place,High
Even,Very High,Medium,AlwaysWearMasks,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,High
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,High,New Limit on Large Gatherings in Place,Medium
Leaning Republican,Very Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very High
Leaning Democrat,High,Medium,AlwaysWearMasks,metropolitan,Republican,High,New Limit on Large Gatherings in Place,Medium
Republican,High,High,AlwaysWearMasks,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Medium
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,Low,AlwaysWearMasks,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very Low
Even,Low,Very High,AlwaysWearMasks,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Heavily Republican,Very Low,Medium,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Low
Heavily Republican,Very High,Medium,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,High
Heavily Republican,Low,Medium,AlwaysWearMasks,micropolitan,Republican,High,Lifted,High
Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Low,Lifted,Very Low
Heavily Republican,Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Very High
Leaning Republican,Low,Medium,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Medium
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Heavily Republican,Low,High,AlwaysWearMasks,noncore,Republican,High,Lifted,Low
Heavily Republican,Low,Medium,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,High
Heavily Republican,Very Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,Low,High,FrequentlyWearMasks,noncore,Republican,Very High,Lifted,Low
Heavily Republican,Low,Medium,FrequentlyWearMasks,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,High
Leaning Democrat,Low,High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Leaning Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Medium
Leaning Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Republican,Low,High,AlwaysWearMasks,noncore,Republican,Medium,Lifted,Medium
Heavily Republican,High,Low,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Medium
Heavily Republican,Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Medium
Heavily Republican,Low,Medium,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Medium
Heavily Republican,Medium,Low,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Low
Heavily Republican,Low,Medium,FrequentlyWearMasks,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,High,Lifted,Medium
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Heavily Democrat,Very Low,High,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Very High
Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,Medium,AlwaysWearMasks,metropolitan,Republican,Very High,Lifted,High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Heavily Republican,High,Medium,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Low,Very High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,Medium,AlwaysWearMasks,noncore,Republican,Low,Lifted,Very Low
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,High
Leaning Republican,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Very High
Leaning Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,Medium,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,High,AlwaysWearMasks,micropolitan,Republican,Low,Lifted,Very High
Leaning Republican,Very Low,High,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Low
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Low
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,Very High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,High,Lifted,Low
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Democrat,Medium,Low,AlwaysWearMasks,metropolitan,Republican,High,Lifted,High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Very High,Low,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Medium
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Medium
Leaning Democrat,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,High,Lifted,High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Very Low
Leaning Republican,Medium,High,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,Low
Leaning Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Low
Heavily Republican,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,Very High,Lifted,Very High
Heavily Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Democrat,High,Medium,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Very Low
Heavily Republican,High,Low,AlwaysWearMasks,noncore,Democratic,Medium,All Gatherings Prohibited,Very Low
Even,Medium,Medium,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Republican,Very High,Low,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Very Low
Leaning Republican,High,Very High,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Medium
Heavily Democrat,Very High,Low,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Republican,Medium,Very High,AlwaysWearMasks,micropolitan,Democratic,Medium,All Gatherings Prohibited,Very Low
Leaning Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Very Low
Leaning Democrat,Medium,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Medium
Heavily Democrat,Medium,Low,AlwaysWearMasks,micropolitan,Democratic,Medium,All Gatherings Prohibited,Very Low
Heavily Democrat,Low,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Very High
Leaning Republican,High,Medium,AlwaysWearMasks,noncore,Democratic,Medium,All Gatherings Prohibited,Very Low
Leaning Republican,Medium,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Very High
Leaning Republican,High,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Very High
Even,Low,High,AlwaysWearMasks,micropolitan,Democratic,Low,All Gatherings Prohibited,Very Low
Heavily Republican,High,High,AlwaysWearMasks,micropolitan,Democratic,Low,All Gatherings Prohibited,Medium
Heavily Democrat,Very High,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,High
Leaning Republican,High,Very High,AlwaysWearMasks,metropolitan,Democratic,Low,All Gatherings Prohibited,High
Heavily Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Medium
Republican,Medium,Low,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Very Low
Heavily Democrat,Medium,Medium,AlwaysWearMasks,micropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Leaning Democrat,High,Very High,AlwaysWearMasks,metropolitan,Democratic,Low,All Gatherings Prohibited,High
Heavily Republican,Low,High,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Very Low
Leaning Democrat,Very High,Medium,AlwaysWearMasks,noncore,Democratic,Medium,All Gatherings Prohibited,Very Low
Heavily Democrat,Very High,Very High,AlwaysWearMasks,metropolitan,Democratic,Low,All Gatherings Prohibited,Medium
Heavily Democrat,Very High,High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Even,Very High,Very Low,AlwaysWearMasks,micropolitan,Democratic,Low,All Gatherings Prohibited,Very Low
Leaning Democrat,Very High,High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Leaning Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Very Low
Republican,High,Very Low,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Very Low
Leaning Democrat,Very High,High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Medium
Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Democrat,Very High,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Medium
Leaning Democrat,Very High,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,High
Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Heavily Democrat,Very Low,Medium,AlwaysWearMasks,metropolitan,Democratic,High,All Gatherings Prohibited,Low
Leaning Democrat,Very High,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,High
Leaning Democrat,Very High,Low,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Heavily Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Heavily Democrat,Very High,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Medium
Heavily Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Very Low
Heavily Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Low,All Gatherings Prohibited,Very Low
Heavily Republican,High,Low,AlwaysWearMasks,metropolitan,Democratic,High,All Gatherings Prohibited,Very Low
Republican,Medium,Very Low,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Very Low
Republican,Low,Low,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Very Low
Heavily Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Heavily Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Even,High,Very High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,High
Republican,High,Very High,AlwaysWearMasks,metropolitan,Democratic,Low,All Gatherings Prohibited,Low
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Democratic,Low,All Gatherings Prohibited,Low
Leaning Republican,Very Low,Low,AlwaysWearMasks,noncore,Democratic,Low,All Gatherings Prohibited,Very Low
Leaning Republican,Medium,Very High,AlwaysWearMasks,metropolitan,Democratic,Low,All Gatherings Prohibited,Very High
Republican,High,Low,AlwaysWearMasks,micropolitan,Democratic,Low,All Gatherings Prohibited,Very Low
Democrat,Very High,High,AlwaysWearMasks,metropolitan,Democratic,Medium,All Gatherings Prohibited,Low
Heavily Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Low,All Gatherings Prohibited,Low
Republican,Low,High,AlwaysWearMasks,metropolitan,Democratic,High,All Gatherings Prohibited,Low
Leaning Democrat,Very High,High,AlwaysWearMasks,metropolitan,Democratic,High,Expanded Limit to 25 or Fewer,Medium
Even,Low,Medium,AlwaysWearMasks,noncore,Democratic,High,Expanded Limit to 25 or Fewer,Low
Leaning Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Low
Republican,High,Very Low,AlwaysWearMasks,noncore,Democratic,High,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Heavily Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Low
Leaning Democrat,Very Low,Very Low,AlwaysWearMasks,metropolitan,Democratic,High,Expanded Limit to 25 or Fewer,Low
Even,High,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Low
Heavily Republican,High,Low,FrequentlyWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Even,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Even,Very Low,Medium,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Very Low
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Low
Heavily Republican,High,Very Low,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Low,Low,AlwaysWearMasks,noncore,Democratic,Medium,Expanded Limit to 25 or Fewer,Very Low
Heavily Democrat,Very Low,Medium,AlwaysWearMasks,metropolitan,Democratic,High,Expanded Limit to 25 or Fewer,Medium
Heavily Republican,Low,Low,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Very Low
Democrat,Very High,Medium,AlwaysWearMasks,micropolitan,Democratic,Low,Expanded Limit to 25 or Fewer,Medium
Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Low
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Medium,Low,AlwaysWearMasks,micropolitan,Democratic,Low,Expanded Limit to 25 or Fewer,Low
Leaning Republican,Very High,Medium,AlwaysWearMasks,micropolitan,Democratic,Very High,Expanded Limit to 25 or Fewer,Low
Even,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Leaning Republican,Very High,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Very Low
Democrat,Very High,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Low
Republican,Very High,Very Low,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Leaning Republican,Very Low,Low,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Medium,Medium,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Leaning Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Low
Heavily Republican,Low,Very Low,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Medium,Medium,FrequentlyWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Low
Leaning Democrat,Very High,Very Low,AlwaysWearMasks,micropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Very Low
Leaning Democrat,Medium,High,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Low
Even,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Very Low
Republican,Very Low,Medium,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Low,Low,FrequentlyWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Medium,Low,FrequentlyWearMasks,micropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Very High
Heavily Republican,Medium,Low,AlwaysWearMasks,metropolitan,Democratic,High,Expanded Limit to 25 or Fewer,Very Low
Republican,High,Very Low,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Medium
Heavily Republican,High,Low,AlwaysWearMasks,micropolitan,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Medium,Low,AlwaysWearMasks,noncore,Democratic,High,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Medium,Medium,AlwaysWearMasks,micropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,High,Very High,AlwaysWearMasks,micropolitan,Democratic,High,Expanded Limit to 25 or Fewer,High
Republican,Very Low,High,AlwaysWearMasks,noncore,Democratic,Medium,Expanded Limit to 25 or Fewer,Very Low
Leaning Democrat,Very High,Very Low,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Medium,Medium,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Very Low
Heavily Democrat,Very High,Very Low,AlwaysWearMasks,micropolitan,Democratic,Very High,Expanded Limit to 25 or Fewer,Low
Heavily Republican,Low,High,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Low
Even,Medium,Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Expanded Limit to 25 or Fewer,Very Low
Heavily Republican,Very High,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Very Low
Republican,Low,High,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to 25 or Fewer,Very Low
