CPL,MI,HS,CDC,UI,SPL,ICU,BLG,CC
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,High
Heavily Republican,Low,Very High,Medium,micropolitan,Republican,Medium,Lifted,Very High
Leaning Republican,Low,Medium,Medium,metropolitan,Republican,High,Lifted,Very High
Leaning Republican,Very Low,High,Low,noncore,Republican,High,Lifted,High
Heavily Democrat,Medium,High,Medium,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Medium,High,Medium,metropolitan,Republican,High,Lifted,High
Heavily Democrat,Very Low,Very High,High,noncore,Republican,Low,Lifted,Very High
Republican,Very Low,Very High,High,metropolitan,Republican,Medium,Lifted,Very High
Republican,Very Low,High,Low,micropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,High
Even,Very Low,High,Medium,metropolitan,Republican,Low,Lifted,High
Heavily Republican,Very High,Very Low,Medium,metropolitan,Republican,Medium,Lifted,High
Heavily Republican,High,High,Medium,metropolitan,Republican,Low,Lifted,High
Heavily Democrat,Very Low,High,Medium,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,High,Low,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,Low,Very High,Low,noncore,Republican,Medium,Lifted,High
Republican,Medium,Medium,Medium,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Low,Very High,Medium,metropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Low,Very High,Medium,noncore,Republican,Very High,Lifted,Very High
Heavily Democrat,Very Low,Very High,Medium,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Medium,Lifted,Very High
Heavily Democrat,Very Low,Very High,High,noncore,Republican,High,New Limit on Large Gatherings in Place,Very High
Republican,Medium,Medium,High,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Low
Democrat,Very High,Low,High,metropolitan,Republican,High,New Limit on Large Gatherings in Place,High
Republican,Low,High,Medium,micropolitan,Republican,Medium,New Limit on Large Gatherings in Place,High
Republican,Medium,High,Medium,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,High
Republican,Very High,Low,Medium,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Medium,New Limit on Large Gatherings in Place,High
Even,Very High,Medium,High,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,High
Heavily Republican,Low,High,High,metropolitan,Republican,High,New Limit on Large Gatherings in Place,Medium
Leaning Republican,Very Low,High,High,micropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very High
Leaning Democrat,High,Medium,High,metropolitan,Republican,High,New Limit on Large Gatherings in Place,Medium
Republican,High,High,High,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Medium
Heavily Democrat,Very Low,Very High,High,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,Low,High,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very Low
Even,Low,Very High,High,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,High,Medium,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Very Low,High,High,noncore,Republican,Very High,Lifted,High
Heavily Republican,Very Low,Medium,Medium,micropolitan,Republican,High,Lifted,Low
Heavily Republican,Very High,Medium,High,metropolitan,Republican,Low,Lifted,High
Heavily Republican,Low,Medium,Low,micropolitan,Republican,High,Lifted,High
Republican,Very Low,High,Medium,noncore,Republican,Very High,Lifted,High
Heavily Republican,Low,High,Low,micropolitan,Republican,Low,Lifted,Very Low
Heavily Republican,Low,High,High,noncore,Republican,Very High,Lifted,High
Democrat,Very Low,Very High,Medium,noncore,Republican,Very High,Lifted,Very High
Leaning Republican,Low,Low,Medium,micropolitan,Republican,High,Lifted,Medium
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Very High,Lifted,High
Heavily Republican,Low,High,Medium,noncore,Republican,High,Lifted,Low
Heavily Republican,Low,Medium,Medium,metropolitan,Republican,Low,Lifted,High
Heavily Republican,Very Low,High,Low,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,Low,High,Low,noncore,Republican,Very High,Lifted,Low
Heavily Republican,Low,Low,Low,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Low,High,Low,metropolitan,Republican,Low,Lifted,High
Leaning Democrat,Low,High,Medium,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,High,Low,noncore,Republican,Low,Lifted,High
Leaning Republican,Very Low,High,Medium,noncore,Republican,Very High,Lifted,Medium
Leaning Democrat,Very Low,Very High,Medium,noncore,Republican,Very High,Lifted,High
Republican,Low,High,Medium,noncore,Republican,Medium,Lifted,Medium
Heavily Republican,High,Low,Medium,metropolitan,Republican,Medium,Lifted,Medium
Heavily Republican,Low,High,Low,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,High,Low,noncore,Republican,Very High,Lifted,Medium
Heavily Republican,Low,Medium,High,metropolitan,Republican,High,Lifted,Medium
Heavily Republican,Medium,Low,Medium,metropolitan,Republican,Low,Lifted,Low
Heavily Republican,Low,Medium,Low,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,Very Low,High,Medium,noncore,Republican,High,Lifted,Medium
Heavily Republican,Low,High,Medium,micropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Low,High,Medium,micropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Low,Lifted,Very High
Heavily Democrat,Very Low,Medium,High,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,High,Low,noncore,Republican,Very High,Lifted,Very High
Democrat,Very Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Low,High,Medium,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,Medium,Medium,metropolitan,Republican,Very High,Lifted,High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Very High,Lifted,High
Heavily Republican,High,Medium,Medium,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Low,Very High,Medium,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,Medium,Medium,noncore,Republican,Low,Lifted,Very Low
Heavily Republican,Low,Medium,Medium,metropolitan,Republican,Low,Lifted,High
Leaning Republican,Very Low,Very High,Medium,micropolitan,Republican,High,Lifted,Very High
Leaning Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,Medium,Medium,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,High,Low,micropolitan,Republican,Low,Lifted,Very High
Leaning Republican,Very Low,High,Medium,micropolitan,Republican,High,Lifted,Low
Heavily Republican,Low,High,Low,metropolitan,Republican,Low,Lifted,Low
Heavily Democrat,Very Low,Very High,Medium,micropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,Very High,Low,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,High,Medium,noncore,Republican,High,Lifted,Low
Heavily Republican,Low,High,Low,micropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Low,High,Low,noncore,Republican,Low,Lifted,High
Democrat,Medium,Low,High,metropolitan,Republican,High,Lifted,High
Heavily Republican,Very Low,High,Low,noncore,Republican,Low,Lifted,High
Heavily Republican,Very High,Low,Medium,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,High,Medium,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Low,High,Low,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Low,Very High,Medium,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Very Low,High,Low,noncore,Republican,Low,Lifted,Medium
Leaning Democrat,Very Low,Very High,Low,micropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Very High,Lifted,High
Heavily Republican,Low,High,Low,micropolitan,Republican,High,Lifted,High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Very High,Lifted,Very Low
Leaning Republican,Medium,High,High,metropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Low,High,Medium,micropolitan,Republican,Medium,Lifted,Low
Leaning Republican,Very Low,Very High,Medium,noncore,Republican,Low,Lifted,Low
Heavily Republican,Very Low,Very High,Medium,micropolitan,Republican,Very High,Lifted,Very High
Heavily Democrat,Very High,Medium,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Democrat,High,Medium,High,noncore,Democratic,Low,Gatherings Prohibited,Very Low
Heavily Republican,High,Low,High,noncore,Democratic,Medium,Gatherings Prohibited,Very Low
Even,Medium,Low,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Republican,Very High,Low,Medium,noncore,Democratic,Low,Gatherings Prohibited,Very Low
Leaning Republican,High,Very High,High,noncore,Democratic,Low,Gatherings Prohibited,Medium
Heavily Democrat,Very High,Low,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Republican,Medium,High,Medium,micropolitan,Democratic,Medium,Gatherings Prohibited,Very Low
Leaning Republican,Very High,Very Low,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Very Low
Leaning Democrat,Medium,Very High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,High
Heavily Republican,Low,Very High,High,noncore,Democratic,Low,Gatherings Prohibited,Medium
Heavily Democrat,Medium,Low,High,micropolitan,Democratic,Medium,Gatherings Prohibited,Very Low
Heavily Democrat,Low,Very High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Very High
Leaning Republican,High,Medium,High,noncore,Democratic,Medium,Gatherings Prohibited,Very Low
Leaning Republican,Medium,Very High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,High
Leaning Republican,High,Very High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Very High
Even,Low,High,High,micropolitan,Democratic,Low,Gatherings Prohibited,Very Low
Heavily Republican,High,High,Medium,micropolitan,Democratic,Low,Gatherings Prohibited,Medium
Heavily Democrat,Very High,Very High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,High
Leaning Republican,High,Very High,High,metropolitan,Democratic,Low,Gatherings Prohibited,High
Heavily Democrat,Very High,Very Low,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Medium
Republican,Medium,Low,High,noncore,Democratic,Low,Gatherings Prohibited,Very Low
Heavily Democrat,Medium,Medium,High,micropolitan,Democratic,Medium,Gatherings Prohibited,Low
Leaning Democrat,High,Very High,High,metropolitan,Democratic,Low,Gatherings Prohibited,High
Heavily Republican,Low,High,High,noncore,Democratic,Low,Gatherings Prohibited,Very Low
Leaning Democrat,Very High,Medium,High,noncore,Democratic,Medium,Gatherings Prohibited,Very Low
Heavily Democrat,Very High,Very High,High,metropolitan,Democratic,Low,Gatherings Prohibited,Medium
Heavily Democrat,Very High,High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Even,Very High,Very Low,High,micropolitan,Democratic,Low,Gatherings Prohibited,Very Low
Leaning Democrat,Very High,High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Leaning Republican,Very High,Very Low,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Very Low
Republican,High,Very Low,High,noncore,Democratic,Low,Gatherings Prohibited,Very Low
Leaning Democrat,Very High,High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Medium
Democrat,Very High,Medium,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Democrat,Very High,Very High,High,metropolitan,Democratic,Low,Gatherings Prohibited,Medium
Leaning Democrat,Very High,Very High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,High
Democrat,Very High,Medium,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Heavily Democrat,Very Low,Medium,High,metropolitan,Democratic,High,Gatherings Prohibited,Low
Leaning Democrat,Very High,Very High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,High
Leaning Democrat,Very High,Low,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Heavily Democrat,Very High,Low,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Heavily Democrat,Very High,High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Medium
Heavily Democrat,Very High,Medium,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Very Low
Heavily Democrat,Very High,Medium,High,metropolitan,Democratic,Low,Gatherings Prohibited,Very Low
Heavily Republican,High,Low,Medium,metropolitan,Democratic,High,Gatherings Prohibited,Very Low
Republican,Medium,Very Low,High,noncore,Democratic,Low,Gatherings Prohibited,Very Low
Republican,Low,Low,Medium,noncore,Democratic,Low,Gatherings Prohibited,Very Low
Heavily Democrat,Very High,Medium,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Heavily Democrat,Very High,Medium,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Even,High,Very High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,High
Republican,High,Very High,High,metropolitan,Democratic,Low,Gatherings Prohibited,Low
Heavily Republican,Low,High,Medium,micropolitan,Democratic,Low,Gatherings Prohibited,Low
Leaning Republican,Very Low,Low,High,noncore,Democratic,Low,Gatherings Prohibited,Very Low
Leaning Republican,Medium,Very High,High,metropolitan,Democratic,Low,Gatherings Prohibited,Very High
Republican,High,Low,High,micropolitan,Democratic,Low,Gatherings Prohibited,Very Low
Democrat,Very High,High,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Low
Heavily Democrat,Very High,Medium,High,metropolitan,Democratic,Low,Gatherings Prohibited,Low
Republican,Low,High,High,metropolitan,Democratic,High,Gatherings Prohibited,Low
Leaning Democrat,Very High,High,High,metropolitan,Democratic,High,Expanded Limit,Medium
Even,Low,Medium,Medium,noncore,Democratic,High,Expanded Limit,Low
Leaning Democrat,Very High,Very Low,High,metropolitan,Democratic,Medium,Expanded Limit,Low
Republican,High,Very Low,Medium,noncore,Democratic,High,Expanded Limit,Very Low
Heavily Republican,Very Low,High,Medium,noncore,Democratic,Very High,Expanded Limit,Very Low
Heavily Republican,Very Low,High,Medium,noncore,Democratic,Low,Expanded Limit,Very Low
Heavily Democrat,Very High,Very Low,High,metropolitan,Democratic,Medium,Expanded Limit,Low
Leaning Democrat,Very Low,Very Low,High,metropolitan,Democratic,High,Expanded Limit,Low
Even,High,Very Low,High,noncore,Democratic,Very High,Expanded Limit,Low
Heavily Republican,High,Low,Low,noncore,Democratic,Low,Expanded Limit,Very Low
Even,Very High,Very Low,High,metropolitan,Democratic,Low,Expanded Limit,Very Low
Even,Very Low,Medium,Medium,noncore,Democratic,Very High,Expanded Limit,Very Low
Heavily Democrat,Very Low,Very High,High,noncore,Democratic,Low,Expanded Limit,Very Low
Heavily Republican,Very Low,High,High,noncore,Democratic,Low,Expanded Limit,Low
Heavily Republican,High,Very Low,Medium,noncore,Democratic,Low,Expanded Limit,Very Low
Heavily Republican,Low,Low,Medium,noncore,Democratic,Medium,Expanded Limit,Very Low
Heavily Democrat,Very Low,Medium,High,metropolitan,Democratic,High,Expanded Limit,Medium
Heavily Republican,Low,Low,High,noncore,Democratic,Low,Expanded Limit,Very Low
Republican,Very High,Very Low,High,metropolitan,Democratic,Medium,Expanded Limit,Very Low
Democrat,Very High,Low,High,micropolitan,Democratic,Low,Expanded Limit,Medium
Republican,Very High,Very Low,High,metropolitan,Democratic,Medium,Expanded Limit,Low
Heavily Republican,Very High,Very Low,Medium,metropolitan,Democratic,Low,Expanded Limit,Very Low
Heavily Republican,Low,Low,High,micropolitan,Democratic,Low,Expanded Limit,Low
Leaning Republican,Very High,Medium,Medium,micropolitan,Democratic,Very High,Expanded Limit,Low
Even,Very High,Very Low,High,metropolitan,Democratic,Low,Expanded Limit,Very Low
Leaning Republican,Very High,Very Low,High,noncore,Democratic,Very High,Expanded Limit,Very Low
Democrat,Very High,Very Low,High,noncore,Democratic,Very High,Expanded Limit,Low
Republican,Very High,Very Low,Medium,noncore,Democratic,Low,Expanded Limit,Very Low
Leaning Republican,Very Low,Low,High,noncore,Democratic,Very High,Expanded Limit,Very Low
Heavily Republican,Medium,Medium,Medium,noncore,Democratic,Low,Expanded Limit,Very Low
Leaning Democrat,Very High,Very Low,High,metropolitan,Democratic,Medium,Expanded Limit,Low
Heavily Republican,Low,Very Low,Medium,noncore,Democratic,Low,Expanded Limit,Very Low
Heavily Republican,Medium,Medium,Low,noncore,Democratic,Very High,Expanded Limit,Low
Leaning Democrat,Very High,Very Low,Medium,micropolitan,Democratic,Medium,Expanded Limit,Very Low
Leaning Democrat,Medium,High,High,noncore,Democratic,Very High,Expanded Limit,Low
Even,Very High,Very Low,High,metropolitan,Democratic,Medium,Expanded Limit,Very Low
Republican,Very Low,Medium,High,noncore,Democratic,Very High,Expanded Limit,Very Low
Heavily Republican,Low,Low,Low,noncore,Democratic,Very High,Expanded Limit,Very Low
Heavily Republican,High,Low,Low,micropolitan,Democratic,Medium,Expanded Limit,Very High
Heavily Republican,Medium,Low,Medium,metropolitan,Democratic,High,Expanded Limit,Very Low
Republican,Very High,Very Low,Medium,noncore,Democratic,Low,Expanded Limit,Medium
Heavily Republican,High,Low,Low,micropolitan,Democratic,Low,Expanded Limit,Very Low
Heavily Republican,Medium,Low,High,noncore,Democratic,High,Expanded Limit,Very Low
Heavily Republican,Medium,Medium,Medium,micropolitan,Democratic,Medium,Expanded Limit,Very Low
Heavily Republican,High,Very High,Low,micropolitan,Democratic,High,Expanded Limit,High
Republican,Very Low,High,High,noncore,Democratic,Medium,Expanded Limit,Very Low
Leaning Democrat,Very High,Very Low,Medium,noncore,Democratic,Low,Expanded Limit,Very Low
Heavily Republican,Very High,Very Low,High,metropolitan,Democratic,Low,Expanded Limit,Very Low
Heavily Republican,Medium,Medium,Low,noncore,Democratic,Very High,Expanded Limit,Very Low
Heavily Democrat,Very High,Very Low,High,micropolitan,Democratic,Very High,Expanded Limit,Low
Heavily Republican,Low,High,Medium,noncore,Democratic,Very High,Expanded Limit,Low
Even,Medium,Low,High,metropolitan,Democratic,Medium,Expanded Limit,Very Low
Heavily Republican,Very High,Very Low,Medium,noncore,Democratic,Very High,Expanded Limit,Very Low
Republican,Low,High,Medium,noncore,Democratic,Very High,Expanded Limit,Very Low
Democrat,Very High,Very Low,Medium,micropolitan,Democratic,Medium,Expanded Limit,Very Low
Leaning Democrat,Very Low,Very High,Medium,noncore,Democratic,Low,Expanded Limit,Low
Leaning Democrat,Low,Very Low,Medium,noncore,Democratic,Low,Expanded Limit,Very Low
Heavily Democrat,Very High,Very Low,Medium,noncore,Democratic,Low,Expanded Limit,Very Low
Heavily Republican,Very Low,Low,Low,noncore,Democratic,Very High,Expanded Limit,Low
Heavily Democrat,Very High,Very Low,High,micropolitan,Democratic,Medium,Expanded Limit,Medium
Heavily Republican,Very High,Very Low,High,metropolitan,Democratic,High,Expanded Limit,Very Low
Heavily Republican,Low,Very Low,Low,noncore,Democratic,Low,Expanded Limit,Low
Republican,Very High,Medium,Medium,metropolitan,Democratic,Low,Expanded Limit,Low
Heavily Republican,High,Medium,Low,noncore,Democratic,Very High,Expanded Limit,Medium
Democrat,Very High,Low,High,metropolitan,Democratic,Medium,Expanded Limit,Medium
Democrat,Very High,Low,High,metropolitan,Democratic,Medium,Expanded Limit,Low
Leaning Republican,Very High,Very Low,High,micropolitan,Democratic,Low,Expanded Limit,Very Low
Leaning Democrat,Very High,Very Low,High,metropolitan,Democratic,Medium,Expanded Limit,Very Low
Leaning Democrat,Very High,Low,High,metropolitan,Democratic,Medium,Expanded Limit,Low
Leaning Democrat,Very High,Low,High,metropolitan,Democratic,Low,Expanded Limit,Low
Leaning Democrat,Very High,Very Low,High,metropolitan,Democratic,Low,Expanded Limit,Very Low
Leaning Republican,Very High,Medium,High,metropolitan,Democratic,Low,Expanded Limit,Very Low
Even,High,Medium,High,metropolitan,Democratic,Medium,Expanded Limit,Low
Heavily Democrat,Very High,Low,High,metropolitan,Democratic,Medium,Expanded Limit,Medium
Republican,High,Medium,High,metropolitan,Democratic,Medium,Expanded Limit,High
Democrat,Medium,Very Low,High,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Medium,High,Medium,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Medium,Low,Medium,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Republican,High,Very Low,High,metropolitan,Republican,Medium,Lifted,Low
Heavily Democrat,High,Medium,High,metropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Medium,Low,High,metropolitan,Republican,High,Lifted,Low
Heavily Republican,Very Low,Medium,High,metropolitan,Republican,High,Lifted,Medium
Heavily Republican,Very High,Low,Medium,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Very High,Medium,High,metropolitan,Republican,Medium,Lifted,High
Heavily Republican,Low,Medium,Low,micropolitan,Republican,High,Lifted,Very High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Even,High,Low,High,metropolitan,Republican,High,Lifted,High
Republican,Medium,Low,Medium,metropolitan,Republican,High,Lifted,Very High
Republican,High,Very Low,High,metropolitan,Republican,Medium,Lifted,Low
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Heavily Democrat,Low,Very High,High,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,High,Medium,metropolitan,Republican,Low,Lifted,High
Heavily Republican,Very Low,Very High,High,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Low,High,Medium,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Heavily Republican,Very Low,Very High,Medium,micropolitan,Republican,Low,Lifted,Very High
Leaning Republican,Low,Very High,High,micropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,Medium,High,metropolitan,Republican,Medium,Lifted,Low
Heavily Republican,Very Low,High,High,metropolitan,Republican,High,Lifted,Medium
Leaning Democrat,High,Medium,High,metropolitan,Republican,High,Lifted,High
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Low,Lifted,Very High
Republican,High,Medium,High,metropolitan,Republican,Medium,Lifted,Medium
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Medium,Lifted,Very High
Leaning Republican,Low,High,High,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Republican,Medium,Low,High,metropolitan,Republican,High,Lifted,Medium
Republican,High,Medium,High,metropolitan,Republican,Medium,Lifted,High
Heavily Democrat,Medium,Very Low,High,metropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Very Low,High,High,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Very Low,High,Medium,noncore,Republican,Low,Lifted,Very High
Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,Very High
Republican,High,Low,High,metropolitan,Republican,Medium,Lifted,High
Republican,Very Low,High,Medium,metropolitan,Republican,High,Expanded Limit,Very High
Democrat,Low,Medium,Medium,metropolitan,Republican,High,Expanded Limit,High
Even,Low,High,Medium,metropolitan,Republican,High,Expanded Limit,High
Heavily Republican,Very High,Medium,Medium,metropolitan,Republican,Low,Expanded Limit,Medium
Heavily Republican,Very Low,Very High,Medium,micropolitan,Republican,High,Expanded Limit,Very High
Republican,Very Low,High,Medium,noncore,Republican,Low,Expanded Limit,Very High
Leaning Republican,High,Medium,Medium,metropolitan,Democratic,High,New Limit on Large Gatherings in Place,High
Heavily Republican,Medium,Low,Medium,metropolitan,Republican,Very High,Lifted,Low
