year,state,state_po,county,FIPS,office,candidate,party,candidatevotes,totalvotes,version
2000,Alabama,AL,Calhoun,1015,President,Other,NA,341,38909,20191203
2000,Alabama,AL,Chambers,1017,President,Al Gore,democrat,5616,11834,20191203
2000,Alabama,AL,Chambers,1017,President,George W. Bush,republican,6037,11834,20191203
2000,Alabama,AL,Chambers,1017,President,Ralph Nader,green,95,11834,20191203
2000,Alabama,AL,Chambers,1017,President,Other,NA,86,11834,20191203
2000,Alabama,AL,Cherokee,1019,President,Al Gore,democrat,3497,7823,20191203
2000,Alabama,AL,Cherokee,1019,President,George W. Bush,republican,4154,7823,20191203
2000,Alabama,AL,Cherokee,1019,President,Ralph Nader,green,77,7823,20191203
2000,Alabama,AL,Cherokee,1019,President,Other,NA,95,7823,20191203
2000,Alabama,AL,Chilton,1021,President,Al Gore,democrat,4806,15092,20191203
2000,Alabama,AL,Chilton,1021,President,George W. Bush,republican,10066,15092,20191203
2000,Alabama,AL,Chilton,1021,President,Ralph Nader,green,92,15092,20191203
2000,Alabama,AL,Chilton,1021,President,Other,NA,128,15092,20191203
2000,Alabama,AL,Choctaw,1023,President,Al Gore,democrat,3707,7374,20191203
2000,Alabama,AL,Choctaw,1023,President,George W. Bush,republican,3600,7374,20191203
2000,Alabama,AL,Choctaw,1023,President,Ralph Nader,green,33,7374,20191203
2000,Alabama,AL,Choctaw,1023,President,Other,NA,34,7374,20191203
2000,Alabama,AL,Clarke,1025,President,Al Gore,democrat,4679,10752,20191203
2000,Alabama,AL,Clarke,1025,President,George W. Bush,republican,5988,10752,20191203
2000,Alabama,AL,Clarke,1025,President,Ralph Nader,green,33,10752,20191203
2000,Alabama,AL,Clarke,1025,President,Other,NA,52,10752,20191203
2000,Alabama,AL,Clay,1027,President,Al Gore,democrat,2045,5883,20191203
2000,Alabama,AL,Clay,1027,President,George W. Bush,republican,3719,5883,20191203
2000,Alabama,AL,Clay,1027,President,Ralph Nader,green,52,5883,20191203
2000,Alabama,AL,Clay,1027,President,Other,NA,67,5883,20191203
2000,Alabama,AL,Cleburne,1029,President,Al Gore,democrat,1664,5092,20191203
2000,Alabama,AL,Cleburne,1029,President,George W. Bush,republican,3333,5092,20191203
2000,Alabama,AL,Cleburne,1029,President,Ralph Nader,green,39,5092,20191203
2000,Alabama,AL,Cleburne,1029,President,Other,NA,56,5092,20191203
2000,Alabama,AL,Coffee,1031,President,Al Gore,democrat,5220,15434,20191203
2000,Alabama,AL,Coffee,1031,President,George W. Bush,republican,9938,15434,20191203
2000,Alabama,AL,Coffee,1031,President,Ralph Nader,green,155,15434,20191203
2000,Alabama,AL,Coffee,1031,President,Other,NA,121,15434,20191203
2000,Alabama,AL,Colbert,1033,President,Al Gore,democrat,10543,21532,20191203
2000,Alabama,AL,Colbert,1033,President,George W. Bush,republican,10518,21532,20191203
2000,Alabama,AL,Colbert,1033,President,Ralph Nader,green,208,21532,20191203
2000,Alabama,AL,Colbert,1033,President,Other,NA,263,21532,20191203
2000,Alabama,AL,Conecuh,1035,President,Al Gore,democrat,2783,5551,20191203
2000,Alabama,AL,Conecuh,1035,President,George W. Bush,republican,2699,5551,20191203
2000,Alabama,AL,Conecuh,1035,President,Ralph Nader,green,35,5551,20191203
2000,Alabama,AL,Conecuh,1035,President,Other,NA,34,5551,20191203
2000,Alabama,AL,Coosa,1037,President,Al Gore,democrat,2104,4567,20191203
2000,Alabama,AL,Coosa,1037,President,George W. Bush,republican,2382,4567,20191203
2000,Alabama,AL,Coosa,1037,President,Ralph Nader,green,34,4567,20191203
2000,Alabama,AL,Coosa,1037,President,Other,NA,47,4567,20191203
2000,Alabama,AL,Covington,1039,President,Al Gore,democrat,4440,13613,20191203
2000,Alabama,AL,Covington,1039,President,George W. Bush,republican,8961,13613,20191203
2000,Alabama,AL,Covington,1039,President,Ralph Nader,green,123,13613,20191203
2000,Alabama,AL,Covington,1039,President,Other,NA,89,13613,20191203
2000,Alabama,AL,Crenshaw,1041,President,Al Gore,democrat,1934,4795,20191203
2000,Alabama,AL,Crenshaw,1041,President,George W. Bush,republican,2793,4795,20191203
2000,Alabama,AL,Crenshaw,1041,President,Ralph Nader,green,40,4795,20191203
2000,Alabama,AL,Crenshaw,1041,President,Other,NA,28,4795,20191203
2000,Alabama,AL,Cullman,1043,President,Al Gore,democrat,9758,29525,20191203
2000,Alabama,AL,Cullman,1043,President,George W. Bush,republican,19157,29525,20191203
2000,Alabama,AL,Cullman,1043,President,Ralph Nader,green,282,29525,20191203
2000,Alabama,AL,Cullman,1043,President,Other,NA,328,29525,20191203
2000,Alabama,AL,Dale,1045,President,Al Gore,democrat,4906,15806,20191203
2000,Alabama,AL,Dale,1045,President,George W. Bush,republican,10593,15806,20191203
2000,Alabama,AL,Dale,1045,President,Ralph Nader,green,188,15806,20191203
2000,Alabama,AL,Dale,1045,President,Other,NA,119,15806,20191203
2000,Alabama,AL,Dallas,1047,President,Al Gore,democrat,10967,18464,20191203
2000,Alabama,AL,Dallas,1047,President,George W. Bush,republican,7360,18464,20191203
2000,Alabama,AL,Dallas,1047,President,Ralph Nader,green,63,18464,20191203
2000,Alabama,AL,Dallas,1047,President,Other,NA,74,18464,20191203
2000,Alabama,AL,DeKalb,1049,President,Al Gore,democrat,7056,20285,20191203
2000,Alabama,AL,DeKalb,1049,President,George W. Bush,republican,12827,20285,20191203
2000,Alabama,AL,DeKalb,1049,President,Ralph Nader,green,175,20285,20191203
2000,Alabama,AL,DeKalb,1049,President,Other,NA,227,20285,20191203
2000,Alabama,AL,Elmore,1051,President,Al Gore,democrat,6652,23804,20191203
2000,Alabama,AL,Elmore,1051,President,George W. Bush,republican,16777,23804,20191203
2000,Alabama,AL,Elmore,1051,President,Ralph Nader,green,212,23804,20191203
2000,Alabama,AL,Elmore,1051,President,Other,NA,163,23804,20191203
2000,Alabama,AL,Escambia,1053,President,Al Gore,democrat,4523,11660,20191203
2000,Alabama,AL,Escambia,1053,President,George W. Bush,republican,6975,11660,20191203
2000,Alabama,AL,Escambia,1053,President,Ralph Nader,green,78,11660,20191203
2000,Alabama,AL,Escambia,1053,President,Other,NA,84,11660,20191203
2000,Alabama,AL,Etowah,1055,President,Al Gore,democrat,17433,39348,20191203
2000,Alabama,AL,Etowah,1055,President,George W. Bush,republican,21087,39348,20191203
2000,Alabama,AL,Etowah,1055,President,Ralph Nader,green,435,39348,20191203
2000,Alabama,AL,Etowah,1055,President,Other,NA,393,39348,20191203
2000,Alabama,AL,Fayette,1057,President,Al Gore,democrat,3064,7808,20191203
2000,Alabama,AL,Fayette,1057,President,George W. Bush,republican,4582,7808,20191203
2000,Alabama,AL,Fayette,1057,President,Ralph Nader,green,60,7808,20191203
2000,Alabama,AL,Fayette,1057,President,Other,NA,102,7808,20191203
2000,Alabama,AL,Franklin,1059,President,Al Gore,democrat,4793,11103,20191203
2000,Alabama,AL,Franklin,1059,President,George W. Bush,republican,6119,11103,20191203
2000,Alabama,AL,Franklin,1059,President,Ralph Nader,green,72,11103,20191203
2000,Alabama,AL,Franklin,1059,President,Other,NA,119,11103,20191203
2000,Alabama,AL,Geneva,1061,President,Al Gore,democrat,2769,9559,20191203
2000,Alabama,AL,Geneva,1061,President,George W. Bush,republican,6588,9559,20191203
2000,Alabama,AL,Geneva,1061,President,Ralph Nader,green,97,9559,20191203
2000,Alabama,AL,Geneva,1061,President,Other,NA,105,9559,20191203
2000,Alabama,AL,Greene,1063,President,Al Gore,democrat,3504,4396,20191203
2000,Alabama,AL,Greene,1063,President,George W. Bush,republican,850,4396,20191203
2000,Alabama,AL,Greene,1063,President,Ralph Nader,green,24,4396,20191203
2000,Alabama,AL,Greene,1063,President,Other,NA,18,4396,20191203
2000,Alabama,AL,Hale,1065,President,Al Gore,democrat,4652,7731,20191203
2000,Alabama,AL,Hale,1065,President,George W. Bush,republican,2984,7731,20191203
2000,Alabama,AL,Hale,1065,President,Ralph Nader,green,43,7731,20191203
2000,Alabama,AL,Hale,1065,President,Other,NA,52,7731,20191203
2000,Alabama,AL,Henry,1067,President,Al Gore,democrat,2782,6932,20191203
2000,Alabama,AL,Henry,1067,President,George W. Bush,republican,4054,6932,20191203
2000,Alabama,AL,Henry,1067,President,Ralph Nader,green,48,6932,20191203
2000,Alabama,AL,Henry,1067,President,Other,NA,48,6932,20191203
2000,Alabama,AL,Houston,1069,President,Al Gore,democrat,9412,32057,20191203
2000,Alabama,AL,Houston,1069,President,George W. Bush,republican,22150,32057,20191203
2000,Alabama,AL,Houston,1069,President,Ralph Nader,green,257,32057,20191203
2000,Alabama,AL,Houston,1069,President,Other,NA,238,32057,20191203
2000,Alabama,AL,Jackson,1071,President,Al Gore,democrat,9066,17906,20191203
2000,Alabama,AL,Jackson,1071,President,George W. Bush,republican,8475,17906,20191203
2000,Alabama,AL,Jackson,1071,President,Ralph Nader,green,184,17906,20191203
2000,Alabama,AL,Jackson,1071,President,Other,NA,181,17906,20191203
2000,Alabama,AL,Jefferson,1073,President,Al Gore,democrat,129889,273763,20191203
2000,Alabama,AL,Jefferson,1073,President,George W. Bush,republican,138491,273763,20191203
2000,Alabama,AL,Jefferson,1073,President,Ralph Nader,green,3393,273763,20191203
2000,Alabama,AL,Jefferson,1073,President,Other,NA,1990,273763,20191203
2000,Alabama,AL,Lamar,1075,President,Al Gore,democrat,2653,7249,20191203
2000,Alabama,AL,Lamar,1075,President,George W. Bush,republican,4470,7249,20191203
2000,Alabama,AL,Lamar,1075,President,Ralph Nader,green,57,7249,20191203
2000,Alabama,AL,Lamar,1075,President,Other,NA,69,7249,20191203
2000,Alabama,AL,Lauderdale,1077,President,Al Gore,democrat,13875,32137,20191203
2000,Alabama,AL,Lauderdale,1077,President,George W. Bush,republican,17478,32137,20191203
2000,Alabama,AL,Lauderdale,1077,President,Ralph Nader,green,354,32137,20191203
2000,Alabama,AL,Lauderdale,1077,President,Other,NA,430,32137,20191203
2000,Alabama,AL,Lawrence,1079,President,Al Gore,democrat,6296,12185,20191203
2000,Alabama,AL,Lawrence,1079,President,George W. Bush,republican,5671,12185,20191203
2000,Alabama,AL,Lawrence,1079,President,Ralph Nader,green,63,12185,20191203
2000,Alabama,AL,Lawrence,1079,President,Other,NA,155,12185,20191203
2000,Alabama,AL,Lee,1081,President,Al Gore,democrat,14574,38264,20191203
2000,Alabama,AL,Lee,1081,President,George W. Bush,republican,22433,38264,20191203
2000,Alabama,AL,Lee,1081,President,Ralph Nader,green,895,38264,20191203
2000,Alabama,AL,Lee,1081,President,Other,NA,362,38264,20191203
2000,Alabama,AL,Limestone,1083,President,Al Gore,democrat,8992,23634,20191203
2000,Alabama,AL,Limestone,1083,President,George W. Bush,republican,14204,23634,20191203
2000,Alabama,AL,Limestone,1083,President,Ralph Nader,green,193,23634,20191203
2000,Alabama,AL,Limestone,1083,President,Other,NA,245,23634,20191203
2000,Alabama,AL,Lowndes,1085,President,Al Gore,democrat,4557,6243,20191203
2000,Alabama,AL,Lowndes,1085,President,George W. Bush,republican,1638,6243,20191203
2000,Alabama,AL,Lowndes,1085,President,Ralph Nader,green,18,6243,20191203
2000,Alabama,AL,Lowndes,1085,President,Other,NA,30,6243,20191203
2000,Alabama,AL,Macon,1087,President,Al Gore,democrat,7665,8831,20191203
2000,Alabama,AL,Macon,1087,President,George W. Bush,republican,1091,8831,20191203
2000,Alabama,AL,Macon,1087,President,Ralph Nader,green,31,8831,20191203
2000,Alabama,AL,Macon,1087,President,Other,NA,44,8831,20191203
2000,Alabama,AL,Madison,1089,President,Al Gore,democrat,48199,113318,20191203
2000,Alabama,AL,Madison,1089,President,George W. Bush,republican,62151,113318,20191203
2000,Alabama,AL,Madison,1089,President,Ralph Nader,green,1885,113318,20191203
2000,Alabama,AL,Madison,1089,President,Other,NA,1083,113318,20191203
2000,Alabama,AL,Marengo,1091,President,Al Gore,democrat,4841,9608,20191203
2000,Alabama,AL,Marengo,1091,President,George W. Bush,republican,4690,9608,20191203
2000,Alabama,AL,Marengo,1091,President,Ralph Nader,green,40,9608,20191203
2000,Alabama,AL,Marengo,1091,President,Other,NA,37,9608,20191203
2000,Alabama,AL,Marion,1093,President,Al Gore,democrat,4600,11756,20191203
2000,Alabama,AL,Marion,1093,President,George W. Bush,republican,6910,11756,20191203
2000,Alabama,AL,Marion,1093,President,Ralph Nader,green,125,11756,20191203
2000,Alabama,AL,Marion,1093,President,Other,NA,121,11756,20191203
2000,Alabama,AL,Marshall,1095,President,Al Gore,democrat,10381,27989,20191203
2000,Alabama,AL,Marshall,1095,President,George W. Bush,republican,17084,27989,20191203
2000,Alabama,AL,Marshall,1095,President,Ralph Nader,green,256,27989,20191203
2000,Alabama,AL,Marshall,1095,President,Other,NA,268,27989,20191203
2000,Alabama,AL,Mobile,1097,President,Al Gore,democrat,58640,139745,20191203
2000,Alabama,AL,Mobile,1097,President,George W. Bush,republican,78162,139745,20191203
2000,Alabama,AL,Mobile,1097,President,Ralph Nader,green,1585,139745,20191203
2000,Alabama,AL,Mobile,1097,President,Other,NA,1358,139745,20191203
2000,Alabama,AL,Monroe,1099,President,Al Gore,democrat,3741,8951,20191203
2000,Alabama,AL,Monroe,1099,President,George W. Bush,republican,5153,8951,20191203
2000,Alabama,AL,Monroe,1099,President,Ralph Nader,green,25,8951,20191203
2000,Alabama,AL,Monroe,1099,President,Other,NA,32,8951,20191203
2000,Alabama,AL,Montgomery,1101,President,Al Gore,democrat,40371,80328,20191203
2000,Alabama,AL,Montgomery,1101,President,George W. Bush,republican,38827,80328,20191203
2000,Alabama,AL,Montgomery,1101,President,Ralph Nader,green,677,80328,20191203
2000,Alabama,AL,Montgomery,1101,President,Other,NA,453,80328,20191203
2000,Alabama,AL,Morgan,1103,President,Al Gore,democrat,16060,42681,20191203
2000,Alabama,AL,Morgan,1103,President,George W. Bush,republican,25774,42681,20191203
2000,Alabama,AL,Morgan,1103,President,Ralph Nader,green,450,42681,20191203
2000,Alabama,AL,Morgan,1103,President,Other,NA,397,42681,20191203
2000,Alabama,AL,Perry,1105,President,Al Gore,democrat,4020,5787,20191203
2000,Alabama,AL,Perry,1105,President,George W. Bush,republican,1732,5787,20191203
2000,Alabama,AL,Perry,1105,President,Ralph Nader,green,18,5787,20191203
2000,Alabama,AL,Perry,1105,President,Other,NA,17,5787,20191203
2000,Alabama,AL,Pickens,1107,President,Al Gore,democrat,4143,8540,20191203
2000,Alabama,AL,Pickens,1107,President,George W. Bush,republican,4306,8540,20191203
2000,Alabama,AL,Pickens,1107,President,Ralph Nader,green,39,8540,20191203
2000,Alabama,AL,Pickens,1107,President,Other,NA,52,8540,20191203
2000,Alabama,AL,Pike,1109,President,Al Gore,democrat,4357,10544,20191203
2000,Alabama,AL,Pike,1109,President,George W. Bush,republican,6058,10544,20191203
2000,Alabama,AL,Pike,1109,President,Ralph Nader,green,75,10544,20191203
2000,Alabama,AL,Pike,1109,President,Other,NA,54,10544,20191203
2000,Alabama,AL,Randolph,1111,President,Al Gore,democrat,3094,7919,20191203
2000,Alabama,AL,Randolph,1111,President,George W. Bush,republican,4666,7919,20191203
2000,Alabama,AL,Randolph,1111,President,Ralph Nader,green,60,7919,20191203
2000,Alabama,AL,Randolph,1111,President,Other,NA,99,7919,20191203
2000,Alabama,AL,Russell,1113,President,Al Gore,democrat,8396,14775,20191203
2000,Alabama,AL,Russell,1113,President,George W. Bush,republican,6198,14775,20191203
2000,Alabama,AL,Russell,1113,President,Ralph Nader,green,109,14775,20191203
2000,Alabama,AL,Russell,1113,President,Other,NA,72,14775,20191203
2000,Alabama,AL,St. Clair,1115,President,Al Gore,democrat,6485,24090,20191203
2000,Alabama,AL,St. Clair,1115,President,George W. Bush,republican,17117,24090,20191203
2000,Alabama,AL,St. Clair,1115,President,Ralph Nader,green,221,24090,20191203
2000,Alabama,AL,St. Clair,1115,President,Other,NA,267,24090,20191203
2000,Alabama,AL,Shelby,1117,President,Al Gore,democrat,13183,62128,20191203
2000,Alabama,AL,Shelby,1117,President,George W. Bush,republican,47651,62128,20191203
2000,Alabama,AL,Shelby,1117,President,Ralph Nader,green,812,62128,20191203
2000,Alabama,AL,Shelby,1117,President,Other,NA,482,62128,20191203
2000,Alabama,AL,Sumter,1119,President,Al Gore,democrat,4415,6088,20191203
2000,Alabama,AL,Sumter,1119,President,George W. Bush,republican,1629,6088,20191203
2000,Alabama,AL,Sumter,1119,President,Ralph Nader,green,20,6088,20191203
2000,Alabama,AL,Sumter,1119,President,Other,NA,24,6088,20191203
2000,Alabama,AL,Talladega,1121,President,Al Gore,democrat,11264,25451,20191203
2000,Alabama,AL,Talladega,1121,President,George W. Bush,republican,13807,25451,20191203
2000,Alabama,AL,Talladega,1121,President,Ralph Nader,green,184,25451,20191203
2000,Alabama,AL,Talladega,1121,President,Other,NA,196,25451,20191203
2000,Alabama,AL,Tallapoosa,1123,President,Al Gore,democrat,6183,16253,20191203
2000,Alabama,AL,Tallapoosa,1123,President,George W. Bush,republican,9805,16253,20191203
2000,Alabama,AL,Tallapoosa,1123,President,Ralph Nader,green,153,16253,20191203
2000,Alabama,AL,Tallapoosa,1123,President,Other,NA,112,16253,20191203
2000,Alabama,AL,Tuscaloosa,1125,President,Al Gore,democrat,24614,60114,20191203
2000,Alabama,AL,Tuscaloosa,1125,President,George W. Bush,republican,34003,60114,20191203
2000,Alabama,AL,Tuscaloosa,1125,President,Ralph Nader,green,1007,60114,20191203
2000,Alabama,AL,Tuscaloosa,1125,President,Other,NA,490,60114,20191203
2000,Alabama,AL,Walker,1127,President,Al Gore,democrat,11621,25641,20191203
2000,Alabama,AL,Walker,1127,President,George W. Bush,republican,13486,25641,20191203
2000,Alabama,AL,Walker,1127,President,Ralph Nader,green,264,25641,20191203
2000,Alabama,AL,Walker,1127,President,Other,NA,270,25641,20191203
2000,Alabama,AL,Washington,1129,President,Al Gore,democrat,3386,7596,20191203
2000,Alabama,AL,Washington,1129,President,George W. Bush,republican,4117,7596,20191203
2000,Alabama,AL,Washington,1129,President,Ralph Nader,green,26,7596,20191203
2000,Alabama,AL,Washington,1129,President,Other,NA,67,7596,20191203
2000,Alabama,AL,Wilcox,1131,President,Al Gore,democrat,3444,5126,20191203
2000,Alabama,AL,Wilcox,1131,President,George W. Bush,republican,1661,5126,20191203
2000,Alabama,AL,Wilcox,1131,President,Ralph Nader,green,6,5126,20191203
2000,Alabama,AL,Wilcox,1131,President,Other,NA,15,5126,20191203
2000,Alabama,AL,Winston,1133,President,Al Gore,democrat,2692,9318,20191203
2000,Alabama,AL,Winston,1133,President,George W. Bush,republican,6413,9318,20191203
2000,Alabama,AL,Winston,1133,President,Ralph Nader,green,88,9318,20191203
2000,Alabama,AL,Winston,1133,President,Other,NA,125,9318,20191203
2000,Arizona,AZ,Apache,4001,President,Al Gore,democrat,13025,19456,20191203
2000,Arizona,AZ,Apache,4001,President,George W. Bush,republican,5947,19456,20191203
2000,Arizona,AZ,Apache,4001,President,Ralph Nader,green,245,19456,20191203
2000,Arizona,AZ,Apache,4001,President,Other,NA,239,19456,20191203
2000,Arizona,AZ,Cochise,4003,President,Al Gore,democrat,13360,33241,20191203
2000,Arizona,AZ,Cochise,4003,President,George W. Bush,republican,18180,33241,20191203
2000,Arizona,AZ,Cochise,4003,President,Ralph Nader,green,1113,33241,20191203
2000,Arizona,AZ,Cochise,4003,President,Other,NA,588,33241,20191203
2000,Arizona,AZ,Coconino,4005,President,Al Gore,democrat,20280,40883,20191203
2000,Arizona,AZ,Coconino,4005,President,George W. Bush,republican,17562,40883,20191203
2000,Arizona,AZ,Coconino,4005,President,Ralph Nader,green,2478,40883,20191203
2000,Arizona,AZ,Coconino,4005,President,Other,NA,563,40883,20191203
2000,Arizona,AZ,Gila,4007,President,Al Gore,democrat,7700,17736,20191203
2000,Arizona,AZ,Gila,4007,President,George W. Bush,republican,9158,17736,20191203
2000,Arizona,AZ,Gila,4007,President,Ralph Nader,green,497,17736,20191203
2000,Arizona,AZ,Gila,4007,President,Other,NA,381,17736,20191203
2000,Arizona,AZ,Graham,4009,President,Al Gore,democrat,3355,9664,20191203
2000,Arizona,AZ,Graham,4009,President,George W. Bush,republican,6007,9664,20191203
2000,Arizona,AZ,Graham,4009,President,Ralph Nader,green,144,9664,20191203
2000,Arizona,AZ,Graham,4009,President,Other,NA,158,9664,20191203
2000,Arizona,AZ,Greenlee,4011,President,Al Gore,democrat,1216,2960,20191203
2000,Arizona,AZ,Greenlee,4011,President,George W. Bush,republican,1619,2960,20191203
2000,Arizona,AZ,Greenlee,4011,President,Ralph Nader,green,68,2960,20191203
2000,Arizona,AZ,Greenlee,4011,President,Other,NA,57,2960,20191203
2000,Arizona,AZ,La Paz,4012,President,Al Gore,democrat,1769,4483,20191203
2000,Arizona,AZ,La Paz,4012,President,George W. Bush,republican,2543,4483,20191203
2000,Arizona,AZ,La Paz,4012,President,Ralph Nader,green,91,4483,20191203
2000,Arizona,AZ,La Paz,4012,President,Other,NA,80,4483,20191203
2000,Arizona,AZ,Maricopa,4013,President,Al Gore,democrat,386683,901699,20191203
2000,Arizona,AZ,Maricopa,4013,President,George W. Bush,republican,479967,901699,20191203
2000,Arizona,AZ,Maricopa,4013,President,Ralph Nader,green,22465,901699,20191203
2000,Arizona,AZ,Maricopa,4013,President,Other,NA,12584,901699,20191203
2000,Arizona,AZ,Mohave,4015,President,Al Gore,democrat,17470,44141,20191203
2000,Arizona,AZ,Mohave,4015,President,George W. Bush,republican,24386,44141,20191203
2000,Arizona,AZ,Mohave,4015,President,Ralph Nader,green,1323,44141,20191203
2000,Arizona,AZ,Mohave,4015,President,Other,NA,962,44141,20191203
2000,Arizona,AZ,Navajo,4017,President,Al Gore,democrat,11794,25147,20191203
2000,Arizona,AZ,Navajo,4017,President,George W. Bush,republican,12386,25147,20191203
2000,Arizona,AZ,Navajo,4017,President,Ralph Nader,green,517,25147,20191203
2000,Arizona,AZ,Navajo,4017,President,Other,NA,450,25147,20191203
2000,Arizona,AZ,Pima,4019,President,Al Gore,democrat,147688,287640,20191203
2000,Arizona,AZ,Pima,4019,President,George W. Bush,republican,124579,287640,20191203
2000,Arizona,AZ,Pima,4019,President,Ralph Nader,green,12355,287640,20191203
2000,Arizona,AZ,Pima,4019,President,Other,NA,3018,287640,20191203
2000,Arizona,AZ,Pinal,4021,President,Al Gore,democrat,19650,41290,20191203
2000,Arizona,AZ,Pinal,4021,President,George W. Bush,republican,20122,41290,20191203
2000,Arizona,AZ,Pinal,4021,President,Ralph Nader,green,904,41290,20191203
2000,Arizona,AZ,Pinal,4021,President,Other,NA,614,41290,20191203
2000,Arizona,AZ,Santa Cruz,4023,President,Al Gore,democrat,5233,8893,20191203
2000,Arizona,AZ,Santa Cruz,4023,President,George W. Bush,republican,3344,8893,20191203
2000,Arizona,AZ,Santa Cruz,4023,President,Ralph Nader,green,217,8893,20191203
2000,Arizona,AZ,Santa Cruz,4023,President,Other,NA,99,8893,20191203
2000,Arizona,AZ,Yavapai,4025,President,Al Gore,democrat,24063,68228,20191203
2000,Arizona,AZ,Yavapai,4025,President,George W. Bush,republican,40144,68228,20191203
2000,Arizona,AZ,Yavapai,4025,President,Ralph Nader,green,2733,68228,20191203
2000,Arizona,AZ,Yavapai,4025,President,Other,NA,1288,68228,20191203
2000,Arizona,AZ,Yuma,4027,President,Al Gore,democrat,12055,28652,20191203
2000,Arizona,AZ,Yuma,4027,President,George W. Bush,republican,15708,28652,20191203
2000,Arizona,AZ,Yuma,4027,President,Ralph Nader,green,495,28652,20191203
2000,Arizona,AZ,Yuma,4027,President,Other,NA,394,28652,20191203
2000,Arkansas,AR,Arkansas,5001,President,Al Gore,democrat,2877,6372,20191203
2000,Arkansas,AR,Arkansas,5001,President,George W. Bush,republican,3353,6372,20191203
2000,Arkansas,AR,Arkansas,5001,President,Ralph Nader,green,65,6372,20191203
2000,Arkansas,AR,Arkansas,5001,President,Other,NA,77,6372,20191203
2000,Arkansas,AR,Ashley,5003,President,Al Gore,democrat,4253,8271,20191203
2000,Arkansas,AR,Ashley,5003,President,George W. Bush,republican,3876,8271,20191203
2000,Arkansas,AR,Ashley,5003,President,Ralph Nader,green,61,8271,20191203
2000,Arkansas,AR,Ashley,5003,President,Other,NA,81,8271,20191203
2000,Arkansas,AR,Baxter,5005,President,Al Gore,democrat,6516,16708,20191203
2000,Arkansas,AR,Baxter,5005,President,George W. Bush,republican,9538,16708,20191203
2000,Arkansas,AR,Baxter,5005,President,Ralph Nader,green,429,16708,20191203
2000,Arkansas,AR,Baxter,5005,President,Other,NA,225,16708,20191203
2000,Arkansas,AR,Benton,5007,President,Al Gore,democrat,17277,53646,20191203
2000,Arkansas,AR,Benton,5007,President,George W. Bush,republican,34838,53646,20191203
2000,Arkansas,AR,Benton,5007,President,Ralph Nader,green,862,53646,20191203
2000,Arkansas,AR,Benton,5007,President,Other,NA,669,53646,20191203
2000,Arkansas,AR,Boone,5009,President,Al Gore,democrat,4493,13635,20191203
2000,Arkansas,AR,Boone,5009,President,George W. Bush,republican,8569,13635,20191203
2000,Arkansas,AR,Boone,5009,President,Ralph Nader,green,289,13635,20191203
2000,Arkansas,AR,Boone,5009,President,Other,NA,284,13635,20191203
2000,Arkansas,AR,Bradley,5011,President,Al Gore,democrat,2122,3979,20191203
