url,league_name
1881,Mexican Liga MX 
1919,English League Championship 
121,English League Two 
110093,Argentina Primera División  
347,Italian Serie A 
101146,Japanese J. League Division 1 
100888,Spain Primera Division 
110781,Mexican Liga MX 
1940,English League Two 
64,French Ligue 2 
1793,English League Championship 
10030,German 1. Bundesliga 
254,Austrian Football Bundesliga 
111109,International
689,USA Major League Soccer 
1807,English League Championship 
1804,English League Two 
1945,English League One 
89,English League Championship 
1882,Mexican Liga MX 
110832,Spain Primera Division 
206,Italian Serie A 
1871,Polish T-Mobile Ekstraklasa 
224,French Ligue 1 
1861,Spanish Segunda División 
112678,Mexican Liga MX 
113134,Mexican Liga MX 
110144,Mexican Liga MX 
1365,International
1920,English League Two 
1356,International
467,Spain Primera Division 
1932,English League Championship 
1935,English League Two 
97,English League Championship 
110147,Mexican Liga MX 
1801,English League Championship 
503,German 2. Bundesliga 
1377,International
111822,Austrian Football Bundesliga 
62,French Ligue 2 
110329,German 2. Bundesliga 
1886,International
1900,Portuguese Liga ZON SAGRES 
1929,English League Two 
480,Spanish Segunda División 
1896,Portuguese Liga ZON SAGRES 
266,Czech Republic Gambrinus Liga 
379,French Ligue 1 
1530,French Ligue 1 
900,Swiss Super League 
1353,International
112791,Italian Serie A 
267,Czech Republic Gambrinus Liga 
111701,UAE Arabian Gulf League 
110816,Romanian Liga I 
1944,English League Two 
110569,French Ligue 1 
68,French Ligue 1 
873,Polish T-Mobile Ekstraklasa 
1958,English League Two 
393,Greek Super League 
112540,Chinese Super League 
112828,USA Major League Soccer 
111817,French Ligue 2 
110532,German 3. Bundesliga 
561,English League Two 
1917,English League Championship 
192,Italian Serie B 
1331,International
110704,Spanish Segunda División 
111239,German 3. Bundesliga 
110150,Mexican Liga MX 
378,French Ligue 1 
110145,Mexican Liga MX 
1887,Portuguese Liga ZON SAGRES 
605,Saudi Abdul L. Jameel League 
101114,Mexican Liga MX 
111678,Mexican Liga MX 
688,USA Major League Soccer 
113149,USA Major League Soccer 
1923,English League Championship 
456,Spanish Segunda División 
230,Belgian Jupiler Pro League 
1013,Argentina Primera División  
57,French Ligue 2 
1816,French Ligue 1 
1926,English League One 
1800,English League One 
111112,International
1915,Holland Eredivisie 
819,Danish Superliga 
217,French Ligue 2 
1889,Portuguese Liga ZON SAGRES 
111144,USA Major League Soccer 
1909,Holland Eredivisie 
111235,German 2. Bundesliga 
1322,International
92,English League Two 
112254,English League Two 
1938,English League One 
110839,Spanish Segunda División 
209,Austrian Football Bundesliga 
160,German 2. Bundesliga 
1803,English League Two 
112026,Italian Serie B 
111459,International
1413,International
110980,Chilian Campeonato Nacional 
1746,Italian Serie B 
27,German 3. Bundesliga 
1908,Holland Eredivisie 
252,Austrian Football Bundesliga 
111091,Polish T-Mobile Ekstraklasa 
1930,English League Two 
1951,English League One 
110827,Spanish Segunda División 
110975,Chilian Campeonato Nacional 
1367,International
101100,Colombian Liga Postobón 
110404,Argentina Primera División  
101121,Mexican Liga MX 
112093,Japanese J. League Division 1 
101147,Japanese J. League Division 1 
1738,French Ligue 2 
1825,German 3. Bundesliga 
143,English League Two 
167,German 3. Bundesliga 
1738,French Ligue 2 
1053,Campeonato Brasileiro Série A 
278,Greek Super League 
112259,English League One 
1903,Holland Eredivisie 
320,Swedish Allsvenskan 
1798,English League One 
1375,International
1359,International
1949,English League Two 
1934,English League Two 
567,Campeonato Brasileiro Série A 
576,German 2. Bundesliga 
101101,Colombian Liga Postobón 
1959,English League Two 
1884,Greek Super League 
111400,Australian Hyundai A-League 
111455,International
112378,Chinese Super League 
1788,Danish Superliga 
113180,Romanian Liga I 
256,Austrian Football Bundesliga 
100325,Finnish Veikkausliiga 
110482,German 3. Bundesliga 
110724,Belgian Jupiler Pro League 
149,English League One 
111399,Australian Hyundai A-League 
1928,English League Two 
111651,USA Major League Soccer 
15048,English League One 
114023,Australian Hyundai A-League 
1907,Holland Eredivisie 
1873,Polish T-Mobile Ekstraklasa 
1854,Spanish Segunda División 
1035,Campeonato Brasileiro Série A 
110406,Argentina Primera División  
100757,Romanian Liga I 
101083,Argentina Primera División  
1802,English League One 
80,Scottish Premiership 
1048,Campeonato Brasileiro Série A 
110745,Polish T-Mobile Ekstraklasa 
111730,Japanese J. League Division 1 
357,English League Two 
1352,International
744,Portuguese Liga ZON SAGRES 
1913,Holland Eredivisie 
680,Belgian Jupiler Pro League 
361,English League Two 
1363,International
15029,Chilian Campeonato Nacional 
308,Romanian Liga I 
111487,International
487,German 2. Bundesliga 
101151,Japanese J. League Division 1 
112139,Saudi Abdul L. Jameel League 
111710,Argentina Primera División  
112606,USA Major League Soccer 
100831,Spanish Segunda División 
110065,Spanish Segunda División 
110890,English League Two 
111710,Argentina Primera División  
710,Swedish Allsvenskan 
110500,German 3. Bundesliga 
319,Swedish Allsvenskan 
111108,International
110738,Italian Serie B 
110746,Polish T-Mobile Ekstraklasa 
111560,Belgian Jupiler Pro League 
1357,International
127,English League One 
1954,English League One 
210,French Ligue 2 
1364,International
205,Italian Serie B 
614,French Ligue 2 
433,Swedish Allsvenskan 
77,Scottish Premiership 
112387,Saudi Abdul L. Jameel League 
110734,Italian Serie B 
110591,German 3. Bundesliga 
226,French Ligue 2 
894,Swiss Super League 
110592,German 3. Bundesliga 
708,Swedish Allsvenskan 
112224,Australian Hyundai A-League 
110396,Argentina Primera División  
199,Italian Serie B 
10031,Portuguese Liga ZON SAGRES 
111140,USA Major League Soccer 
110152,Mexican Liga MX 
1355,International
2023,Spanish Segunda División 
110502,German 2. Bundesliga 
110597,German 3. Bundesliga 
110955,Chinese Super League 
101041,Turkish Süper Lig 
172,German 3. Bundesliga 
100646,Holland Eredivisie 
111132,Rep. Ireland Airtricity League 
110645,German 3. Bundesliga 
100769,Russian Premier League 
113142,Turkish Süper Lig 
112516,Portuguese Liga ZON SAGRES 
113677,Campeonato Brasileiro Série A 
111465,International
101150,Japanese J. League Division 1 
111657,Italian Serie B 
101025,Turkish Süper Lig 
112978,Chinese Super League 
112162,Chinese Super League 
111339,Turkish Süper Lig 
111397,Australian Hyundai A-League 
111659,French Ligue 2 
110580,Argentina Primera División  
110373,Italian Serie B 
111575,Japanese J. League Division 1 
110456,French Ligue 2 
260,Spanish Segunda División 
1936,English League Two 
1815,French Ligue 2 
159,German 2. Bundesliga 
837,Rep. Ireland Airtricity League 
1516,Danish Superliga 
1334,International
634,Holland Eredivisie 
101025,Turkish Süper Lig 
81,Scottish Premiership 
1477,Korean K League Classic 
100081,Belgian Jupiler Pro League 
200,Italian Serie B 
298,Norwegian Eliteserien 
531,German 3. Bundesliga 
165,German 2. Bundesliga 
696,USA Major League Soccer 
1933,English League One 
271,Danish Superliga 
111768,Chinese Super League 
1898,Portuguese Liga ZON SAGRES 
15015,English League One 
477,Spanish Segunda División 
694,USA Major League Soccer 
687,USA Major League Soccer 
1968,Spanish Segunda División 
468,Spanish Segunda División 
112627,French Ligue 2 
695,USA Major League Soccer 
506,German 2. Bundesliga 
110197,German 3. Bundesliga 
110776,Turkish Süper Lig 
100634,Holland Eredivisie 
702,Swedish Allsvenskan 
111466,International
1739,French Ligue 2 
112092,Japanese J. League Division 1 
1955,English League One 
15005,Belgian Jupiler Pro League 
111928,USA Major League Soccer 
306,Rep. Ireland Airtricity League 
111773,Chinese Super League 
110977,Chilian Campeonato Nacional 
110588,German 3. Bundesliga 
111019,Argentina Primera División  
1395,International
1480,English League Two 
112965,Argentina Primera División  
111993,Italian Serie B 
110747,Polish T-Mobile Ekstraklasa 
111130,International
1892,Portuguese Liga ZON SAGRES 
110770,Swiss Super League 
112429,Chinese Super League 
110929,South African Premier Division 
111139,USA Major League Soccer 
111086,Polish T-Mobile Ekstraklasa 
1905,Holland Eredivisie 
111724,Chinese Super League 
112535,Chilian Campeonato Nacional 
1395,International
507,German 3. Bundesliga 
693,USA Major League Soccer 
142,English League One 
1338,International
420,Polish T-Mobile Ekstraklasa 
691,USA Major League Soccer 
459,Spanish Segunda División 
650,Holland Eredivisie 
1823,French Ligue 2 
110313,English League One 
111393,Australian Hyundai A-League 
101097,Chilian Campeonato Nacional 
1415,International
111395,Australian Hyundai A-League 
112584,Chilian Campeonato Nacional 
112116,Chilian Campeonato Nacional 
112124,Italian Serie B 
111396,Australian Hyundai A-League 
101148,Japanese J. League Division 1 
112670,Argentina Primera División  
568,Campeonato Brasileiro Série A 
112260,English League One 
1888,Portuguese Liga ZON SAGRES 
101084,Argentina Primera División  
112444,Japanese J. League Division 1 
101103,Colombian Liga Postobón 
101104,Colombian Liga Postobón 
2013,Belgian Jupiler Pro League 
101020,Turkish Süper Lig 
101007,Turkish Süper Lig 
417,Norwegian Eliteserien 
111398,Australian Hyundai A-League 
110081,International
110930,South African Premier Division 
112134,USA Major League Soccer 
1797,English League One 
111379,German 3. Bundesliga 
492,German 2. Bundesliga 
113160,Japanese J. League Division 1 
101149,Japanese J. League Division 1 
100804,Scottish Premiership 
112410,Italian Serie B 
110468,Czech Republic Gambrinus Liga 
113147,Italian Serie B 
15040,Austrian Football Bundesliga 
112541,Chinese Super League 
101099,Colombian Liga Postobón 
112847,Romanian Liga I 
101033,Turkish Süper Lig 
110854,Spanish Segunda División 
112705,Chilian Campeonato Nacional 
112168,Italian Serie B 
111722,Colombian Liga Postobón 
101102,Colombian Liga Postobón 
111821,Austrian Football Bundesliga 
114147,Romanian Liga I 
113183,Japanese J. League Division 1 
113958,Italian Serie B 
112075,Austrian Football Bundesliga 
543,German 2. Bundesliga 
820,Danish Superliga 
101033,Turkish Süper Lig 
305,Rep. Ireland Airtricity League 
269,Danish Superliga 
1327,International
1457,Turkish Süper Lig 
294,French Ligue 2 
1805,French Ligue 2 
101026,Turkish Süper Lig 
432,Swedish Allsvenskan 
1750,Belgian Jupiler Pro League 
682,Belgian Jupiler Pro League 
1844,Italian Serie B 
1914,Holland Eredivisie 
1843,Italian Serie B 
15009,Austrian Football Bundesliga 
423,Rep. Ireland Airtricity League 
983,Korean K League Classic 
1473,Korean K League Classic 
607,Saudi Abdul L. Jameel League 
741,Turkish Süper Lig 
1847,Italian Serie B 
111327,Chilian Campeonato Nacional 
110831,Spanish Segunda División 
1330,International
1445,Danish Superliga 
112218,Russian Premier League 
898,Swiss Super League 
1043,Campeonato Brasileiro Série A 
1832,German 2. Bundesliga 
82,Scottish Premiership 
83,Scottish Premiership 
110227,Russian Premier League 
110169,German 3. Bundesliga 
1785,Austrian Football Bundesliga 
1361,International
670,Belgian Jupiler Pro League 
111434,Italian Serie B 
111716,Argentina Primera División  
110913,Belgian Jupiler Pro League 
111085,Polish T-Mobile Ekstraklasa 
113391,Romanian Liga I 
113345,Saudi Abdul L. Jameel League 
1962,English League One 
112533,Chilian Campeonato Nacional 
110978,Chilian Campeonato Nacional 
110069,Spanish Segunda División 
111328,Chilian Campeonato Nacional 
112637,Romanian Liga I 
1341,International
101144,Japanese J. League Division 1 
111083,Polish T-Mobile Ekstraklasa 
113158,Japanese J. League Division 1 
111138,USA Major League Soccer 
111473,International
1937,English League Two 
110178,German 2. Bundesliga 
112836,Japanese J. League Division 1 
1569,Polish T-Mobile Ekstraklasa 
1039,Campeonato Brasileiro Série A 
445,Rep. Ireland Airtricity League 
469,Spanish Segunda División 
1341,International
272,Danish Superliga 
631,Scottish Premiership 
270,Danish Superliga 
418,Norwegian Eliteserien 
920,Norwegian Eliteserien 
1446,Danish Superliga 
112171,Swedish Allsvenskan 
113948,French Ligue 2 
111708,Argentina Primera División  
711,Swedish Allsvenskan 
111451,International
517,Campeonato Brasileiro Série A 
838,Rep. Ireland Airtricity League 
1891,Portuguese Liga ZON SAGRES 
112534,Chilian Campeonato Nacional 
110066,Spanish Segunda División 
113387,Romanian Liga I 
112165,Chinese Super League 
111723,Colombian Liga Postobón 
100766,Russian Premier League 
110752,Romanian Liga I 
100628,Holland Eredivisie 
10032,Swiss Super League 
897,Swiss Super League 
110231,Russian Premier League 
982,Korean K League Classic 
322,Swiss Super League 
111588,Korean K League Classic 
184,Scottish Premiership 
112425,Danish Superliga 
212,French Ligue 2 
299,Norwegian Eliteserien 
15001,Danish Superliga 
1904,Holland Eredivisie 
1786,Danish Superliga 
113157,Japanese J. League Division 1 
1438,Portuguese Liga ZON SAGRES 
111099,International
110741,Italian Serie B 
100805,Scottish Premiership 
1447,Danish Superliga 
2017,Austrian Football Bundesliga 
112983,Chinese Super League 
100651,Holland Eredivisie 
753,Rep. Ireland Airtricity League 
113259,Turkish Süper Lig 
101037,Turkish Süper Lig 
705,Swedish Allsvenskan 
113173,Swedish Allsvenskan 
112537,Chinese Super League 
112510,Polish T-Mobile Ekstraklasa 
112655,Chilian Campeonato Nacional 
112531,Chilian Campeonato Nacional 
113182,Romanian Liga I 
113458,Swedish Allsvenskan 
114326,Polish T-Mobile Ekstraklasa 
110401,Turkish Süper Lig 
111674,Saudi Abdul L. Jameel League 
112408,Saudi Abdul L. Jameel League 
112001,Campeonato Brasileiro Série A 
111082,Polish T-Mobile Ekstraklasa 
110394,Argentina Primera División  
1598,Campeonato Brasileiro Série A 
1848,Italian Serie B 
112510,Polish T-Mobile Ekstraklasa 
666,Portuguese Liga ZON SAGRES 
10019,Portuguese Liga ZON SAGRES 
112409,Italian Serie B 
111059,Campeonato Brasileiro Série A 
1813,French Ligue 2 
111711,Argentina Primera División  
1893,Portuguese Liga ZON SAGRES 
422,Rep. Ireland Airtricity League 
1867,Spanish Segunda División 
111721,Colombian Liga Postobón 
2056,Korean K League Classic 
1572,Rep. Ireland Airtricity League 
162,German 3. Bundesliga 
1715,Swiss Super League 
1463,Norwegian Eliteserien 
111131,Rep. Ireland Airtricity League 
112115,Korean K League Classic 
111706,Argentina Primera División  
111042,Campeonato Brasileiro Série A 
111779,Chinese Super League 
698,USA Major League Soccer 
1475,Korean K League Classic 
1439,Swedish Allsvenskan 
111035,Mexican Liga MX 
112420,Norwegian Eliteserien 
435,Swiss Super League 
15019,Spanish Segunda División 
101106,Colombian Liga Postobón 
383,Campeonato Brasileiro Série A 
1754,Scottish Premiership 
1474,Korean K League Classic 
110815,Romanian Liga I 
111065,USA Major League Soccer 
111273,French Ligue 2 
919,Norwegian Eliteserien 
2055,Korean K League Classic 
112199,Norwegian Eliteserien 
563,Rep. Ireland Airtricity League 
2007,Belgian Jupiler Pro League 
598,Campeonato Brasileiro Série A 
110109,Russian Premier League 
111774,Chinese Super League 
112448,Japanese J. League Division 1 
110700,German 3. Bundesliga 
550,German 3. Bundesliga 
300,Norwegian Eliteserien 
346,English League Two 
110749,Polish T-Mobile Ekstraklasa 
113057,Saudi Abdul L. Jameel League 
113186,Japanese J. League Division 1 
112934,Colombian Liga Postobón 
110467,Czech Republic Gambrinus Liga 
112390,Saudi Abdul L. Jameel League 
110234,Russian Premier League 
110756,Russian Premier League 
112119,Campeonato Brasileiro Série A 
112528,Colombian Liga Postobón 
111976,Campeonato Brasileiro Série A 
111707,Argentina Primera División  
112934,Colombian Liga Postobón 
112585,Chilian Campeonato Nacional 
312,Russian Premier League 
112526,Colombian Liga Postobón 
10020,Portuguese Liga ZON SAGRES 
112096,Saudi Abdul L. Jameel League 
110233,Russian Premier League 
2045,Austrian Football Bundesliga 
918,Norwegian Eliteserien 
110911,Italian Serie B 
111052,Campeonato Brasileiro Série A 
110316,French Ligue 2 
101024,Turkish Süper Lig 
111491,Italian Serie B 
112258,Korean K League Classic 
111705,Swedish Allsvenskan 
700,Swedish Allsvenskan 
1524,Norwegian Eliteserien 
110765,Korean K League Classic 
112679,Mexican Liga MX 
112903,Colombian Liga Postobón 
1478,Korean K League Classic 
101145,Japanese J. League Division 1 
112523,Colombian Liga Postobón 
239,Belgian Jupiler Pro League 
621,Scottish Premiership 
112505,Polish T-Mobile Ekstraklasa 
112925,Argentina Primera División  
1456,Norwegian Eliteserien 
110912,Italian Serie B 
112527,Colombian Liga Postobón 
111802,Italian Serie B 
1828,German 2. Bundesliga 
780,Austrian Football Bundesliga 
110694,German 3. Bundesliga 
110149,Mexican Liga MX 
112668,Chilian Campeonato Nacional 
111713,Argentina Primera División  
111114,International
324,Swiss Super League 
110714,Spanish Segunda División 
917,Norwegian Eliteserien 
922,Norwegian Eliteserien 
570,Italian Serie B 
110526,German 2. Bundesliga 
112552,French Ligue 2 
1366,International
112715,Colombian Liga Postobón 
203,Italian Serie B 
1719,Campeonato Brasileiro Série A 
665,Portuguese Liga ZON SAGRES 
111968,Rep. Ireland Airtricity League 
180,Scottish Premiership 
147,English League Two 
203,Italian Serie B 
112708,Chilian Campeonato Nacional 
113058,Saudi Abdul L. Jameel League 
112990,Saudi Abdul L. Jameel League 
112389,Saudi Abdul L. Jameel League 
113222,Saudi Abdul L. Jameel League 
112883,Saudi Abdul L. Jameel League 
112676,Saudi Abdul L. Jameel League 
112675,Saudi Abdul L. Jameel League 
112391,Saudi Abdul L. Jameel League 
112392,Saudi Abdul L. Jameel League 
112407,Saudi Abdul L. Jameel League 
112393,Saudi Abdul L. Jameel League 
112906,Japanese J. League Division 1 
112579,Colombian Liga Postobón 
112992,Colombian Liga Postobón 
112889,Turkish Süper Lig 
112549,French Ligue 2 
112476,Campeonato Brasileiro Série A 
112713,Argentina Primera División  
112904,Argentina Primera División  
112709,Chilian Campeonato Nacional 
112909,Argentina Primera División  
113876,Swedish Allsvenskan 
113217,Saudi Abdul L. Jameel League 
112525,Colombian Liga Postobón 
112586,Chilian Campeonato Nacional 
112513,Portuguese Liga ZON SAGRES 
113720,Danish Superliga 
112261,Russian Premier League 
112398,Italian Serie B 
113704,Russian Premier League 
112424,Danish Superliga 
112834,Colombian Liga Postobón 
112281,Italian Serie B 
112394,Saudi Abdul L. Jameel League 
112970,Colombian Liga Postobón 
113459,Norwegian Eliteserien 
112487,Italian Serie B 
112395,Saudi Abdul L. Jameel League 
112282,Italian Serie B 
113219,Saudi Abdul L. Jameel League 
112345,Japanese J. League Division 1 
112958,Turkish Süper Lig 
112578,Colombian Liga Postobón 
112508,Polish T-Mobile Ekstraklasa 
112374,Norwegian Eliteserien 
113378,Romanian Liga I 
112558,Korean K League Classic 
112267,Swedish Allsvenskan 
112968,Colombian Liga Postobón 
113216,Spanish Segunda División 
112902,Spanish Segunda División 
112830,Colombian Liga Postobón 
112517,Portuguese Liga ZON SAGRES 
112237,Italian Serie B 
113162,Japanese J. League Division 1 
112954,Italian Serie B 
111989,French Ligue 2 
111340,Turkish Süper Lig 
111717,Argentina Primera División  
111704,Campeonato Brasileiro Série A 
111965,Rep. Ireland Airtricity League 
111812,Czech Republic Gambrinus Liga 
111985,Czech Republic Gambrinus Liga 
112019,Colombian Liga Postobón 
112232,Turkish Süper Lig 
111827,Spanish Segunda División 
111984,Portuguese Liga ZON SAGRES 
111666,Mexican Liga MX 
111769,Chinese Super League 
111715,Argentina Primera División  
111810,Spanish Segunda División 
111932,Rep. Ireland Airtricity League 
111988,Turkish Süper Lig 
111271,French Ligue 2 
112236,Czech Republic Gambrinus Liga 
111264,Russian Premier League 
111374,Czech Republic Gambrinus Liga 
112235,Czech Republic Gambrinus Liga 
112169,Swedish Allsvenskan 
111594,Swedish Allsvenskan 
112107,Italian Serie B 
111277,Swedish Allsvenskan 
112078,Australian Hyundai A-League 
111206,Scottish Premiership 
112077,Campeonato Brasileiro Série A 
111929,Campeonato Brasileiro Série A 
112130,Swedish Allsvenskan 
112122,Turkish Süper Lig 
111654,Mexican Liga MX 
111285,Rep. Ireland Airtricity League 
111959,Swedish Allsvenskan 
111433,Italian Serie B 
112072,Swedish Allsvenskan 
112079,Australian Hyundai A-League 
112225,Italian Serie B 
111429,Polish T-Mobile Ekstraklasa 
112231,Italian Serie B 
111292,Campeonato Brasileiro Série A 
112110,Chilian Campeonato Nacional 
112200,Norwegian Eliteserien 
111432,Italian Serie B 
111540,Portuguese Liga ZON SAGRES 
111373,Austrian Football Bundesliga 
111720,Czech Republic Gambrinus Liga 
112020,Italian Serie B 
112022,Austrian Football Bundesliga 
111714,Argentina Primera División  
111293,Campeonato Brasileiro Série A 
111266,Russian Premier League 
111967,Rep. Ireland Airtricity League 
111376,French Ligue 2 
111377,French Ligue 2 
112237,Italian Serie B 
111660,Danish Superliga 
112217,Russian Premier League 
111089,Polish T-Mobile Ekstraklasa 
110306,Belgian Jupiler Pro League 
110230,Russian Premier League 
110907,Italian Serie B 
101116,Mexican Liga MX 
110392,Argentina Primera División  
110464,Czech Republic Gambrinus Liga 
111022,Argentina Primera División  
110701,Spanish Segunda División 
110833,Spanish Segunda División 
110979,Chilian Campeonato Nacional 
110364,Italian Serie B 
110915,Italian Serie B 
110405,Argentina Primera División  
111070,USA Major League Soccer 
110398,Argentina Primera División  
111050,Campeonato Brasileiro Série A 
111044,Campeonato Brasileiro Série A 
111046,Campeonato Brasileiro Série B 
111032,Mexican Liga MX 
110471,Czech Republic Gambrinus Liga 
110780,Mexican Liga MX 
110239,Russian Premier League 
110318,French Ligue 2 
110229,Russian Premier League 
110822,Russian Premier League 
110596,German 2. Bundesliga 
111045,Campeonato Brasileiro Série A 
110576,French Ligue 2 
110744,Polish T-Mobile Ekstraklasa 
111049,Campeonato Brasileiro Série A 
110565,Polish T-Mobile Ekstraklasa 
110775,Turkish Süper Lig 
110151,Mexican Liga MX 
111054,Campeonato Brasileiro Série B 
111041,Campeonato Brasileiro Série B 
101032,Turkish Süper Lig 
110089,Russian Premier League 
110935,South African Premier Division 
101035,Turkish Süper Lig 
101036,Turkish Süper Lig 
110472,Czech Republic Gambrinus Liga 
110106,Russian Premier League 
111048,Campeonato Brasileiro Série A 
110581,Argentina Primera División  
111087,Polish T-Mobile Ekstraklasa 
111043,Campeonato Brasileiro Série A 
110554,Argentina Primera División  
110242,Spanish Segunda División 
110710,Spanish Segunda División 
110101,Russian Premier League 
111058,Campeonato Brasileiro Série A 
110976,Chilian Campeonato Nacional 
110225,Russian Premier League 
110082,International
110103,Russian Premier League 
111057,Campeonato Brasileiro Série A 
110466,Czech Republic Gambrinus Liga 
110326,French Ligue 2 
110465,Czech Republic Gambrinus Liga 
110902,Spanish Segunda División 
100149,Czech Republic Gambrinus Liga 
100145,Czech Republic Gambrinus Liga 
1826,German 2. Bundesliga 
1872,Spanish Segunda División 
1840,Italian Serie B 
101008,Turkish Süper Lig 
1901,Portuguese Liga ZON SAGRES 
2038,Italian Serie B 
1964,English League Two 
100852,Spanish Segunda División 
1857,Spanish Segunda División 
15021,Spanish Segunda División 
2057,Spanish Segunda División 
1924,English League Two 
15012,Spanish Segunda División 
1957,English League Two 
101018,Turkish Süper Lig 
1971,Holland Eredivisie 
100851,Spanish Segunda División 
100626,Holland Eredivisie 
10023,Swiss Challenge League 
1862,Swiss Super League 
8001,Belgian Jupiler Pro League 
100741,Portuguese Liga ZON SAGRES 
100424,German 3. Bundesliga 
100994,Swiss Super League 
100142,Czech Republic Gambrinus Liga 
2041,Norwegian Eliteserien 
100632,Holland Eredivisie 
1941,English League Two 
100879,Spanish Segunda División 
1841,Norwegian Eliteserien 
15011,Austrian Football Bundesliga 
1950,German 2. Bundesliga 
101032,Turkish Süper Lig 
100764,Russian Premier League 
10018,Portuguese Liga ZON SAGRES 
2015,Austrian Football Bundesliga 
2026,Spanish Segunda División 
1845,Italian Serie B 
1910,Holland Eredivisie 
100737,Portuguese Liga ZON SAGRES 
100087,Belgian Jupiler Pro League 
1855,Spanish Segunda División 
100882,Spanish Segunda División 
1902,Holland Eredivisie 
1834,German 2. Bundesliga 
1897,Portuguese Liga ZON SAGRES 
1838,Italian Serie B 
100143,Czech Republic Gambrinus Liga 
1931,English League Two 
100768,Russian Premier League 
1946,English League Two 
2021,Italian Serie B 
1839,Italian Serie B 
2044,Italian Serie B 
1856,Spanish Segunda División 
