club,club_tier
Örebro SK,Tier_4
FC Thun,Tier_4
Bolton Wanderers,Tier_3
SG Dynamo Dresden,Tier_4
Unión Española,Tier_4
Neuchâtel Xamax,Tier_4
Górnik Zabrze,Tier_4
San Martín de San Juan,Tier_4
Al Raed,Tier_4
CF Reus Deportiu,Tier_4
Valenciennes FC,Tier_4
Wisła Płock,Tier_4
1. FC Kaiserslautern,Tier_4
Córdoba CF,Tier_4
Pescara,Tier_4
Cracovia,Tier_4
La Berrichonne de Châteauroux,Tier_4
Alianza Petrolera,Tier_4
 SSV Jahn Regensburg,
Independiente Medellín,Tier_4
Legia Warszawa,Tier_4
Deportivo Pasto,Tier_4
CD Antofagasta,Tier_4
Charlton Athletic,Tier_4
UD Almería,Tier_4
San Martin de Tucumán,Tier_4
Jeonnam Dragons,Tier_4
Nagoya Grampus,Tier_4
FC Hansa Rostock,Tier_4
Al Hazem,Tier_4
Central Coast Mariners,Tier_4
NAC Breda,Tier_4
FC Luzern,Tier_4
Unión La Calera,Tier_4
Padova,Tier_4
GFC Ajaccio,Tier_4
Wisła Kraków,Tier_4
Fleetwood Town,Tier_4
RCD Mallorca,Tier_4
SC Paderborn 07,Tier_4
Extremadura UD,Tier_4
Odense Boldklub,Tier_4
CD O'Higgins,Tier_4
Atlético Bucaramanga,Tier_4
Grenoble Foot 38,Tier_4
Eintracht Braunschweig,Tier_4
Stade Brestois 29,Tier_4
AS Béziers,Tier_4
VfR Aalen,Tier_4
SV Wehen Wiesbaden,Tier_4
Ulsan Hyundai FC,Tier_4
SC Fortuna Köln,Tier_4
Lechia Gdańsk,Tier_4
La Equidad,Tier_4
FC Erzgebirge Aue,Tier_4
Jaguares de Córdoba,Tier_4
Racing Club de Lens,Tier_4
Club Deportes Temuco,Tier_4
FC Nordsjælland,Tier_4
Lillestrøm SK,Tier_4
Ascoli,Tier_4
Motherwell,Tier_4
Envigado FC,Tier_4
Barnsley,Tier_4
Paris FC,Tier_4
Sarpsborg 08 FF,Tier_4
Cosenza,Tier_4
Audax Italiano,Tier_4
Ohod Club,Tier_4
Incheon United FC,Tier_4
Zagłębie Lubin,Tier_4
Piast Gliwice,Tier_4
Atlético Huila,Tier_4
Dundee FC,Tier_4
Odds BK,Tier_4
Cork City,Tier_4
Karlsruher SC,Tier_4
Oxford United,Tier_4
V-Varen Nagasaki,Tier_4
FC Admira Wacker Mödling,Tier_4
FC Emmen,Tier_4
SpVgg Unterhaching,Tier_4
Wolfsberger AC,Tier_4
Arka Gdynia,Tier_4
Hokkaido Consadole Sapporo,Tier_4
FC Würzburger Kickers,Tier_4
FC Wacker Innsbruck,Tier_4
Bristol Rovers,Tier_4
LASK Linz,Tier_4
Bradford City,Tier_4
Korona Kielce,Tier_4
Hamilton Academical FC,Tier_4
Shrewsbury,Tier_4
Crawley Town,Tier_4
Daegu FC,Tier_4
Luton Town,Tier_4
St. Johnstone FC,Tier_4
Aarhus GF,Tier_4
HJK Helsinki,Tier_4
Curicó Unido,Tier_4
SCR Altach,Tier_4
SC Preußen Münster,Tier_4
Randers FC,Tier_4
Dundalk,Tier_4
FK Bodø/Glimt,Tier_4
VfL Osnabrück,Tier_4
Doncaster Rovers,Tier_4
FC Carl Zeiss Jena,Tier_4
Esbjerg fB,Tier_4
FSV Zwickau,Tier_4
IK Sirius,Tier_4
Rochdale,Tier_4
Ranheim Fotball,Tier_4
Accrington Stanley,Tier_4
Waterford FC,Tier_4
SV Mattersburg,Tier_4
Coventry City,Tier_4
Plymouth Argyle,Tier_4
Miedź Legnica,Tier_4
Swindon Town,Tier_4
SV Meppen,Tier_4
Hallescher FC,Tier_4
Bury,Tier_4
Vendsyssel FF,Tier_4
Grimsby Town,Tier_4
VfL Sportfreunde Lotte,Tier_4
SKN St. Pölten,Tier_4
Livingston FC,Tier_4
FC Energie Cottbus,Tier_4
Morecambe,Tier_4
Dalkurd FF,Tier_4
Zagłębie Sosnowiec,Tier_4
Port Vale,Tier_4
Cambridge United,Tier_4
St. Patrick's Athletic,Tier_4
TSV Hartberg,Tier_4
Itagüí Leones FC,Tier_4
Shamrock Rovers,Tier_4
Derry City,Tier_4
Sligo Rovers,Tier_4
Limerick FC,Tier_4
