Global Flag,Major Flag,SMC Flag,Commercial Flag,IT Spend,Employee Count,PC Count,Size,Tech Support,Discount,New Engagement Strategy,New Product Adoption,Planning Summit,Revenue,Direct Treatment Effect: Tech Support,Total Treatment Effect: Tech Support,Direct Treatment Effect: Discount,Total Treatment Effect: Discount,Direct Treatment Effect: New Engagement Strategy,Total Treatment Effect: New Engagement Strategy
0,0,0,1,23542,40,23,67260,1,0,1,1,1,23797.57,6345.2,7269.43,3363.0,3363.0,0,0
0,0,1,1,75209,65,44,181501,1,1,0,1,0,46359.88,8630.02,9554.25,9075.050000000001,9075.050000000001,0,0
0,0,1,0,13261,179,112,36313,0,1,1,0,0,11541.82,5726.26,6650.49,1815.65,1815.65,0,0
0,0,1,0,18852,94,36,45361,0,0,1,0,0,9751.43,5907.22,6831.45,2268.05,2268.05,0,0
0,0,1,1,153404,29,9,278665,1,1,0,1,1,75144.61,10573.3,11497.53,13933.25,13933.25,0,0
0,0,0,1,5934,36,18,21423,1,0,1,0,1,17209.2,5428.46,6352.69,1071.15,1071.15,0,0
1,0,0,0,18789,23,20,61599,1,0,1,1,1,19314.77,6731.98,7656.21,2079.9500000000003,2079.9500000000003,0,0
1,1,0,0,12640,28,25,45668,1,0,1,1,1,21004.55,6413.360000000001,7337.59,1283.4,1283.4,0,0
0,1,1,1,27388,16,5,97119,1,0,1,0,1,25101.57,6942.38,7866.61,4855.95,4855.95,0,0
0,0,0,1,32504,26,11,107788,1,0,0,1,0,26946.09,7155.76,8079.99,5389.400000000001,5389.400000000001,0,0
1,0,0,1,17192,119,109,35389,0,1,1,1,1,16737.48,6207.78,7132.01,769.45,769.45,0,0
1,0,0,1,3912,59,43,10610,1,0,1,1,1,18066.79,5712.2,6636.43,-469.5,-469.5,0,0
0,0,0,1,9196,175,117,32613,0,1,1,1,1,15144.27,5652.26,6576.49,1630.65,1630.65,0,0
0,0,0,1,92435,31,9,291071,1,0,0,0,0,43598.46,10821.42,11745.65,14553.550000000001,14553.550000000001,0,0
0,0,1,1,62121,68,29,162368,1,1,0,1,0,43940.97,8247.36,9171.59,8118.400000000001,8118.400000000001,0,0
1,1,1,1,33362,128,70,63419,0,1,1,0,1,22381.79,6768.38,7692.61,2170.9500000000003,2170.9500000000003,0,0
0,1,1,1,118250,88,39,264518,1,1,0,1,1,68078.04,10290.36,11214.59,13225.900000000001,13225.900000000001,0,0
0,1,0,0,40253,22,14,154620,1,0,0,1,0,27886.73,8092.4,9016.63,7731.0,7731.0,0,0
1,0,0,1,9502,33,30,16532,1,0,1,1,1,22125.69,5830.64,6754.87,-173.39999999999998,-173.39999999999998,0,0
0,0,1,0,22583,239,103,52385,0,1,1,1,1,15850.74,6047.7,6971.93,2619.25,2619.25,0,0
0,0,0,0,35828,17,13,71887,1,0,0,1,0,25520.42,6437.74,7361.97,3594.3500000000004,3594.3500000000004,0,0
0,0,0,1,52207,92,41,94330,0,1,0,1,0,29685.17,6886.6,7810.83,4716.5,4716.5,0,0
0,0,0,1,95156,104,54,214648,1,1,0,1,1,54665.61,9292.96,10217.19,10732.400000000001,10732.400000000001,0,0
1,0,1,0,33756,58,54,88970,1,0,0,1,0,22014.3,7279.4,8203.63,3448.5,3448.5,0,0
0,0,1,0,129573,31,14,249887,1,1,0,1,1,62266.54,9997.74,10921.97,12494.35,12494.35,0,0
0,0,0,1,5556,87,87,12867,0,0,1,0,0,11983.24,5257.34,6181.57,643.35,643.35,0,0
1,0,1,0,50318,60,35,199825,1,0,0,0,0,25914.83,9496.5,10420.73,8991.25,8991.25,0,0
0,0,0,1,4482,241,115,14618,0,1,1,0,0,11451.94,5292.36,6216.59,730.9000000000001,730.9000000000001,0,0
0,1,0,1,9031,43,30,26229,1,0,1,1,1,21599.71,5524.58,6448.81,1311.45,1311.45,0,0
0,0,0,0,34830,245,107,136009,0,1,1,1,1,22918.57,7720.18,8644.41,6800.450000000001,6800.450000000001,0,0
0,0,1,0,83949,144,159,157513,0,1,0,0,0,34468.05,8150.26,9074.49,7875.650000000001,7875.650000000001,0,0
0,0,0,1,10277,43,16,29650,1,0,1,1,1,19282.62,5593.0,6517.23,1482.5,1482.5,0,0
1,1,0,0,152752,183,86,238128,0,1,0,0,1,57036.64,10262.560000000001,11186.79,10906.400000000001,10906.400000000001,0,0
0,0,1,1,14608,37,16,38518,1,0,1,1,1,20475.85,5770.36,6694.59,1925.9,1925.9,0,0
0,0,0,1,85998,81,61,187261,1,1,0,1,1,52203.23,8745.220000000001,9669.45,9363.050000000001,9363.050000000001,0,0
0,0,1,0,36713,74,34,115070,0,0,0,0,0,15401.44,7301.4,8225.63,5753.5,5753.5,0,0
0,0,0,1,14736,52,25,32737,1,0,1,1,1,21334.07,5654.74,6578.97,1636.8500000000001,1636.8500000000001,0,0
0,1,1,1,280899,30,17,439647,1,1,0,1,1,119114.78,13792.94,14717.17,21982.350000000002,21982.350000000002,0,0
0,0,1,0,101209,186,178,188245,0,1,0,0,0,39270.16,8764.9,9689.13,9412.25,9412.25,0,0
0,0,0,0,10477,78,52,21069,0,0,1,0,0,6746.94,5421.38,6345.61,1053.45,1053.45,0,0
0,0,0,1,3693,24,15,8827,1,0,1,0,1,16881.02,5176.54,6100.77,441.35,441.35,0,0
0,1,0,1,91933,55,41,209969,1,1,0,0,1,54951.57,9199.380000000001,10123.61,10498.45,10498.45,0,0
0,0,0,1,7052,31,13,15239,1,0,1,0,1,17170.2,5304.78,6229.01,761.95,761.95,0,0
0,1,0,0,28003,86,32,69128,1,0,1,0,1,20515.85,6382.5599999999995,7306.79,3456.4,3456.4,0,0
0,0,0,0,77507,21,14,120224,1,0,0,0,0,30824.46,7404.48,8328.71,6011.200000000001,6011.200000000001,0,0
0,0,1,0,5438,25,20,12579,1,0,1,1,1,14230.84,5251.58,6175.81,628.95,628.95,0,0
0,1,0,1,34822,25,21,97018,1,0,0,1,0,30148.35,6940.360000000001,7864.59,4850.900000000001,4850.900000000001,0,0
0,1,0,1,29699,69,45,74605,1,0,1,1,1,25353.36,6492.1,7416.33,3730.25,3730.25,0,0
0,1,0,1,9788,64,42,22644,1,0,1,1,1,21890.75,5452.88,6377.11,1132.2,1132.2,0,0
0,0,0,1,63154,202,101,223145,0,1,0,0,0,36196.18,9462.900000000001,10387.13,11157.25,11157.25,0,0
0,1,0,0,7085,54,31,15082,1,0,1,0,1,14862.85,5301.64,6225.87,754.1,754.1,0,0
0,1,0,1,49149,31,14,105238,1,0,0,1,0,31667.09,7104.76,8028.99,5261.900000000001,5261.900000000001,0,0
0,0,0,1,8850,132,55,32803,0,1,1,0,1,14177.9,5656.06,6580.29,1640.15,1640.15,0,0
0,0,1,1,8039,15,7,19145,1,0,1,0,1,17336.41,5382.9,6307.13,957.25,957.25,0,0
1,1,0,0,32651,25,21,60250,1,0,0,0,0,23098.85,6705.0,7629.23,2012.5,2012.5,0,0
0,0,1,1,36962,386,176,125839,0,1,1,0,1,25127.29,7516.780000000001,8441.01,6291.950000000001,6291.950000000001,0,0
1,0,1,1,42925,45,43,113504,1,0,0,1,0,30961.31,7770.08,8694.31,4675.200000000001,4675.200000000001,0,0
0,1,0,1,90765,119,74,143194,0,1,0,0,0,42869.57,7863.88,8788.11,7159.700000000001,7159.700000000001,0,0
0,0,1,1,59571,159,94,181028,0,1,0,0,0,34555.72,8620.56,9544.79,9051.4,9051.4,0,0
1,0,1,1,14786,42,24,51644,1,0,1,1,1,22202.53,6532.88,7457.11,1582.2000000000003,1582.2000000000003,0,0
0,0,0,1,9717,123,48,21011,0,1,1,0,1,14327.17,5420.22,6344.45,1050.55,1050.55,0,0
0,0,0,1,33537,13,7,63093,1,0,0,1,0,26109.15,6261.860000000001,7186.09,3154.65,3154.65,0,0
1,0,1,1,51790,32,10,180546,1,0,0,1,0,34576.38,9110.92,10035.15,8027.300000000001,8027.300000000001,0,0
0,0,1,1,53293,126,102,156682,0,1,0,1,0,30887.55,8133.639999999999,9057.87,7834.1,7834.1,0,0
0,1,1,0,9021,77,49,27971,0,0,1,1,0,11882.9,5559.42,6483.65,1398.5500000000002,1398.5500000000002,0,0
0,0,1,0,73639,122,74,141919,0,1,0,0,0,30365.54,7838.38,8762.61,7095.950000000001,7095.950000000001,0,0
1,0,1,1,12787,81,54,26295,0,0,1,1,1,14342.01,6025.9,6950.13,314.75,314.75,0,0
0,0,0,1,14886,44,16,27286,1,0,1,0,1,18892.2,5545.72,6469.95,1364.3000000000002,1364.3000000000002,0,0
0,0,1,1,17500,75,32,27939,0,0,1,1,1,17270.18,5558.78,6483.01,1396.95,1396.95,0,0
0,0,1,1,9629,50,26,32485,1,0,1,1,1,19757.27,5649.7,6573.93,1624.25,1624.25,0,0
0,0,1,0,22414,132,96,64843,0,1,1,0,1,14852.56,6296.860000000001,7221.09,3242.15,3242.15,0,0
1,0,1,1,23103,249,212,63545,0,1,1,1,1,19877.33,6770.9,7695.13,2177.25,2177.25,0,0
0,0,1,0,10100,35,14,25110,1,0,1,1,1,15796.44,5502.2,6426.43,1255.5,1255.5,0,0
1,1,1,1,32727,58,42,129745,1,0,1,1,1,28789.6,8094.9,9019.13,5487.25,5487.25,0,0
0,0,0,1,18873,96,66,53508,0,0,1,0,1,14023.72,6070.16,6994.39,2675.4,2675.4,0,0
0,0,1,1,47178,100,46,114353,0,1,0,0,0,27890.06,7287.0599999999995,8211.29,5717.650000000001,5717.650000000001,0,0
0,0,1,0,137135,77,52,276536,1,1,0,1,1,65132.01,10530.720000000001,11454.95,13826.800000000001,13826.800000000001,0,0
1,0,1,1,59078,89,31,219335,0,1,0,0,0,34921.04,9886.7,10810.93,9966.75,9966.75,0,0
0,0,1,1,11165,76,69,32639,0,0,1,0,0,11945.17,5652.78,6577.01,1631.95,1631.95,0,0
0,0,1,1,12169,32,15,24704,1,0,1,1,1,20679.27,5494.08,6418.31,1235.2,1235.2,0,0
0,0,0,1,121467,171,91,255540,0,1,0,0,1,51902.9,10110.8,11035.03,12777.0,12777.0,0,0
0,0,0,1,38718,26,15,68284,1,0,0,1,0,29472.11,6365.68,7289.91,3414.2000000000003,3414.2000000000003,0,0
1,0,1,1,10886,65,37,38817,0,0,1,0,0,13244.59,6276.34,7200.57,940.8500000000001,940.8500000000001,0,0
0,0,0,1,14662,76,37,24966,0,0,1,0,1,14496.53,5499.32,6423.55,1248.3000000000002,1248.3000000000002,0,0
0,0,0,1,7046,10,6,17636,1,0,1,1,1,19715.79,5352.72,6276.95,881.8000000000001,881.8000000000001,0,0
0,1,1,1,95080,287,178,357534,0,1,0,0,1,51768.88,12150.68,13074.91,17876.7,17876.7,0,0
0,0,0,1,15326,83,32,34343,0,0,1,0,1,14925.3,5686.86,6611.09,1717.15,1717.15,0,0
0,1,1,1,18705,65,35,72476,1,0,1,1,1,23918.93,6449.52,7373.75,3623.8,3623.8,0,0
1,0,0,0,7894,179,105,12459,0,1,1,0,0,6483.16,5749.18,6673.41,-377.04999999999995,-377.04999999999995,0,0
0,1,1,1,83584,46,33,207424,1,1,0,1,1,54899.27,9148.48,10072.71,10371.2,10371.2,0,0
1,1,1,0,241194,22,8,531219,1,1,0,1,1,111777.41,16124.380000000001,17048.61,25560.95,25560.95,0,0
0,0,1,1,29259,35,31,59795,1,0,0,1,0,27777.96,6195.9,7120.13,2989.75,2989.75,0,0
0,1,0,1,92161,49,18,281836,1,1,0,1,1,61258.07,10636.720000000001,11560.95,14091.800000000001,14091.800000000001,0,0
1,0,0,1,9348,21,7,32471,1,0,1,1,1,20033.53,6149.42,7073.65,623.5500000000002,623.5500000000002,0,0
0,0,0,1,4471,77,35,13489,0,0,1,0,1,13814.52,5269.78,6194.01,674.45,674.45,0,0
1,0,0,0,59883,45,24,202795,1,0,0,1,0,30887.12,9555.9,10480.13,9139.75,9139.75,0,0
0,0,1,1,179942,364,150,307744,0,1,0,1,1,72497.58,11154.880000000001,12079.11,15387.2,15387.2,0,0
0,0,0,1,30616,230,122,67316,0,1,1,0,1,20520.09,6346.32,7270.55,3365.8,3365.8,0,0
1,0,1,1,254944,39,21,589633,1,1,0,0,1,118834.53,17292.66,18216.89,28481.65,28481.65,0,0
0,0,1,1,12017,51,44,27557,1,0,1,1,1,19298.48,5551.14,6475.37,1377.8500000000001,1377.8500000000001,0,0
0,0,0,1,19723,82,28,49308,0,0,1,0,1,15266.19,5986.16,6910.39,2465.4,2465.4,0,0
0,0,1,1,57205,161,72,100025,0,1,0,0,0,29777.18,7000.5,7924.73,5001.25,5001.25,0,0
0,1,0,0,20726,53,23,71677,1,0,1,1,1,20670.76,6433.54,7357.77,3583.8500000000004,3583.8500000000004,0,0
1,0,0,0,35407,139,90,56655,0,1,0,1,0,16694.84,6633.1,7557.33,1832.75,1832.75,0,0
0,0,0,0,7589,42,24,29364,1,0,1,1,1,15230.06,5587.28,6511.51,1468.2,1468.2,0,0
0,0,0,0,6045,23,9,12668,1,0,1,1,1,14833.23,5253.36,6177.59,633.4000000000001,633.4000000000001,0,0
0,0,1,1,4828,41,26,15961,1,0,1,0,1,16228.09,5319.22,6243.45,798.0500000000001,798.0500000000001,0,0
0,0,1,0,32500,83,31,62067,0,0,0,1,0,14757.92,6241.34,7165.57,3103.3500000000004,3103.3500000000004,0,0
0,0,1,1,35819,41,34,89741,1,0,0,1,0,28151.88,6794.82,7719.05,4487.05,4487.05,0,0
0,1,0,0,70140,92,50,202556,1,1,0,0,0,42582.93,9051.119999999999,9975.35,10127.800000000001,10127.800000000001,0,0
1,0,0,1,8851,95,74,17370,0,0,1,0,0,11957.47,5847.4,6771.63,-131.5,-131.5,0,0
0,0,0,1,34097,47,46,55220,1,0,0,1,0,26696.49,6104.4,7028.63,2761.0,2761.0,0,0
0,0,0,1,56383,22,7,94070,1,0,0,1,0,34890.43,6881.4,7805.63,4703.5,4703.5,0,0
1,0,1,0,60903,48,44,113666,1,0,0,0,0,27150.46,7773.32,8697.55,4683.3,4683.3,0,0
0,0,1,1,43586,120,48,81117,0,1,0,0,0,25230.51,6622.34,7546.57,4055.8500000000004,4055.8500000000004,0,0
0,0,0,0,28117,163,165,46469,0,1,1,0,1,14915.25,5929.38,6853.61,2323.4500000000003,2323.4500000000003,0,0
0,0,0,1,71772,114,55,232433,0,1,0,0,0,38851.63,9648.66,10572.89,11621.650000000001,11621.650000000001,0,0
1,0,1,0,83957,39,32,189621,1,0,0,1,0,36749.22,9292.42,10216.65,8481.050000000001,8481.050000000001,0,0
0,1,0,0,50275,80,71,175004,1,1,0,1,0,38749.09,8500.08,9424.31,8750.2,8750.2,0,0
0,1,0,1,13447,33,26,32624,1,0,1,1,1,23056.29,5652.48,6576.71,1631.2,1631.2,0,0
1,0,1,1,178645,92,92,399979,1,1,0,1,1,87502.27,13499.58,14423.81,18998.95,18998.95,0,0
0,0,1,1,161718,119,51,304094,1,1,0,1,1,79874.38,11081.880000000001,12006.11,15204.7,15204.7,0,0
1,0,1,0,60704,138,60,222520,0,1,0,0,0,27671.81,9950.400000000001,10874.63,10126.0,10126.0,0,0
0,1,1,0,9193,95,66,15758,0,0,1,0,0,8377.19,5315.16,6239.39,787.9000000000001,787.9000000000001,0,0
1,0,1,0,6077,79,55,14896,0,0,1,0,0,5892.84,5797.92,6722.15,-255.19999999999993,-255.19999999999993,0,0
0,0,0,1,30988,36,32,54195,1,0,0,1,0,23756.5,6083.9,7008.13,2709.75,2709.75,0,0
0,0,0,1,4210,349,199,14195,0,1,1,0,0,12199.8,5283.9,6208.13,709.75,709.75,0,0
0,0,0,1,46316,228,196,135764,0,1,0,0,0,27779.84,7715.280000000001,8639.51,6788.200000000001,6788.200000000001,0,0
0,0,0,0,4228,137,100,14546,0,1,1,0,0,5644.91,5290.92,6215.15,727.3000000000001,727.3000000000001,0,0
0,0,0,0,63713,253,130,233521,0,1,0,1,0,33466.14,9670.42,10594.65,11676.050000000001,11676.050000000001,0,0
0,0,0,0,9226,114,123,24967,0,1,1,0,0,10320.13,5499.34,6423.57,1248.3500000000001,1248.3500000000001,0,0
0,0,1,0,136065,23,21,272347,1,1,0,0,1,62755.3,10446.94,11371.17,13617.35,13617.35,0,0
0,0,1,1,65497,79,58,112802,0,1,0,0,0,32318.81,7256.04,8180.27,5640.1,5640.1,0,0
0,0,0,1,78076,13,8,205791,1,0,0,1,0,39484.83,9115.82,10040.05,10289.550000000001,10289.550000000001,0,0
0,0,1,1,183519,56,21,530701,1,1,0,1,1,99338.57,15614.02,16538.25,26535.050000000003,26535.050000000003,0,0
0,1,1,1,46495,15,10,86978,1,0,0,0,0,30769.02,6739.5599999999995,7663.79,4348.900000000001,4348.900000000001,0,0
0,1,0,0,2966,18,13,10196,1,0,1,1,1,13898.09,5203.92,6128.15,509.8,509.8,0,0
1,1,0,1,29602,121,93,62771,0,1,1,0,1,20854.25,6755.42,7679.65,2138.55,2138.55,0,0
0,0,1,1,9517,90,51,20149,0,0,1,0,0,12426.26,5402.98,6327.21,1007.45,1007.45,0,0
0,0,0,0,41572,48,31,115328,1,0,0,1,0,24444.74,7306.5599999999995,8230.79,5766.400000000001,5766.400000000001,0,0
0,0,1,1,16369,51,26,63219,1,0,1,1,1,22018.3,6264.38,7188.61,3160.9500000000003,3160.9500000000003,0,0
0,1,0,1,2889,47,15,8595,1,0,1,0,1,18757.96,5171.9,6096.13,429.75,429.75,0,0
0,0,0,0,6595,262,114,21720,0,1,1,0,0,8914.71,5434.4,6358.63,1086.0,1086.0,0,0
0,0,0,1,277666,86,38,501555,1,1,0,1,1,121581.91,15031.1,15955.33,25077.75,25077.75,0,0
1,0,0,1,17942,19,7,43215,1,0,1,0,1,22301.47,6364.3,7288.53,1160.75,1160.75,0,0
1,0,1,1,18226,257,102,27303,0,1,1,0,1,14725.46,6046.0599999999995,6970.29,365.1500000000001,365.1500000000001,0,0
0,0,0,1,13793,50,48,33807,1,0,1,1,1,21653.8,5676.14,6600.37,1690.3500000000001,1690.3500000000001,0,0
0,0,0,1,34262,25,19,79985,1,0,0,1,0,26021.91,6599.7,7523.93,3999.25,3999.25,0,0
0,0,1,1,11990,83,58,26599,0,0,1,0,1,14906.81,5531.98,6456.21,1329.95,1329.95,0,0
1,0,1,1,4851,141,83,13474,0,1,1,1,0,12838.05,5769.48,6693.71,-326.29999999999995,-326.29999999999995,0,0
0,1,1,1,93835,62,21,166888,1,1,0,1,1,53968.64,8337.76,9261.99,8344.4,8344.4,0,0
0,0,0,1,29723,186,136,51969,0,1,1,1,1,22838.4,6039.38,6963.61,2598.4500000000003,2598.4500000000003,0,0
0,0,0,0,46210,42,40,77219,1,0,0,1,0,27141.68,6544.38,7468.61,3860.9500000000003,3860.9500000000003,0,0
0,0,0,1,87359,264,159,140601,0,1,0,0,0,37919.26,7812.02,8736.25,7030.05,7030.05,0,0
0,0,0,1,57791,72,61,201516,1,1,0,1,0,45606.27,9030.32,9954.55,10075.800000000001,10075.800000000001,0,0
0,0,0,1,14000,39,23,28326,1,0,1,1,1,21870.04,5566.52,6490.75,1416.3000000000002,1416.3000000000002,0,0
0,0,0,1,7089,111,39,17447,0,0,1,0,0,13175.47,5348.94,6273.17,872.35,872.35,0,0
1,0,0,1,15093,157,98,43317,0,1,1,1,1,13855.65,6366.34,7290.57,1165.85,1165.85,0,0
0,0,1,1,190137,48,24,349489,1,1,0,0,1,87794.7,11989.779999999999,12914.01,17474.45,17474.45,0,0
0,0,0,0,18887,18,12,37465,1,0,1,1,1,14997.81,5749.3,6673.53,1873.25,1873.25,0,0
0,0,0,1,18135,78,51,72994,0,0,1,0,1,14984.23,6459.88,7384.11,3649.7000000000003,3649.7000000000003,0,0
0,0,1,1,14359,90,71,22380,0,0,1,0,1,13993.09,5447.6,6371.83,1119.0,1119.0,0,0
0,1,1,1,46680,74,40,126080,1,0,0,1,0,32614.18,7521.6,8445.83,6304.0,6304.0,0,0
0,0,1,0,38881,35,32,145571,1,0,0,0,0,23900.35,7911.42,8835.65,7278.55,7278.55,0,0
0,0,1,0,8113,55,25,28233,0,0,1,0,0,6794.03,5564.66,6488.89,1411.65,1411.65,0,0
0,0,1,0,41214,190,115,73531,0,1,0,1,0,20697.2,6470.62,7394.85,3676.55,3676.55,0,0
0,0,0,0,6980,57,51,27300,1,0,1,1,1,14743.12,5546.0,6470.23,1365.0,1365.0,0,0
0,0,1,0,62615,27,13,235947,1,0,0,1,0,33968.75,9718.94,10643.17,11797.35,11797.35,0,0
0,0,0,0,8122,112,79,21430,0,0,1,0,0,7694.95,5428.6,6352.83,1071.5,1071.5,0,0
0,0,0,0,226931,43,32,422511,1,1,0,1,1,97583.14,13450.22,14374.45,21125.550000000003,21125.550000000003,0,0
0,0,0,1,5828,230,94,21887,0,1,1,1,1,15536.67,5437.74,6361.97,1094.3500000000001,1094.3500000000001,0,0
1,0,0,0,110048,500,219,170308,0,1,0,0,0,39533.14,8906.16,9830.39,7515.4,7515.4,0,0
0,0,0,1,34252,110,52,59107,0,1,0,1,0,23104.54,6182.14,7106.37,2955.3500000000004,2955.3500000000004,0,0
0,0,1,0,45493,63,41,116432,1,0,0,1,0,24815.26,7328.639999999999,8252.87,5821.6,5821.6,0,0
0,0,1,1,57771,50,30,216546,1,0,0,0,0,34305.62,9330.92,10255.15,10827.300000000001,10827.300000000001,0,0
1,0,0,0,78080,102,38,164373,1,1,0,1,0,43281.47,8787.46,9711.69,7218.65,7218.65,0,0
0,0,1,0,8070,48,35,30694,1,0,1,1,1,13527.37,5613.88,6538.11,1534.7,1534.7,0,0
0,0,0,0,24141,44,22,42163,1,0,0,1,0,17964.53,5843.26,6767.49,2108.15,2108.15,0,0
0,1,0,1,88840,44,16,201208,1,1,0,0,1,55406.72,9024.16,9948.39,10060.400000000001,10060.400000000001,0,0
0,0,1,0,27898,25,11,84441,1,0,0,1,0,20217.17,6688.82,7613.05,4222.05,4222.05,0,0
1,0,1,1,10375,206,96,18942,0,1,1,0,0,11992.05,5878.84,6803.07,-52.89999999999998,-52.89999999999998,0,0
1,0,0,1,20536,314,298,57752,0,1,1,1,1,18672.93,6655.04,7579.27,1887.6000000000004,1887.6000000000004,0,0
0,0,0,1,60725,43,29,142682,1,0,0,1,0,35778.11,7853.639999999999,8777.87,7134.1,7134.1,0,0
0,0,1,1,39308,124,103,126096,0,1,0,0,0,29172.09,7521.92,8446.15,6304.8,6304.8,0,0
0,0,0,1,67405,51,39,151472,1,0,0,1,0,36070.22,8029.4400000000005,8953.67,7573.6,7573.6,0,0
1,0,0,1,46212,63,30,82377,1,0,0,1,0,32951.85,7147.54,8071.77,3118.8500000000004,3118.8500000000004,0,0
1,0,0,1,123084,274,122,260007,0,1,0,0,1,53943.23,10700.14,11624.37,12000.35,12000.35,0,0
0,0,0,1,3460,140,128,9121,0,1,1,0,0,10954.2,5182.42,6106.65,456.05,456.05,0,0
1,0,1,1,74004,139,60,152317,0,1,0,0,0,33544.51,8546.34,9470.57,6615.85,6615.85,0,0
0,0,1,0,13310,137,71,37677,0,1,1,0,0,10082.74,5753.54,6677.77,1883.8500000000001,1883.8500000000001,0,0
0,1,1,1,47063,52,19,89256,1,0,0,1,0,33218.03,6785.12,7709.35,4462.8,4462.8,0,0
0,0,1,0,36447,14,11,117490,1,0,0,1,0,22915.06,7349.8,8274.03,5874.5,5874.5,0,0
0,0,1,1,16545,53,32,45495,1,0,1,1,1,22482.42,5909.9,6834.13,2274.75,2274.75,0,0
0,0,1,1,93829,139,95,156347,0,1,0,1,0,43887.67,8126.9400000000005,9051.17,7817.35,7817.35,0,0
1,0,1,1,91229,107,105,207863,0,1,0,0,0,43708.82,9657.26,10581.49,9393.150000000001,9393.150000000001,0,0
1,0,0,1,53716,14,10,180626,1,0,0,1,0,36573.75,9112.52,10036.75,8031.300000000001,8031.300000000001,0,0
0,1,1,1,66245,114,55,202517,0,1,0,1,0,41582.83,9050.34,9974.57,10125.85,10125.85,0,0
1,1,1,0,55942,193,128,146660,0,1,0,0,0,27461.04,8433.2,9357.43,6333.0,6333.0,0,0
0,0,1,0,35425,132,97,86521,0,1,0,0,0,17955.47,6730.42,7654.65,4326.05,4326.05,0,0
0,0,1,0,14072,45,18,26043,1,0,1,1,1,15276.95,5520.86,6445.09,1302.15,1302.15,0,0
0,0,0,1,21738,12,9,49507,1,0,1,1,1,24527.87,5990.14,6914.37,2475.3500000000004,2475.3500000000004,0,0
0,0,0,1,44356,48,42,70343,1,0,0,1,0,31082.18,6406.860000000001,7331.09,3517.15,3517.15,0,0
0,0,0,1,53689,329,204,96222,0,1,0,1,0,30590.1,6924.4400000000005,7848.67,4811.1,4811.1,0,0
1,0,0,1,33862,134,64,58727,0,1,0,1,0,20425.41,6674.54,7598.77,1936.3500000000004,1936.3500000000004,0,0
1,0,1,1,36012,20,17,56886,1,0,0,1,0,27020.97,6637.72,7561.95,1844.3000000000002,1844.3000000000002,0,0
0,1,0,1,90539,50,38,165910,1,1,0,1,1,52041.67,8318.2,9242.43,8295.5,8295.5,0,0
0,0,1,1,150327,27,17,389678,1,1,0,1,1,82253.21,12793.560000000001,13717.79,19483.9,19483.9,0,0
0,0,0,1,36221,60,47,111504,1,0,0,0,0,26681.35,7230.08,8154.31,5575.200000000001,5575.200000000001,0,0
0,0,0,1,101829,155,100,163443,0,1,0,0,0,44427.13,8268.86,9193.09,8172.150000000001,8172.150000000001,0,0
1,1,0,1,204163,74,69,733461,1,1,0,1,1,119720.83,20169.22,21093.45,35673.05,35673.05,0,0
0,0,0,1,33667,560,335,124719,0,1,1,1,1,27772.99,7494.38,8418.61,6235.950000000001,6235.950000000001,0,0
1,1,0,1,9545,79,43,37996,0,0,1,0,1,15050.47,6259.92,7184.15,899.8000000000002,899.8000000000002,0,0
