,User ID,Guild Membership,Side-quest Engagement,Inventory Rarity,In-game Purchases
110,6c7f1bf8,nonmember,low,many,65.10594940185547
111,aac1ae1f,member,high,few or none,223.4360809326172
112,489087bc,member,high,many,130.39527893066406
113,ce324c1d,nonmember,low,few or none,14.305788040161133
114,454a8405,nonmember,high,few or none,73.5151596069336
115,5d45c322,nonmember,low,few or none,83.56167602539062
116,b0565e24,nonmember,low,few or none,32.64593505859375
117,f146d3e2,nonmember,low,many,50.50730514526367
118,b9ec6695,nonmember,low,few or none,22.657669067382812
119,ef13f15b,nonmember,high,many,59.908531188964844
120,7a98306a,member,high,many,141.8640899658203
121,b0ebf09f,member,high,many,56.510398864746094
122,7a4d77d4,nonmember,low,few or none,89.41751098632812
123,ade1fa44,nonmember,low,few or none,11.916654586791992
124,83c176ea,nonmember,low,few or none,37.646575927734375
125,e9feb2f2,nonmember,high,many,49.06558609008789
126,64d47b2a,nonmember,low,many,49.40599060058594
127,291f2e6e,member,high,few or none,220.89370727539062
128,8977cdf7,member,high,many,86.23847961425781
129,9fae76ad,member,high,many,148.27780151367188
130,f91b80b5,nonmember,low,few or none,28.424882888793945
131,838beda7,nonmember,low,few or none,39.653526306152344
132,b3f858dc,nonmember,low,few or none,3.325916290283203
133,eb21f247,nonmember,low,few or none,35.67669677734375
134,801b97d0,member,high,many,147.16452026367188
135,f800686a,nonmember,low,few or none,56.74420166015625
136,0aa6bde9,member,high,many,191.103515625
137,a7c40958,nonmember,low,few or none,47.23221206665039
138,216bb43b,nonmember,high,many,54.32023620605469
139,64c3d757,member,high,many,55.81256866455078
140,b8dab798,nonmember,high,many,57.39641571044922
141,16278e7d,nonmember,low,many,62.411521911621094
142,26ac0ae7,nonmember,low,few or none,55.30656814575195
143,f3e039d3,member,high,few or none,224.67185974121094
144,6ca6d92b,member,high,many,55.135581970214844
145,36a1767b,nonmember,low,few or none,66.6671142578125
146,8e61e839,member,high,many,124.3924560546875
147,143fb2ce,nonmember,low,few or none,10.873527526855469
148,9f418049,nonmember,high,many,59.80138397216797
149,48979b37,nonmember,low,few or none,67.03228759765625
150,55fc619e,nonmember,low,few or none,47.42414855957031
151,875abff7,nonmember,low,few or none,56.029151916503906
152,53fb8bc9,nonmember,high,many,55.652347564697266
153,f3c64e5e,member,high,many,87.8328857421875
154,889cd435,nonmember,low,few or none,17.474891662597656
155,d420be05,nonmember,low,few or none,21.2913818359375
156,e8d4a261,nonmember,high,many,48.96848678588867
157,f4166e30,member,high,few or none,225.61572265625
158,0a27e018,nonmember,high,many,65.55650329589844
159,176e3574,member,high,many,171.18124389648438
160,35496738,nonmember,high,many,47.839698791503906
161,cbe385f6,nonmember,low,few or none,72.03703308105469
162,156655db,nonmember,low,few or none,44.8775749206543
163,9bbd8f58,nonmember,low,few or none,71.44210815429688
164,4f8a825b,nonmember,low,few or none,28.11904525756836
165,113fccea,member,high,many,123.06122589111328
166,2b9c9156,nonmember,low,few or none,100.60917663574219
167,b0b706e7,nonmember,low,few or none,39.27154541015625
168,0d733294,nonmember,low,few or none,28.294391632080078
169,1833dd9b,member,high,many,191.83013916015625
170,5edd92ad,member,low,few or none,220.3874053955078
171,07f85aa1,nonmember,low,few or none,21.08932876586914
172,16d232e5,nonmember,low,few or none,34.46120071411133
173,4ded8036,nonmember,low,few or none,62.01414489746094
174,5002ffdf,nonmember,low,few or none,43.62626266479492
175,817e6127,nonmember,low,few or none,59.28076934814453
176,7401253f,nonmember,low,few or none,38.5649299621582
177,f3eb76d3,nonmember,low,few or none,36.36862564086914
178,e898a2ba,member,high,many,100.65438842773438
179,f1a64ec9,member,low,few or none,226.19911193847656
180,3a5af65c,member,high,few or none,228.6218719482422
181,e62544ed,member,high,many,121.28752899169922
182,3d725f47,nonmember,low,few or none,53.5511589050293
183,b54d10c7,nonmember,low,few or none,14.615867614746094
184,390febdd,nonmember,low,few or none,58.32946014404297
185,70a3b461,nonmember,high,many,55.3342399597168
186,50b31574,nonmember,low,few or none,20.902751922607422
187,62707c31,nonmember,low,few or none,28.835655212402344
188,f2dab360,nonmember,low,few or none,56.327911376953125
189,3db2dd5c,nonmember,high,many,62.040138244628906
190,09aebb34,member,low,few or none,224.53749084472656
191,8cc3ef58,nonmember,low,few or none,21.48935317993164
192,b20b11a7,nonmember,high,many,56.92620849609375
193,095b4423,nonmember,high,many,53.85878372192383
194,5ca9019c,member,high,many,140.20777893066406
195,193445d8,nonmember,low,few or none,3.5927734375
196,2a3a4de8,nonmember,low,few or none,19.84903907775879
197,5572101b,member,high,many,156.1123046875
198,31003fa2,nonmember,low,few or none,29.18675994873047
199,a316ab01,member,high,many,114.68570709228516
200,90d2373b,nonmember,low,few or none,46.03543472290039
201,b428c91d,nonmember,low,few or none,11.514907836914062
202,36879aa0,member,low,few or none,218.20169067382812
203,41e5bcbe,nonmember,low,few or none,6.419536590576172
204,e009605a,nonmember,low,few or none,57.04602813720703
205,0022cc4d,member,low,many,34.478118896484375
206,ff7a7117,nonmember,low,few or none,28.36185073852539
207,a9355e88,nonmember,low,few or none,28.03616714477539
208,4a37063f,nonmember,low,few or none,32.08362579345703
209,51233a58,member,high,few or none,227.48953247070312
210,d3e63228,nonmember,low,few or none,7.09271240234375
211,fe00b97f,nonmember,low,few or none,50.27104949951172
212,f8fe3e5c,nonmember,low,few or none,11.062623977661133
213,2d56b9a6,nonmember,low,many,55.09231185913086
214,ac274c25,nonmember,low,few or none,50.227317810058594
215,d74ff588,nonmember,high,many,56.758880615234375
216,be1ca150,member,high,few or none,223.13475036621094
217,25cdbdf6,nonmember,high,many,58.23401641845703
218,6f07e3c5,nonmember,low,few or none,73.97422790527344
219,1f871d7f,nonmember,high,many,49.62284469604492
220,bda96e4e,nonmember,low,few or none,14.941757202148438
221,cc4c9f66,nonmember,low,few or none,38.948944091796875
222,f7aab704,nonmember,low,few or none,20.062074661254883
223,03df4317,nonmember,low,many,51.77732467651367
224,9e7cc6bc,nonmember,low,few or none,36.3236198425293
225,f8fd8a32,nonmember,low,few or none,26.422033309936523
226,a4a857f6,nonmember,low,few or none,31.130008697509766
227,19e857d3,nonmember,low,few or none,11.788375854492188
228,64ff2bcb,nonmember,low,few or none,70.556396484375
229,14d6c197,nonmember,low,few or none,57.795345306396484
230,183e6559,member,low,few or none,227.4982452392578
231,20d73c80,nonmember,high,many,64.16155242919922
232,75902317,nonmember,high,many,41.43349838256836
233,bc37a847,nonmember,low,few or none,11.315473556518555
234,91f353af,nonmember,low,many,55.97529983520508
235,c26e4cf9,nonmember,low,few or none,42.39057540893555
236,b5433183,member,high,many,71.69993591308594
237,f57673d9,nonmember,low,few or none,19.354368209838867
238,09a77b2f,nonmember,high,many,54.87165069580078
239,ebf5b3cc,nonmember,low,few or none,0.8584632873535156
240,92314fee,member,high,few or none,224.6403045654297
241,9a71654e,member,high,many,167.48529052734375
242,9d49318b,nonmember,low,few or none,28.35433006286621
243,db4c3d39,nonmember,high,many,52.06771469116211
244,8366dcf3,nonmember,low,few or none,17.175546646118164
245,5b8b1c0d,member,high,many,180.7162322998047
246,42aaff69,nonmember,low,few or none,50.70266342163086
247,668c037c,nonmember,high,many,53.838016510009766
248,ed6e0c87,member,high,many,257.2342224121094
249,47e28fad,nonmember,low,many,52.466468811035156
250,8f0c203a,nonmember,low,many,52.494686126708984
251,5bdebd61,nonmember,low,few or none,102.82797241210938
252,588fb95d,member,high,few or none,227.5975341796875
253,6d3a2984,member,high,few or none,214.09593200683594
254,8348f64c,nonmember,high,many,53.15750503540039
255,092f4710,nonmember,high,few or none,55.395790100097656
256,24e6b272,nonmember,low,few or none,69.47267150878906
257,a870736a,nonmember,low,few or none,84.96395874023438
258,3cb075a8,member,high,many,118.5868148803711
259,78ec33cb,nonmember,low,few or none,64.12936401367188
260,cace27f6,nonmember,low,few or none,41.4952392578125
261,84e13a9c,nonmember,low,few or none,58.421363830566406
262,564ec8cf,nonmember,low,few or none,32.17324447631836
263,a6491500,nonmember,low,few or none,52.611358642578125
264,035abe2f,member,high,many,121.242431640625
265,202fc453,member,high,many,101.47686767578125
266,e40beb33,member,low,few or none,211.24383544921875
267,8883dabc,member,high,many,135.91793823242188
268,2d680a6f,nonmember,low,few or none,43.29091262817383
269,3f859e5f,nonmember,low,few or none,19.411575317382812
270,a67b9eb4,nonmember,high,many,54.40370178222656
271,f8bd6eea,nonmember,high,many,53.262821197509766
272,675f4bd7,nonmember,low,few or none,10.409141540527344
273,3a054a26,member,high,few or none,226.04562377929688
274,374365bb,nonmember,low,few or none,26.605396270751953
275,a43c727f,nonmember,low,few or none,48.69111251831055
276,2acf28f3,nonmember,low,few or none,58.53321838378906
277,5c9837f5,nonmember,high,many,53.09117889404297
278,cb3232e8,nonmember,low,few or none,16.741636276245117
279,72d1f9f1,nonmember,low,few or none,23.60131072998047
280,6a76f1d6,nonmember,low,few or none,44.896324157714844
281,65e2485c,nonmember,high,many,56.52407455444336
282,46971be1,nonmember,low,few or none,36.17420959472656
283,e2507249,member,high,many,111.83892059326172
284,f03d93c9,nonmember,low,few or none,22.28656768798828
285,0d76a1f3,member,low,few or none,228.64247131347656
286,a9453fc0,nonmember,low,few or none,78.41108703613281
287,683d81d6,nonmember,low,few or none,87.60369110107422
288,41c09dbf,nonmember,high,many,60.27293395996094
289,983a3098,nonmember,high,many,58.00959396362305
290,4dbd5c03,member,high,many,137.50445556640625
291,52df7b65,nonmember,low,few or none,71.27958679199219
292,b0804deb,member,high,many,167.52468872070312
293,1c7ae340,nonmember,high,few or none,25.141613006591797
294,42a75a35,nonmember,high,many,45.96469497680664
295,bd147102,nonmember,low,few or none,45.69380569458008
296,79e8090f,member,high,many,84.98368835449219
297,220a0dbf,nonmember,high,few or none,60.95929718017578
298,203f0fbe,member,high,many,183.8571014404297
299,ff29f1c1,member,high,many,183.10806274414062
300,8eac1fb3,member,high,many,209.82553100585938
301,5d67162b,nonmember,low,few or none,59.13225555419922
302,6fe60834,nonmember,low,few or none,56.63359069824219
303,de57680c,nonmember,high,many,48.14466857910156
304,7633a895,member,high,many,95.85455322265625
305,afb5756a,member,high,many,180.4276580810547
306,300e87fa,member,low,few or none,231.61448669433594
307,61042f49,nonmember,low,few or none,4.264911651611328
308,008adae0,nonmember,low,few or none,6.263561248779297
309,95b66f92,nonmember,low,few or none,59.08866882324219
310,cc5713ea,nonmember,low,few or none,10.968259811401367
311,b3b9cabd,member,high,many,134.62860107421875
312,83b92537,nonmember,low,few or none,50.438690185546875
313,7cc9478e,nonmember,low,few or none,66.13702392578125
314,d0fe18f0,member,high,many,166.08709716796875
315,a8c29f9e,nonmember,high,many,50.12257766723633
316,27a54129,member,high,many,134.61773681640625
317,15a65288,nonmember,low,many,63.99300765991211
318,3c173528,nonmember,low,few or none,18.14558982849121
319,3f84074d,member,low,few or none,230.81497192382812
320,e7e4448c,member,high,many,108.90110778808594
321,21ba701b,member,high,many,97.89450073242188
322,0a0adb3b,nonmember,low,few or none,74.98211669921875
323,ba5ed6ce,member,high,many,88.11443328857422
324,f992c506,nonmember,high,many,58.211021423339844
325,3cdeed4a,nonmember,low,few or none,55.05615997314453
326,2b067d3e,nonmember,low,few or none,95.85079956054688
327,21b89960,nonmember,low,few or none,38.564186096191406
328,2209ee79,nonmember,low,few or none,96.80717468261719
329,4806102f,nonmember,low,few or none,80.1978759765625
330,26797b57,nonmember,high,many,62.162437438964844
331,e2f37e5e,nonmember,low,few or none,6.462047576904297
332,6720be63,nonmember,low,few or none,50.526981353759766
333,a700d554,nonmember,low,few or none,40.7118034362793
334,93825aaf,member,low,few or none,213.57164001464844
335,fd107644,member,high,many,118.14652252197266
336,a0c146bd,nonmember,low,few or none,31.711063385009766
337,1b75b3c9,nonmember,low,few or none,35.756473541259766
338,ebadc8bf,nonmember,low,few or none,66.78945922851562
339,6b65113f,member,high,many,151.1846160888672
340,961fbcf3,member,high,many,143.34384155273438
341,2ad00c3c,member,high,few or none,220.72947692871094
342,d39e825f,member,high,few or none,237.4590301513672
343,1040a477,member,high,many,112.6560287475586
344,79785102,nonmember,low,few or none,14.37944221496582
345,70d1672e,member,low,few or none,228.74935913085938
346,e37f7e2d,member,high,many,211.5128173828125
347,45e949be,nonmember,low,few or none,39.18968200683594
348,70624ba0,nonmember,high,few or none,36.944923400878906
349,4e7eb567,nonmember,high,many,53.630645751953125
350,faa85bb4,member,low,many,22.725997924804688
351,6cba6212,member,high,many,170.79672241210938
352,3bf9e3f6,nonmember,high,many,59.63868713378906
353,59a56106,nonmember,low,few or none,35.36738204956055
354,7db980f2,nonmember,low,few or none,22.046703338623047
355,90c4c366,nonmember,low,few or none,55.62767791748047
356,a4a55717,nonmember,low,many,56.37796401977539
357,8613b8e1,member,high,many,131.3911590576172
358,1ae8d787,nonmember,low,few or none,50.547115325927734
359,3a65ef13,member,high,many,132.79469299316406
360,35f989f4,member,high,many,124.09136199951172
361,f42e8ea6,nonmember,low,few or none,42.773780822753906
362,f5dae5ac,nonmember,low,few or none,7.076572418212891
363,adf922c6,nonmember,low,many,49.21992874145508
364,ee4e8a54,nonmember,high,many,54.954410552978516
365,bb3f8fd1,member,high,few or none,228.9711456298828
366,2537b2c1,nonmember,low,few or none,14.851337432861328
367,e2780607,nonmember,low,few or none,29.725364685058594
368,607eac6f,member,high,many,113.13479614257812
369,e1716d49,nonmember,low,few or none,40.42326354980469
370,7854d80a,member,high,many,62.16585922241211
371,ad555f15,nonmember,high,many,54.95897674560547
372,8aaba1b6,member,high,many,74.68309020996094
373,95dc82e2,nonmember,high,many,54.121925354003906
374,98200c0b,member,high,many,88.65045928955078
375,9cce9dc8,nonmember,low,few or none,43.72941970825195
376,cad9eb7f,nonmember,low,few or none,29.824005126953125
377,e5912fe1,nonmember,low,few or none,56.86761474609375
378,2e4ad5bc,nonmember,low,few or none,1.9824867248535156
379,70df9d50,member,low,many,126.57587432861328
380,d20af3b6,nonmember,low,many,49.53360366821289
381,7b746629,member,low,few or none,224.8483123779297
382,484bacfc,nonmember,low,few or none,59.603187561035156
383,c04592a0,nonmember,low,few or none,66.51795959472656
384,ccd94455,nonmember,low,few or none,54.43211364746094
385,e8bec61c,nonmember,low,few or none,66.37940979003906
386,e6ba5401,nonmember,low,few or none,11.891519546508789
387,439828a0,nonmember,low,few or none,81.1162338256836
388,b23023c5,member,high,many,140.71954345703125
389,7a9c3f1b,member,high,few or none,229.6061553955078
390,c58d1777,nonmember,low,many,60.029048919677734
391,1139c446,nonmember,high,many,59.02730941772461
392,30b426e9,member,high,many,130.2772216796875
393,23d21f12,nonmember,high,few or none,15.693517684936523
394,71eddb29,nonmember,low,few or none,41.93638610839844
395,f0084d2d,nonmember,high,many,56.430728912353516
396,84d820df,nonmember,low,few or none,39.73484802246094
397,170679a2,nonmember,low,few or none,68.02809143066406
398,88a7423f,nonmember,high,many,59.55894088745117
399,39cc4499,nonmember,low,few or none,67.53936767578125
400,a3b3a240,nonmember,low,few or none,54.345489501953125
401,13b51118,member,high,many,110.86360168457031
402,96ffd218,nonmember,low,few or none,47.5865364074707
403,b9ffee5b,member,high,few or none,228.82763671875
404,9343a925,nonmember,high,many,54.188507080078125
405,da7aaf5b,nonmember,low,few or none,39.17707824707031
406,57c4f126,nonmember,low,few or none,13.828371047973633
407,f6dc7814,member,high,many,32.40278625488281
408,6f721ed9,nonmember,low,few or none,10.767389297485352
409,747daef6,nonmember,low,few or none,33.83948516845703
410,e2633b1d,member,high,few or none,216.63946533203125
411,65956a8d,member,high,few or none,221.37867736816406
412,baffbf1f,member,high,many,156.94891357421875
413,1bffdcb4,nonmember,low,few or none,16.945045471191406
414,dba574bf,nonmember,low,few or none,40.24037170410156
415,ddfc873c,member,low,few or none,224.02474975585938
416,8e087a65,nonmember,high,many,55.82432174682617
417,b1475c1f,member,low,few or none,219.7095947265625
418,dadb38d0,nonmember,low,many,47.06559371948242
419,ec844d76,nonmember,high,few or none,9.231586456298828
420,dba14af4,nonmember,low,few or none,24.77369499206543
421,71ca7121,member,high,many,151.98764038085938
422,a3f6e8ba,nonmember,low,few or none,64.26838684082031
423,152442b1,member,high,many,94.61770629882812
424,a8559f57,nonmember,low,few or none,25.076393127441406
425,2d03ef0b,nonmember,low,few or none,1.4346580505371094
426,4cd1f6b2,member,high,many,140.84483337402344
427,b371ca82,nonmember,low,many,51.648468017578125
428,c277b966,member,high,many,136.4972686767578
429,2bb40887,nonmember,high,many,49.562747955322266
430,d0553842,nonmember,high,many,55.52150344848633
431,0f50a1ca,nonmember,low,few or none,58.58116912841797
432,b7f4e4d0,nonmember,low,few or none,22.285987854003906
433,132899b1,member,high,many,165.70599365234375
434,eefd77a7,nonmember,low,few or none,2.5684242248535156
435,b261f070,nonmember,low,few or none,79.55533599853516
436,0a351c91,nonmember,low,few or none,19.322031021118164
437,16078b1a,nonmember,low,few or none,8.14706039428711
438,0775ad53,nonmember,high,many,51.644012451171875
439,342225a2,nonmember,low,few or none,80.87982177734375
440,1f548a2c,member,high,few or none,217.90415954589844
441,01a2321e,member,low,few or none,223.10594177246094
442,fc403fac,nonmember,low,few or none,45.34901428222656
443,3a13d70f,nonmember,low,few or none,53.17778015136719
444,606ba44a,member,high,many,79.20708465576172
445,cea1b997,nonmember,low,few or none,55.36050033569336
446,a7fbfdd9,nonmember,low,few or none,1.0115280151367188
447,3835a611,nonmember,high,few or none,53.07849884033203
448,d5dbe3ab,nonmember,low,few or none,30.515735626220703
449,6c730d6a,member,low,few or none,224.95553588867188
450,36cc2849,nonmember,low,few or none,47.57370376586914
451,d0221101,nonmember,low,few or none,63.92588806152344
452,9dd75001,nonmember,low,few or none,71.24656677246094
453,f5a20d28,member,high,many,109.24138641357422
454,719008f9,nonmember,high,many,44.82029724121094
455,d5b80c81,nonmember,low,few or none,23.89954376220703
456,ddcf7539,nonmember,low,few or none,47.879241943359375
457,2ff0eca8,member,high,many,94.74984741210938
458,f6b5943c,nonmember,low,few or none,33.19696807861328
459,a2c83902,nonmember,low,few or none,62.48631286621094
460,901db6df,nonmember,low,few or none,77.76982116699219
461,01b3917d,nonmember,low,few or none,49.956260681152344
462,7291f5e8,member,high,many,147.69137573242188
463,3029364d,nonmember,high,few or none,24.839157104492188
464,da1c9a05,member,low,few or none,224.45338439941406
465,78613f25,nonmember,low,few or none,56.86134338378906
466,ebc108ca,nonmember,high,many,65.30227661132812
467,acbcf382,nonmember,low,few or none,18.372499465942383
468,4022ad83,member,high,many,187.19235229492188
469,29c3f2d0,nonmember,low,few or none,41.09345245361328
470,2d030820,nonmember,low,few or none,73.17127990722656
471,ba6363cc,nonmember,high,many,56.90999221801758
472,14a0ccf2,member,high,many,111.10924530029297
473,81e66444,member,high,many,137.333984375
474,891cf9f2,nonmember,high,many,48.23068618774414
475,992e3e01,member,high,many,107.10153198242188
476,82c6ca27,member,high,many,201.99404907226562
477,8e5c03da,nonmember,low,few or none,83.60579681396484
478,dd877ce8,member,high,many,65.9949951171875
479,1d1dc71f,member,high,many,108.68399047851562
480,50e77aa4,nonmember,low,few or none,17.220317840576172
481,5fab0154,member,low,few or none,213.63351440429688
482,4e224d7c,nonmember,high,few or none,62.07146453857422
483,183bffeb,nonmember,low,few or none,66.68133544921875
484,55327a97,nonmember,low,few or none,23.415523529052734
485,4f4fe1ee,nonmember,low,few or none,39.54439926147461
486,3514ce40,nonmember,low,few or none,58.13542175292969
487,367665dc,nonmember,low,few or none,8.266847610473633
488,7b226129,nonmember,low,few or none,40.81459045410156
489,c9b4b7ec,nonmember,low,few or none,13.624532699584961
490,ffe6005b,member,low,few or none,218.8898162841797
491,575d6d8e,nonmember,low,few or none,11.297527313232422
492,b9ef865a,nonmember,low,few or none,12.807218551635742
493,a3dfe9e6,member,high,many,136.72071838378906
494,6deff198,nonmember,low,few or none,58.17890167236328
495,f416353f,nonmember,low,few or none,48.97852325439453
496,d8d5833e,member,high,few or none,226.31219482421875
497,149f8fb0,member,high,few or none,215.7318115234375
498,deb10014,member,high,many,198.95205688476562
499,1e295b6f,nonmember,low,few or none,41.96809005737305
500,d07c3704,nonmember,low,few or none,53.84809875488281
501,39083156,nonmember,high,many,60.29484176635742
502,967e77f6,nonmember,low,few or none,35.97547912597656
503,56b07f43,nonmember,low,few or none,49.38511657714844
504,78932dee,nonmember,high,many,50.19158172607422
505,0e284ef8,nonmember,low,few or none,31.210575103759766
506,5fc41b79,nonmember,low,many,58.24020767211914
507,87fbd760,member,high,many,129.22422790527344
508,1173e05e,member,high,many,166.8784942626953
509,dc9dd3a5,member,high,many,195.70111083984375
510,b61ed098,nonmember,low,few or none,13.32040023803711
511,e9225455,nonmember,low,few or none,17.778921127319336
512,eb06a37d,member,high,few or none,234.43283081054688
513,58bfefe0,nonmember,high,many,67.10071563720703
514,7578da1e,nonmember,low,few or none,41.88585662841797
515,8e8d5b2e,member,high,many,143.6112518310547
516,52919c2a,nonmember,low,few or none,15.561836242675781
517,bf79f45c,nonmember,low,few or none,42.7158317565918
518,4184b7dc,nonmember,low,few or none,36.00093460083008
519,97fef4f2,nonmember,low,many,56.622100830078125
520,d7b33e53,nonmember,low,few or none,39.84034729003906
521,19246573,nonmember,high,many,50.17746353149414
522,09c28c2d,nonmember,high,many,51.776527404785156
523,ef12ec94,nonmember,low,few or none,53.15716552734375
524,c507f563,nonmember,low,few or none,1.8337783813476562
525,b24e70d6,nonmember,low,few or none,45.00277328491211
526,5d77c2b8,member,high,few or none,226.0856475830078
527,c803fe4d,member,low,few or none,227.8092041015625
528,debb28cb,nonmember,low,many,60.511756896972656
529,7e41af38,nonmember,high,few or none,19.073528289794922
530,1b64f65e,nonmember,low,few or none,50.98881530761719
531,13918009,member,low,few or none,224.8657989501953
532,336e43d2,nonmember,low,few or none,52.82463073730469
533,51aa263a,nonmember,low,few or none,29.4559326171875
534,0060853f,member,high,many,105.18782043457031
535,9bb1b582,member,high,many,120.41728973388672
536,12754e47,member,high,many,126.35491180419922
537,7fd9dada,nonmember,low,few or none,56.04865646362305
538,3af0497d,nonmember,low,few or none,65.15058898925781
539,6927bc82,nonmember,low,few or none,10.517902374267578
