x,y
1.52,13
1.521,10
1.522,7
1.523,12
1.524,11
1.525,16
1.526,16
1.527,12
1.528,11
1.529,8
1.53,5
1.531,9
1.532,7
1.533,10
1.534,17
1.535,12
1.536,14
1.537,7
1.538,11
1.539,13
1.54,12
1.541,13
1.542,12
1.543,9
1.544,10
1.545,13
1.546,18
1.547,9
1.548,13
1.549,9
1.55,11
1.551,11
1.552,12
1.553,6
1.554,8
1.555,14
1.556,10
1.557,18
1.558,11
1.559,10
1.56,17
1.561,7
1.562,10
1.563,12
1.564,12
1.565,9
1.566,15
1.567,14
1.568,7
1.569,16
1.57,4
1.571,13
1.572,13
1.573,12
1.574,8
1.575,15
1.576,13
1.577,15
1.578,12
1.579,12
1.58,15
1.581,12
1.582,9
1.583,11
1.584,9
1.585,13
1.586,10
1.587,7
1.588,4
1.589,10
1.59,13
1.591,6
1.592,14
1.593,7
1.594,17
1.595,6
1.596,11
1.597,14
1.598,12
1.599,12
1.6,13
1.601,12
1.602,11
1.603,13
1.604,10
1.605,14
1.606,15
1.607,10
1.608,11
1.609,16
1.61,11
1.611,13
1.612,8
1.613,13
1.614,10
1.615,16
1.616,16
1.617,8
1.618,12
1.619,14
1.62,6
1.621,9
1.622,14
1.623,10
1.624,12
1.625,14
1.626,8
1.627,12
1.628,17
1.629,7
1.63,14
1.631,13
1.632,10
1.633,13
1.634,10
1.635,9
1.636,8
1.637,14
1.638,9
1.639,17
1.64,5
1.641,8
1.642,3
1.643,11
1.644,19
1.645,4
1.646,9
1.647,8
1.648,11
1.649,18
1.65,7
1.651,12
1.652,7
1.653,12
1.654,16
1.655,12
1.656,7
1.657,13
1.658,7
1.659,5
1.66,14
1.661,12
1.662,18
1.663,11
1.664,16
1.665,12
1.666,12
1.667,13
1.668,13
1.669,12
1.67,10
1.671,10
1.672,10
1.673,13
1.674,6
1.675,10
1.676,10
1.677,10
1.678,12
1.679,20
1.68,8
1.681,9
1.682,10
1.683,5
1.684,13
1.685,11
1.686,9
1.687,11
1.688,15
1.689,8
1.69,13
1.691,12
1.692,10
1.693,7
1.694,12
1.695,13
1.696,12
1.697,11
1.698,11
1.699,15
1.7,11
1.701,17
1.702,22
1.703,16
1.704,10
1.705,18
1.706,11
1.707,10
1.708,16
1.709,5
1.71,5
1.711,14
1.712,6
1.713,17
1.714,14
1.715,11
1.716,9
1.717,21
1.718,13
1.719,11
1.72,8
1.721,9
1.722,12
1.723,16
1.724,12
1.725,8
1.726,16
1.727,14
1.728,18
1.729,9
1.73,11
1.731,18
1.732,11
1.733,11
1.734,8
1.735,13
1.736,10
1.737,14
1.738,10
1.739,11
1.74,12
1.741,16
1.742,16
1.743,14
1.744,10
1.745,13
1.746,10
1.747,18
1.748,10
1.749,10
1.75,13
1.751,12
1.752,12
1.753,11
1.754,14
1.755,11
1.756,9
1.757,16
1.758,15
1.759,11
1.76,10
1.761,17
1.762,13
1.763,9
1.764,7
1.765,17
1.766,13
1.767,15
1.768,8
1.769,10
1.77,10
1.771,16
1.772,18
1.773,14
1.774,14
1.775,18
1.776,15
1.777,15
1.778,7
1.779,13
1.78,13
1.781,15
1.782,14
1.783,16
1.784,14
1.785,11
1.786,3
1.787,10
1.788,12
1.789,11
1.79,11
1.791,10
1.792,11
1.793,7
1.794,4
1.795,17
1.796,17
1.797,11
1.798,6
1.799,14
1.8,17
1.801,13
1.802,13
1.803,13
1.804,13
1.805,14
1.806,12
1.807,16
1.808,12
1.809,12
1.81,7
1.811,10
1.812,8
1.813,12
1.814,13
1.815,9
1.816,10
1.817,9
1.818,16
1.819,17
1.82,16
1.821,13
1.822,14
1.823,18
1.824,15
1.825,11
1.826,5
1.827,10
1.828,15
1.829,18
1.83,9
1.831,9
1.832,16
1.833,20
1.834,12
1.835,15
1.836,14
1.837,14
1.838,17
1.839,5
1.84,5
1.841,13
1.842,13
1.843,13
1.844,12
1.845,15
1.846,19
1.847,11
1.848,15
1.849,12
1.85,15
1.851,17
1.852,15
1.853,15
1.854,14
1.855,15
1.856,21
1.857,15
1.858,11
1.859,12
1.86,11
1.861,12
1.862,10
1.863,13
1.864,8
1.865,11
1.866,23
1.867,14
1.868,24
1.869,15
1.87,12
1.871,9
1.872,13
1.873,10
1.874,8
1.875,10
1.876,13
1.877,16
1.878,9
1.879,14
1.88,15
1.881,12
1.882,7
1.883,10
1.884,11
1.885,18
1.886,10
1.887,11
1.888,7
1.889,12
1.89,13
1.891,10
1.892,15
1.893,12
1.894,11
1.895,15
1.896,18
1.897,19
1.898,8
1.899,9
1.9,17
1.901,7
1.902,14
1.903,10
1.904,11
1.905,13
1.906,17
1.907,19
1.908,17
1.909,16
1.91,7
1.911,13
1.912,15
1.913,13
1.914,13
1.915,18
1.916,15
1.917,10
1.918,11
1.919,11
1.92,9
1.921,14
1.922,12
1.923,14
1.924,18
1.925,16
1.926,12
1.927,12
1.928,13
1.929,15
1.93,11
1.931,11
1.932,9
1.933,10
1.934,12
1.935,13
1.936,16
1.937,17
1.938,18
1.939,7
1.94,6
1.941,13
1.942,17
1.943,17
1.944,8
1.945,22
1.946,18
1.947,13
1.948,20
1.949,14
1.95,14
1.951,6
1.952,16
1.953,15
1.954,16
1.955,12
1.956,10
1.957,14
1.958,20
1.959,10
1.96,18
1.961,13
1.962,15
1.963,12
1.964,11
1.965,12
1.966,16
1.967,16
1.968,15
1.969,13
1.97,14
1.971,13
1.972,14
1.973,16
1.974,15
1.975,14
1.976,16
1.977,13
1.978,17
1.979,18
1.98,7
1.981,11
1.982,16
1.983,17
1.984,13
1.985,15
1.986,8
1.987,12
1.988,14
1.989,14
1.99,5
1.991,9
1.992,14
1.993,20
1.994,20
1.995,25
1.996,16
1.997,14
1.998,15
1.999,17
2,11
2.001,17
2.002,7
2.003,9
2.004,18
2.005,8
2.006,6
2.007,14
2.008,13
2.009,10
2.01,11
2.011,14
2.012,14
2.013,14
2.014,15
2.015,13
2.016,16
2.017,12
2.018,10
2.019,12
2.02,20
2.021,14
2.022,17
2.023,5
2.024,9
2.025,14
2.026,16
2.027,22
2.028,19
2.029,14
2.03,22
2.031,11
2.032,12
2.033,13
2.034,15
2.035,10
2.036,23
2.037,15
2.038,15
2.039,15
2.04,21
2.041,15
2.042,11
2.043,16
2.044,11
2.045,14
2.046,11
2.047,14
2.048,14
2.049,12
2.05,14
2.051,10
2.052,7
2.053,14
2.054,14
2.055,15
2.056,20
2.057,15
2.058,14
2.059,15
2.06,19
2.061,16
2.062,19
2.063,13
2.064,13
2.065,15
2.066,15
2.067,15
2.068,16
2.069,21
2.07,12
2.071,13
2.072,3
2.073,15
2.074,12
2.075,11
2.076,18
2.077,15
2.078,15
2.079,21
2.08,17
2.081,15
2.082,10
2.083,13
2.084,14
2.085,15
2.086,11
2.087,6
2.088,14
2.089,22
2.09,17
2.091,15
2.092,15
2.093,12
2.094,17
2.095,17
2.096,13
2.097,14
2.098,14
2.099,11
2.1,11
2.101,20
2.102,18
2.103,17
2.104,16
2.105,7
2.106,11
2.107,19
2.108,8
2.109,10
2.11,18
2.111,24
2.112,23
2.113,10
2.114,19
2.115,19
2.116,14
2.117,17
2.118,16
2.119,19
2.12,12
2.121,17
2.122,11
2.123,17
2.124,14
2.125,11
2.126,12
2.127,13
2.128,13
2.129,14
2.13,16
2.131,10
2.132,12
2.133,8
2.134,11
2.135,21
2.136,14
2.137,17
2.138,21
2.139,14
2.14,14
2.141,8
2.142,12
2.143,18
2.144,14
2.145,12
2.146,14
2.147,15
2.148,17
2.149,9
2.15,14
2.151,18
2.152,18
2.153,8
2.154,16
2.155,11
2.156,15
2.157,11
2.158,17
2.159,16
2.16,20
2.161,13
2.162,12
2.163,15
2.164,7
2.165,12
2.166,17
2.167,24
2.168,13
2.169,13
2.17,10
2.171,13
2.172,19
2.173,16
2.174,17
2.175,11
2.176,18
2.177,12
2.178,11
2.179,14
2.18,20
2.181,15
2.182,10
2.183,14
2.184,12
2.185,17
2.186,12
2.187,17
2.188,20
2.189,18
2.19,18
2.191,17
2.192,23
2.193,16
2.194,16
2.195,8
2.196,9
2.197,20
2.198,16
2.199,18
2.2,17
2.201,14
2.202,15
2.203,14
2.204,14
2.205,22
2.206,15
2.207,11
2.208,14
2.209,15
2.21,13
2.211,15
2.212,18
2.213,11
2.214,18
2.215,16
2.216,12
2.217,20
2.218,16
2.219,17
2.22,12
2.221,13
2.222,15
2.223,12
2.224,17
2.225,11
2.226,13
2.227,13
2.228,16
2.229,9
2.23,23
2.231,15
2.232,23
2.233,17
2.234,14
2.235,12
2.236,17
2.237,11
2.238,11
2.239,19
2.24,17
2.241,19
2.242,12
2.243,19
2.244,12
2.245,16
2.246,19
2.247,21
2.248,21
2.249,18
2.25,18
2.251,16
2.252,11
2.253,18
2.254,8
2.255,11
2.256,18
2.257,19
2.258,16
2.259,16
2.26,13
2.261,18
2.262,15
2.263,13
2.264,20
2.265,8
2.266,14
2.267,14
2.268,15
2.269,19
2.27,7
2.271,12
2.272,11
2.273,17
2.274,16
2.275,19
2.276,16
2.277,13
2.278,13
2.279,18
2.28,19
2.281,17
2.282,14
2.283,14
2.284,17
2.285,25
2.286,17
2.287,10
2.288,23
2.289,10
2.29,11
2.291,18
2.292,14
2.293,15
2.294,10
2.295,12
2.296,16
2.297,14
2.298,13
2.299,9
2.3,12
2.301,14
2.302,15
2.303,13
2.304,10
2.305,14
2.306,13
2.307,13
2.308,13
2.309,14
2.31,13
2.311,19
2.312,14
2.313,14
2.314,13
2.315,19
2.316,17
2.317,18
2.318,15
2.319,15
2.32,17
2.321,14
2.322,19
2.323,13
2.324,15
2.325,17
2.326,15
2.327,24
2.328,15
2.329,17
2.33,13
2.331,12
2.332,20
2.333,17
2.334,17
2.335,16
2.336,14
2.337,12
2.338,18
2.339,19
2.34,9
2.341,11
2.342,17
2.343,12
2.344,18
2.345,14
2.346,19
2.347,18
2.348,19
2.349,11
2.35,16
2.351,23
2.352,12
2.353,11
2.354,13
2.355,16
2.356,10
2.357,13
2.358,14
2.359,18
2.36,16
2.361,13
2.362,14
2.363,18
2.364,16
2.365,21
2.366,11
2.367,11
2.368,18
2.369,18
2.37,20
2.371,21
2.372,14
2.373,19
2.374,25
2.375,20
2.376,23
2.377,19
2.378,17
2.379,14
2.38,13
2.381,19
2.382,10
2.383,15
2.384,12
2.385,16
2.386,19
2.387,22
2.388,15
2.389,19
2.39,20
2.391,19
2.392,11
2.393,9
2.394,16
2.395,16
2.396,15
2.397,16
2.398,22
2.399,11
2.4,19
2.401,14
2.402,17
2.403,12
2.404,17
2.405,15
2.406,8
2.407,14
2.408,18
2.409,15
2.41,14
2.411,15
2.412,16
2.413,16
2.414,19
2.415,16
2.416,17
2.417,12
2.418,17
2.419,23
2.42,16
2.421,21
2.422,17
2.423,19
2.424,10
2.425,16
2.426,16
2.427,16
2.428,17
2.429,21
2.43,17
2.431,18
2.432,18
2.433,11
2.434,21
2.435,19
2.436,15
2.437,16
2.438,17
2.439,11
2.44,21
2.441,19
2.442,19
2.443,21
2.444,17
2.445,14
2.446,21
2.447,10
2.448,15
2.449,14
2.45,15
2.451,16
2.452,24
2.453,9
2.454,9
2.455,23
2.456,17
2.457,19
2.458,19
2.459,16
2.46,21
2.461,24
2.462,17
2.463,13
2.464,25
2.465,16
2.466,8
2.467,18
2.468,17
2.469,16
2.47,12
2.471,18
2.472,19
2.473,17
2.474,10
2.475,23
2.476,15
2.477,10
2.478,13
2.479,15
2.48,14
2.481,14
2.482,19
2.483,18
2.484,19
2.485,12
2.486,19
2.487,27
2.488,18
2.489,14
2.49,14
2.491,19
2.492,15
2.493,14
2.494,17
2.495,21
2.496,18
2.497,14
2.498,16
2.499,19
2.5,18
2.501,14
2.502,11
2.503,19
2.504,20
2.505,19
2.506,10
2.507,15
2.508,16
2.509,21
2.51,22
2.511,8
2.512,10
2.513,18
2.514,17
2.515,22
2.516,18
2.517,18
2.518,14
2.519,22
2.52,11
2.521,19
2.522,25
2.523,16
2.524,16
2.525,16
2.526,16
2.527,13
2.528,16
2.529,9
2.53,17
2.531,11
2.532,16
2.533,20
2.534,23
2.535,15
2.536,19
2.537,14
2.538,6
2.539,24
2.54,16
2.541,16
2.542,17
2.543,14
2.544,11
2.545,11
2.546,14
2.547,17
2.548,16
2.549,12
2.55,21
2.551,15
2.552,21
2.553,23
2.554,21
2.555,14
2.556,14
2.557,15
2.558,18
2.559,19
2.56,15
2.561,24
2.562,13
2.563,23
2.564,23
2.565,17
2.566,9
2.567,15
2.568,13
2.569,20
2.57,18
2.571,18
2.572,13
2.573,15
2.574,20
2.575,8
2.576,9
2.577,12
2.578,14
2.579,14
2.58,19
2.581,20
2.582,13
2.583,14
2.584,15
2.585,17
2.586,13
2.587,16
2.588,22
2.589,16
2.59,18
2.591,15
2.592,22
2.593,14
2.594,22
2.595,16
2.596,17
2.597,18
2.598,15
2.599,21
2.6,19
2.601,19
2.602,14
2.603,20
2.604,18
2.605,19
2.606,22
2.607,18
2.608,20
2.609,18
2.61,21
2.611,22
2.612,18
2.613,9
2.614,18
2.615,19
2.616,16
2.617,11
2.618,15
2.619,22
2.62,23
2.621,17
2.622,17
2.623,14
2.624,20
2.625,16
2.626,24
2.627,15
2.628,17
2.629,15
2.63,16
2.631,15
2.632,12
2.633,18
2.634,15
2.635,17
2.636,15
2.637,13
2.638,9
2.639,16
2.64,18
2.641,23
2.642,15
2.643,14
2.644,14
2.645,14
2.646,14
2.647,13
2.648,20
2.649,22
2.65,12
2.651,11
2.652,19
2.653,19
2.654,14
2.655,12
2.656,18
2.657,25
2.658,12
2.659,16
2.66,13
2.661,17
2.662,18
2.663,22
2.664,16
2.665,21
2.666,12
2.667,18
2.668,17
2.669,22
2.67,21
2.671,14
2.672,22
2.673,19
2.674,10
2.675,23
2.676,16
2.677,31
2.678,14
2.679,17
2.68,12
2.681,14
2.682,25
2.683,11
2.684,16
2.685,19
2.686,17
2.687,17
2.688,14
2.689,24
2.69,14
2.691,16
2.692,19
2.693,20
2.694,20
2.695,18
2.696,24
2.697,11
2.698,21
2.699,19
2.7,15
2.701,16
2.702,19
2.703,32
2.704,17
2.705,15
2.706,19
2.707,26
2.708,24
2.709,18
2.71,18
2.711,8
2.712,16
2.713,15
2.714,12
2.715,24
2.716,21
2.717,19
2.718,18
2.719,18
2.72,20
2.721,20
2.722,15
2.723,17
2.724,15
2.725,31
2.726,22
2.727,28
2.728,16
2.729,14
2.73,17
2.731,19
2.732,16
2.733,12
2.734,21
2.735,22
2.736,19
2.737,18
2.738,17
2.739,10
2.74,15
2.741,16
2.742,19
2.743,11
2.744,25
2.745,24
2.746,11
2.747,16
2.748,21
2.749,25
2.75,12
2.751,17
2.752,17
2.753,17
2.754,13
2.755,12
2.756,21
2.757,17
2.758,25
2.759,13
2.76,11
2.761,15
2.762,19
2.763,17
2.764,21
2.765,19
2.766,15
2.767,22
2.768,15
2.769,25
2.77,19
2.771,11
2.772,19
2.773,16
2.774,18
2.775,21
2.776,17
2.777,11
2.778,11
2.779,16
2.78,20
2.781,19
2.782,27
2.783,20
2.784,19
2.785,11
2.786,18
2.787,17
2.788,24
2.789,13
2.79,9
2.791,20
2.792,21
2.793,13
2.794,16
2.795,20
2.796,19
2.797,25
2.798,20
2.799,17
2.8,19
2.801,21
2.802,17
2.803,16
2.804,25
2.805,15
2.806,15
2.807,20
2.808,14
2.809,20
2.81,18
2.811,18
2.812,20
2.813,25
2.814,17
2.815,17
2.816,19
2.817,5
2.818,22
2.819,15
2.82,15
2.821,15
2.822,22
2.823,18
2.824,17
2.825,15
2.826,17
2.827,20
2.828,17
2.829,18
2.83,18
2.831,14
2.832,17
2.833,17
2.834,18
2.835,17
2.836,20
2.837,22
2.838,16
2.839,15
2.84,18
2.841,26
2.842,25
2.843,13
2.844,14
2.845,13
2.846,26
2.847,21
2.848,19
2.849,14
2.85,24
2.851,21
2.852,15
2.853,19
2.854,18
2.855,26
2.856,20
2.857,20
2.858,14
2.859,20
2.86,15
2.861,13
2.862,17
2.863,21
2.864,24
2.865,24
2.866,28
2.867,19
2.868,20
2.869,15
2.87,18
2.871,13
2.872,20
2.873,23
2.874,21
2.875,25
2.876,10
2.877,14
2.878,29
2.879,18
2.88,16
2.881,15
2.882,24
2.883,17
2.884,9
2.885,20
2.886,20
2.887,11
2.888,23
2.889,8
2.89,16
2.891,10
2.892,23
2.893,15
2.894,17
2.895,26
2.896,19
2.897,17
2.898,23
2.899,27
2.9,10
2.901,15
2.902,16
2.903,17
2.904,14
2.905,17
2.906,25
2.907,17
2.908,17
2.909,10
2.91,17
2.911,20
2.912,19
2.913,22
2.914,22
2.915,25
2.916,22
2.917,19
2.918,17
2.919,23
2.92,17
2.921,16
2.922,21
2.923,25
2.924,22
2.925,26
2.926,17
2.927,14
2.928,15
2.929,16
2.93,17
2.931,17
2.932,16
2.933,20
2.934,13
2.935,14
2.936,17
2.937,19
2.938,10
2.939,28
2.94,20
2.941,18
2.942,26
2.943,18
2.944,24
2.945,23
2.946,19
2.947,24
2.948,23
2.949,22
2.95,15
2.951,24
2.952,18
2.953,17
2.954,22
2.955,24
2.956,15
2.957,20
2.958,16
2.959,20
2.96,17
2.961,28
2.962,14
2.963,15
2.964,22
2.965,19
2.966,16
2.967,24
2.968,14
2.969,21
2.97,22
2.971,17
2.972,23
2.973,21
2.974,25
2.975,19
2.976,21
2.977,13
2.978,17
2.979,18
2.98,16
2.981,13
2.982,20
2.983,17
2.984,26
2.985,18
2.986,15
2.987,10
2.988,12
2.989,17
2.99,19
2.991,18
2.992,26
2.993,24
2.994,12
2.995,22
2.996,26
2.997,17
2.998,14
2.999,16
3,21
3.001,24
3.002,26
3.003,16
3.004,27
3.005,19
3.006,29
3.007,20
3.008,24
3.009,21
3.01,14
3.011,15
3.012,20
3.013,20
3.014,23
3.015,13
3.016,17
3.017,20
3.018,17
3.019,13
3.02,15
3.021,28
3.022,18
3.023,17
3.024,15
3.025,26
3.026,25
3.027,27
3.028,22
3.029,20
3.03,26
3.031,19
3.032,27
3.033,19
3.034,12
3.035,19
3.036,20
3.037,17
3.038,18
3.039,14
3.04,18
3.041,23
3.042,21
3.043,16
3.044,16
3.045,20
3.046,18
3.047,17
3.048,20
3.049,24
3.05,21
3.051,19
3.052,24
3.053,18
3.054,19
3.055,19
3.056,19
3.057,17
3.058,13
3.059,15
3.06,24
3.061,23
3.062,15
3.063,24
3.064,17
3.065,32
3.066,18
3.067,17
3.068,24
3.069,22
3.07,16
3.071,20
3.072,19
3.073,26
3.074,21
3.075,23
3.076,18
3.077,22
3.078,20
3.079,26
3.08,16
3.081,19
3.082,19
3.083,27
3.084,23
3.085,24
3.086,25
3.087,13
3.088,13
3.089,15
3.09,21
3.091,17
3.092,17
3.093,25
3.094,15
3.095,18
3.096,15
3.097,21
3.098,14
3.099,18
3.1,28
3.101,16
3.102,17
3.103,16
3.104,17
3.105,19
3.106,24
3.107,11
3.108,21
3.109,25
3.11,20
3.111,19
3.112,19
3.113,17
3.114,29
3.115,28
3.116,22
3.117,27
3.118,23
3.119,21
3.12,16
3.121,18
3.122,24
3.123,16
3.124,17
3.125,25
3.126,26
3.127,14
3.128,25
3.129,25
3.13,20
3.131,17
3.132,26
3.133,27
3.134,19
3.135,17
3.136,13
3.137,26
3.138,15
3.139,10
3.14,21
3.141,26
3.142,28
3.143,14
3.144,17
3.145,19
3.146,17
3.147,18
3.148,28
3.149,27
3.15,18
3.151,19
3.152,21
3.153,19
3.154,15
3.155,18
3.156,20
3.157,24
3.158,33
3.159,22
3.16,15
3.161,19
3.162,23
3.163,25
3.164,20
3.165,28
3.166,20
3.167,23
3.168,13
3.169,17
3.17,13
3.171,16
3.172,28
3.173,17
3.174,21
3.175,22
3.176,22
3.177,13
3.178,20
3.179,23
3.18,19
3.181,24
3.182,24
3.183,22
3.184,13
3.185,27
3.186,19
3.187,20
3.188,19
3.189,17
3.19,19
3.191,23
3.192,23
3.193,21
3.194,22
3.195,18
3.196,15
3.197,25
3.198,26
3.199,19
3.2,26
3.201,13
3.202,29
3.203,17
3.204,23
3.205,18
3.206,22
3.207,17
3.208,29
3.209,17
3.21,15
3.211,12
3.212,22
3.213,19
3.214,25
3.215,22
3.216,24
3.217,27
3.218,33
3.219,24
3.22,26
3.221,17
3.222,22
3.223,26
3.224,21
3.225,28
3.226,24
3.227,12
3.228,19
3.229,21
3.23,16
3.231,22
3.232,20
3.233,16
3.234,16
3.235,24
3.236,25
3.237,20
3.238,18
3.239,24
3.24,27
3.241,22
3.242,32
3.243,20
3.244,20
3.245,31
3.246,18
3.247,17
3.248,23
3.249,26
3.25,14
3.251,22
3.252,11
3.253,23
3.254,18
3.255,23
3.256,17
3.257,20
3.258,20
3.259,13
3.26,18
3.261,14
3.262,20
3.263,22
3.264,23
3.265,20
3.266,23
3.267,17
3.268,20
3.269,13
3.27,18
3.271,29
3.272,20
3.273,27
3.274,21
3.275,21
3.276,15
3.277,25
3.278,23
3.279,23
3.28,25
3.281,13
3.282,23
3.283,27
3.284,12
3.285,21
3.286,30
3.287,18
3.288,19
3.289,26
3.29,16
3.291,19
3.292,14
3.293,21
3.294,18
3.295,18
3.296,17
3.297,24
3.298,28
3.299,19
3.3,19
3.301,23
3.302,22
3.303,28
3.304,23
3.305,25
3.306,20
3.307,9
3.308,24
3.309,16
3.31,19
3.311,25
3.312,26
3.313,13
3.314,16
3.315,22
3.316,14
3.317,21
3.318,23
3.319,15
3.32,24
3.321,21
3.322,27
3.323,21
3.324,25
3.325,21
3.326,25
3.327,16
3.328,19
3.329,18
3.33,21
3.331,28
3.332,19
