Guild Membership,Player Skill Level,Time Spent Playing,Side-quest Group Assignment,Customization Level,Side-quest Engagement,Won Items,In-game Purchases,Total Inventory
1,8.04,13.45,0,0.87,0,0,950.61,577.18
1,15.09,27.17,1,0.31,1,0,1719.75,1025.97
0,12.92,22.99,0,0.19,1,0,1386.22,831.38
1,12.68,22.67,0,0.23,1,1,1764.85,1067.7
1,17.16,31.45,1,0.67,1,1,2252.82,1350.67
0,5.21,8.11,1,0.52,0,0,555.52,334.61
0,14.55,27.66,1,0.6,1,1,1907.43,1149.54
1,8.34,14.49,0,0.02,1,0,1001.63,601.13
1,14.06,25.82,1,0.39,1,1,1926.61,1163.47
1,22.21,42.77,0,0.31,1,1,2842.39,1709.96
0,5.43,8.61,0,0.86,1,0,580.2,343.65
1,12.09,20.64,0,0.78,1,1,1675.9,1010.2
0,10.62,18.91,0,0.43,1,0,1147.74,688.47
0,8.73,14.4,0,0.63,1,1,1216.87,730.97
1,24.61,45.41,1,0.05,1,0,2742.56,1647.2
0,7.19,12.01,0,0.64,1,0,762.78,462.27
0,7.87,13.35,1,0.1,1,1,1143.91,682.54
0,7.23,12.2,1,0.71,1,1,1075.5,652.83
0,24.5,46.37,1,0.57,1,1,2967.83,1787.92
1,11.01,18.1,1,0.3,1,0,1244.79,743.71
0,18.21,33.45,1,0.37,1,1,2262.36,1367.21
0,51.07,97.72,1,0.09,1,1,5833.9,3500.47
0,13.12,23.31,1,0.32,1,0,1407.84,847.54
0,29.25,54.43,0,0.97,1,0,3146.19,1885.4
1,36.64,71.82,0,0.49,1,0,4138.67,2487.3
0,29.07,54.24,0,0.47,1,0,3130.25,1875.93
1,12.49,21.43,1,0.63,1,1,1715.85,1031.31
0,20.23,38.33,0,0.48,1,1,2511.51,1494.81
0,6.52,9.59,0,0.36,1,0,666.34,397.45
1,7.17,11.63,0,0.14,1,1,1155.79,691.65
1,7.57,12.91,1,0.63,1,1,1216.85,721.65
0,56.52,110.65,1,0.75,1,1,6495.04,3901.86
1,6.98,11.55,1,0.92,1,1,1143.96,685.45
0,7.63,12.8,1,0.0,1,0,815.71,480.34
1,8.22,11.18,0,0.07,1,1,1196.23,721.75
1,16.16,30.59,0,0.9,1,0,1871.34,1128.25
1,13.36,24.01,0,0.63,1,0,1538.15,922.22
1,24.94,47.9,0,0.96,1,0,2834.08,1692.9
0,17.62,34.07,0,0.43,1,1,2253.9,1343.92
1,4.41,7.22,1,0.42,0,0,585.53,345.19
0,6.48,11.42,0,0.34,1,0,718.29,426.83
0,39.48,74.46,0,0.14,1,0,4256.72,2562.58
0,9.92,17.93,1,0.38,0,0,1084.15,649.47
0,27.41,52.66,0,0.01,1,1,3300.19,1974.75
1,11.23,20.27,0,0.51,1,1,1620.83,970.42
1,6.25,10.17,0,0.85,1,1,1065.01,645.36
1,13.31,22.86,0,0.32,1,0,1500.12,902.85
0,9.08,13.49,1,0.09,1,1,1207.27,725.59
0,7.95,13.53,0,0.97,1,1,1152.77,691.82
1,13.56,25.01,1,0.13,1,1,1877.85,1127.73
0,16.67,30.55,1,0.53,1,0,1798.64,1079.96
1,4.25,6.3,0,0.81,1,0,551.79,330.1
1,10.97,19.9,0,0.25,1,1,1593.94,957.88
1,8.03,14.21,1,0.84,0,0,976.1,584.16
1,7.81,13.24,0,0.56,1,0,935.13,556.8
1,12.27,22.3,0,0.33,1,1,1734.57,1040.42
0,8.46,13.73,1,0.87,1,0,884.6,532.41
1,37.47,71.92,0,0.62,1,0,4180.51,2504.67
0,27.22,50.32,1,0.62,1,1,3220.79,1935.58
0,25.98,49.5,0,0.5,1,1,3132.93,1884.9
0,8.25,14.82,0,0.27,1,1,1206.73,726.74
1,9.51,14.92,1,0.3,1,0,1071.96,640.37
0,12.59,21.96,0,0.09,1,0,1338.06,803.31
0,11.82,20.06,0,0.24,1,0,1244.55,747.49
0,8.78,14.68,1,0.28,1,1,1228.2,738.92
1,5.4,8.54,0,0.06,1,1,976.28,594.22
1,12.19,22.18,0,0.11,1,0,1425.02,849.22
1,9.39,15.53,0,0.27,0,0,1087.18,653.34
1,19.64,37.2,0,0.68,1,0,2250.06,1348.04
0,19.87,36.57,1,0.18,1,0,2140.09,1277.83
0,26.49,49.52,0,0.52,1,0,2862.19,1711.03
1,4.99,7.89,1,0.51,1,1,935.42,566.64
0,18.13,32.5,0,0.83,1,0,1932.81,1152.66
0,7.91,12.1,1,0.61,1,0,806.58,485.44
0,5.25,8.21,0,0.92,1,0,557.9,335.4
0,8.27,14.62,1,0.63,1,1,1200.58,717.06
0,25.73,48.96,1,0.03,1,1,3104.44,1867.84
1,9.65,17.01,0,0.38,1,0,1144.05,680.52
0,33.34,65.09,0,0.7,1,1,3968.77,2379.52
1,17.64,32.57,0,0.48,1,0,2008.47,1199.62
0,8.7,15.33,1,0.42,1,1,1244.02,751.24
0,28.0,53.18,1,0.67,1,0,3044.91,1832.86
0,14.99,28.59,1,0.29,0,0,1654.25,993.79
1,6.94,11.22,1,0.91,0,0,833.37,512.72
0,44.02,85.03,0,0.41,1,1,5105.11,3066.29
1,17.62,32.16,0,0.63,1,0,1995.7,1200.58
1,11.39,20.67,1,0.98,1,1,1640.54,990.36
1,6.21,11.02,0,0.79,1,1,1091.39,652.47
0,25.33,49.24,0,0.53,1,0,2790.27,1676.2
0,21.22,38.34,0,0.86,1,1,2561.56,1533.1
0,21.4,39.72,0,0.56,1,0,2313.68,1381.62
1,8.89,14.14,0,0.44,1,1,1318.8,797.74
0,22.37,41.82,1,0.87,1,1,2723.44,1630.82
1,25.27,47.17,0,0.03,1,1,3129.02,1879.33
1,7.56,13.19,0,0.41,0,0,925.14,563.24
0,4.86,7.48,0,0.34,1,1,817.58,482.5
0,16.85,31.94,1,0.71,1,1,2150.53,1294.57
1,3.87,6.23,0,0.01,1,1,827.97,497.67
0,16.03,28.26,0,0.66,1,1,1998.06,1199.48
0,11.03,18.09,1,0.35,1,0,1144.59,687.05
1,29.12,55.38,0,0.1,1,0,3267.71,1960.72
0,8.7,15.59,0,0.98,1,1,1252.05,754.84
1,25.29,48.11,0,0.21,1,0,2858.08,1709.59
1,8.72,15.55,0,0.35,1,1,1352.02,814.72
1,28.86,53.38,0,0.21,1,1,3493.78,2091.63
0,59.9,117.14,1,0.66,1,0,6557.19,3944.83
0,6.41,10.49,0,0.78,1,1,985.43,591.73
1,15.2,27.71,1,0.86,0,0,1740.61,1045.26
0,80.71,159.23,1,0.31,1,1,9163.37,5507.88
0,11.78,21.49,0,0.52,1,0,1284.42,766.78
0,14.63,26.45,0,0.66,1,1,1873.42,1124.99
0,21.6,39.83,1,0.63,1,1,2623.75,1568.2
0,10.97,20.73,0,0.72,1,1,1520.17,908.25
1,3.49,5.64,1,0.77,0,0,494.15,289.37
0,27.47,52.36,1,0.1,1,0,2994.15,1800.48
0,2.92,4.47,0,0.17,1,0,330.01,200.85
1,8.97,14.95,0,0.73,1,1,1345.95,806.38
1,27.84,53.79,0,0.48,1,1,3455.25,2071.62
0,10.6,17.29,0,0.43,1,1,1398.5,844.96
0,8.31,13.27,0,0.46,1,0,867.21,520.3
1,21.44,39.84,1,0.37,1,1,2718.5,1627.76
1,8.14,12.02,0,0.59,1,0,918.49,556.46
1,5.23,8.25,1,0.32,0,0,659.26,394.85
1,13.69,25.67,0,0.64,0,0,1604.22,965.92
0,11.42,20.09,1,0.2,1,0,1225.07,735.4
1,5.55,8.78,1,0.76,1,1,990.28,605.56
0,20.94,39.13,1,0.78,1,0,2271.2,1361.68
1,17.21,31.68,0,0.58,1,0,1959.89,1165.89
1,9.5,16.68,0,0.37,1,1,1426.32,855.65
1,8.98,16.3,0,0.01,1,1,1388.06,835.17
0,16.03,29.92,0,0.12,1,1,2050.67,1233.7
0,26.56,50.58,1,0.08,1,0,2895.71,1741.47
1,9.77,16.71,0,0.01,1,0,1138.63,680.27
1,25.25,47.1,1,0.72,1,0,2829.79,1705.69
1,17.19,32.26,1,0.96,1,1,2277.47,1372.3
0,25.89,48.53,0,0.01,1,1,3099.52,1861.37
0,12.43,22.86,0,0.11,1,0,1356.69,810.55
1,7.38,11.87,0,0.86,0,0,873.51,533.74
0,8.87,15.23,0,0.69,1,1,1248.24,753.59
1,15.58,28.31,1,0.4,1,0,1778.18,1064.44
0,43.26,84.07,1,0.99,1,0,4737.66,2849.61
1,7.97,14.28,0,0.57,1,0,975.52,586.42
1,23.09,41.75,0,0.67,1,1,2858.7,1723.77
1,9.5,16.23,0,0.65,1,1,1412.66,844.38
0,12.12,21.87,0,0.22,1,1,1613.42,968.05
1,36.38,69.42,0,0.49,1,0,4052.06,2438.14
0,19.3,36.33,1,0.22,1,1,2405.22,1440.79
1,7.57,10.5,0,0.51,1,1,1141.81,684.82
0,10.83,17.79,0,0.03,1,0,1125.41,661.56
0,34.7,65.92,0,0.38,1,0,3762.5,2259.56
0,13.05,23.4,1,0.37,1,1,1702.75,1028.42
0,5.86,8.5,0,0.29,1,1,898.84,535.7
1,9.44,14.14,0,0.08,1,0,1046.29,630.01
0,19.36,36.0,0,0.77,1,0,2098.78,1256.56
1,31.94,59.49,0,0.42,1,0,3531.58,2111.4
1,16.4,28.35,0,0.81,1,1,2120.89,1271.91
0,79.79,155.75,1,0.84,1,1,9012.53,5405.64
1,20.88,38.59,0,0.21,1,0,2350.79,1411.11
0,9.86,17.57,1,0.42,1,0,1071.23,641.21
0,8.65,13.18,1,0.72,1,1,1177.54,714.21
0,6.24,10.04,1,0.5,1,0,664.08,395.66
1,14.43,26.31,0,0.86,1,0,1660.46,995.63
0,9.31,15.1,1,0.57,1,1,1268.99,763.59
1,48.48,92.8,1,0.63,1,0,5355.34,3212.95
1,35.65,67.95,0,0.79,1,1,4273.05,2562.15
1,18.71,35.14,1,0.12,0,0,2140.45,1284.53
0,5.79,8.38,0,0.58,0,0,591.27,357.38
1,8.19,13.35,0,0.09,0,0,959.57,580.24
1,43.26,81.68,0,0.26,1,1,5064.67,3029.21
1,8.12,13.37,1,0.21,1,0,957.79,577.21
1,27.46,50.13,1,0.57,1,0,3026.78,1812.7
1,19.02,35.37,1,0.84,1,1,2461.01,1483.4
0,13.14,23.9,0,0.13,1,1,1722.88,1039.39
0,9.28,13.36,0,0.77,1,1,1214.6,734.39
0,12.06,21.13,0,0.14,1,1,1587.83,950.78
0,13.3,24.21,1,0.19,1,0,1441.77,858.09
0,23.63,45.11,0,0.92,1,1,2884.69,1738.17
0,8.03,12.2,0,0.01,1,1,1116.81,676.93
0,12.42,19.47,1,0.2,0,0,1254.63,742.76
1,14.13,25.42,1,0.22,1,0,1616.99,977.07
0,22.78,42.16,1,0.28,1,1,2752.99,1654.57
1,6.57,10.92,0,0.36,1,1,1102.48,663.15
0,5.47,8.02,1,0.1,1,0,564.38,334.51
1,21.46,39.08,1,0.47,1,0,2395.67,1442.47
1,5.51,7.15,1,0.4,1,0,643.8,383.98
0,31.34,59.43,1,0.62,1,1,3700.45,2218.95
0,13.08,20.95,1,0.87,1,0,1331.58,788.27
0,5.43,7.85,0,0.3,1,0,557.29,330.66
0,8.2,14.6,0,0.55,1,0,894.33,531.64
1,15.68,27.98,1,0.37,1,1,2077.17,1236.92
1,7.87,13.6,0,0.04,1,0,951.82,578.89
0,12.03,22.23,0,0.82,1,1,1617.17,970.68
0,18.48,35.12,1,0.63,1,1,2327.52,1390.39
0,10.46,18.38,0,0.0,1,1,1426.17,851.88
0,6.44,10.76,0,0.25,1,1,995.69,595.51
1,9.14,16.6,0,0.31,1,1,1404.54,840.74
0,32.94,63.47,0,0.81,1,0,3600.74,2164.45
1,36.39,71.3,1,0.76,1,0,4109.52,2464.37
0,3.44,4.43,1,0.4,0,0,356.44,214.36
0,28.14,54.12,1,0.16,1,0,3082.22,1848.01
1,13.83,25.34,1,0.39,1,1,1903.87,1149.14
0,21.57,40.71,0,0.81,0,0,2349.75,1416.74
1,8.35,14.31,0,0.45,1,1,1298.11,779.19
1,4.92,6.18,1,0.12,1,1,880.8,524.75
0,16.69,31.9,1,0.04,1,0,1842.55,1104.98
0,6.57,10.93,0,0.33,1,1,1006.1,589.11
1,4.51,7.15,1,0.15,1,1,890.35,536.78
1,5.01,7.51,1,0.75,1,1,925.81,549.69
1,18.3,34.0,0,0.28,1,0,2086.51,1250.8
0,14.19,24.1,0,0.88,1,1,1780.48,1071.65
1,21.08,39.98,0,0.62,1,1,2705.49,1621.44
0,19.93,37.76,0,0.39,1,1,2479.16,1486.3
1,13.46,21.26,1,0.61,1,1,1760.43,1058.55
1,11.11,20.49,1,0.3,1,1,1621.28,970.98
0,8.46,14.23,1,0.14,1,0,900.33,544.82
1,11.27,20.1,1,0.96,1,1,1619.05,976.3
0,5.65,10.04,1,0.56,1,1,933.67,564.04
1,15.33,28.52,0,0.01,1,1,2072.17,1241.15
0,24.01,45.35,1,0.31,1,0,2614.09,1571.32
1,6.16,10.91,1,0.16,0,0,787.27,468.64
0,38.65,72.94,1,0.26,1,0,4169.78,2501.43
1,14.9,26.2,0,0.06,1,1,1980.72,1176.25
1,14.59,27.11,0,0.25,1,0,1693.3,1021.76
0,4.05,5.92,0,0.68,1,1,732.19,448.95
0,4.3,5.28,1,0.82,1,1,723.54,436.25
1,12.65,22.76,0,0.35,1,0,1465.87,871.62
0,19.7,37.38,0,0.52,1,0,2154.7,1291.73
1,7.94,13.15,1,0.04,1,0,941.68,565.36
0,41.03,79.67,0,0.09,1,1,4790.42,2875.33
1,21.13,38.83,0,0.55,1,1,2670.91,1616.25
0,6.75,10.5,1,0.84,1,0,701.27,419.54
0,15.98,28.02,0,0.09,1,1,1988.36,1191.13
0,75.06,147.17,0,0.42,1,1,8522.2,5115.14
0,5.27,8.58,0,0.97,1,0,570.31,341.47
0,17.36,32.81,0,0.74,1,1,2202.34,1318.66
0,9.38,16.65,0,0.2,0,0,1015.29,600.37
1,18.62,35.12,1,0.29,1,0,2135.27,1284.82
1,28.66,54.3,0,0.95,1,0,3212.12,1922.95
1,10.41,17.32,0,0.22,1,1,1489.3,889.55
0,24.34,46.55,0,0.44,1,1,2960.96,1773.52
1,55.26,107.58,0,0.36,1,1,6439.65,3857.48
0,11.37,21.21,0,0.49,1,1,1555.16,937.38
1,19.56,36.34,0,0.24,1,0,2214.72,1331.44
0,9.2,15.65,0,0.67,0,0,977.42,587.4
0,13.32,23.01,0,0.23,1,1,1706.3,1028.33
0,10.57,18.76,0,0.6,0,0,1140.24,686.3
1,19.03,36.89,0,0.36,1,1,2508.37,1508.96
0,27.97,53.05,1,0.25,1,1,3338.87,2013.44
1,11.33,19.73,0,0.7,1,1,1612.62,973.48
0,33.26,64.67,0,0.97,1,0,3652.95,2192.65
1,34.56,66.98,0,0.87,1,1,4186.06,2507.97
1,21.05,39.88,0,0.09,1,1,2696.99,1611.22
0,8.35,15.01,0,0.45,1,1,1217.74,722.85
0,7.81,14.04,0,0.69,1,0,862.9,522.47
1,6.98,10.97,1,0.56,0,0,827.91,493.96
1,22.37,42.9,1,0.73,1,1,2854.19,1713.91
0,6.5,8.93,0,0.98,1,1,943.14,562.12
1,19.61,35.79,0,0.34,1,0,2203.78,1333.3
1,7.6,10.84,0,0.77,1,1,1155.37,685.24
0,21.88,41.48,1,0.09,1,1,2688.29,1614.67
1,11.03,20.71,0,0.87,1,1,1623.02,973.02
0,28.25,55.01,0,0.78,1,1,3413.77,2049.35
0,27.38,52.4,0,0.52,1,1,3292.71,1975.02
1,30.04,59.09,1,0.82,1,0,3425.3,2050.72
0,33.94,65.61,0,0.67,1,0,3714.86,2223.32
0,16.61,29.65,0,0.55,1,0,1769.94,1072.21
1,5.52,9.18,1,0.95,1,0,701.77,419.57
1,5.67,9.58,0,0.13,1,1,1020.07,614.76
1,3.57,4.66,0,0.99,0,0,468.8,273.31
1,6.03,9.47,1,0.15,1,0,736.26,431.17
1,12.44,22.89,1,0.48,1,1,1759.18,1053.12
0,10.71,17.53,1,0.23,1,0,1111.05,671.0
0,10.4,18.42,0,0.27,1,0,1123.0,673.94
1,22.1,40.22,1,0.63,1,1,2760.8,1654.78
0,11.65,20.24,1,0.03,1,0,1238.76,745.41
1,5.16,8.85,0,0.94,1,1,974.3,582.83
1,11.4,19.44,0,0.28,1,1,1603.1,969.75
0,6.41,10.35,1,0.27,1,0,681.21,415.82
1,9.57,16.42,0,0.86,1,1,1420.67,850.52
1,28.77,55.53,0,0.76,1,1,3553.89,2129.45
0,10.49,18.39,0,0.67,1,1,1427.31,857.02
1,39.37,76.37,0,0.15,1,1,4710.33,2829.33
0,31.23,61.08,1,0.77,1,1,3744.97,2246.62
0,9.11,15.67,0,0.36,1,0,976.93,591.39
1,5.17,8.75,0,0.99,1,0,670.75,403.78
1,12.8,22.85,1,0.67,1,0,1476.71,891.47
1,25.52,49.31,1,0.84,1,1,3204.99,1918.38
1,8.18,14.08,1,0.73,1,1,1279.42,765.69
1,23.74,44.72,0,0.59,0,0,2679.12,1610.14
0,29.26,54.9,0,0.72,1,0,3159.25,1895.82
1,9.66,13.87,0,0.6,1,1,1349.03,809.48
1,7.99,13.82,0,0.05,1,1,1262.89,756.14
0,21.7,40.33,0,0.35,1,1,2644.79,1588.31
0,12.78,23.27,1,0.32,1,1,1688.33,1021.14
1,7.18,12.24,0,0.71,1,0,876.36,515.77
1,10.0,17.72,0,0.58,1,1,1480.37,888.46
1,12.48,22.46,1,0.61,1,0,1448.28,868.43
1,7.42,9.9,0,0.85,1,0,819.03,485.98
1,19.72,37.62,0,0.53,1,0,2263.44,1357.28
1,8.54,14.69,0,0.22,1,1,1318.32,783.79
1,2.82,2.89,0,0.01,0,0,378.09,223.93
0,11.45,20.57,1,0.16,0,0,1239.93,742.62
1,9.07,15.04,1,0.03,1,0,1057.02,634.19
1,44.97,86.67,0,0.24,1,0,4995.94,3006.94
1,7.78,13.69,0,0.63,1,1,1250.28,747.09
1,6.53,10.13,0,0.15,1,1,1078.79,641.65
0,18.83,33.83,1,0.08,1,1,2307.43,1390.42
0,7.3,12.37,1,0.97,1,1,1087.81,631.37
0,8.86,14.13,0,1.0,1,1,1215.35,727.12
0,17.28,31.58,1,0.64,1,0,1858.34,1113.37
0,6.66,10.97,0,0.11,0,0,714.63,424.07
1,5.29,7.0,0,0.82,1,1,926.33,556.32
0,47.34,91.87,0,0.54,1,1,5475.06,3282.79
0,17.74,32.59,1,0.18,1,1,2216.91,1322.44
1,9.5,16.49,0,0.58,1,1,1419.83,855.99
1,14.15,25.36,1,0.04,1,0,1621.4,976.12
0,16.2,29.64,0,0.97,1,0,1750.59,1045.42
1,22.93,43.31,1,0.83,1,1,2894.44,1734.96
1,10.35,15.37,0,0.26,1,0,1129.69,687.09
0,19.82,35.71,0,0.42,0,0,2112.66,1269.84
0,8.7,14.96,0,0.4,1,0,932.49,559.5
1,10.79,19.26,1,0.86,1,1,1567.95,949.85
1,12.79,24.05,1,0.35,1,1,1811.13,1079.57
1,11.36,20.69,0,0.05,1,1,1639.88,974.76
0,19.18,36.29,0,0.21,1,1,2398.93,1441.19
0,17.6,32.36,1,0.22,1,1,2202.84,1326.9
1,4.8,7.45,0,0.95,1,0,611.52,358.36
0,5.64,8.49,1,0.92,1,1,887.35,526.91
0,10.55,17.79,1,0.3,1,1,1410.95,851.53
1,41.21,79.92,0,0.0,1,0,4609.1,2759.7
0,6.45,11.35,1,0.52,0,0,713.51,426.83
1,9.9,17.28,1,0.8,1,1,1463.28,880.02
1,8.44,14.55,0,0.27,1,1,1303.79,788.05
0,8.15,14.05,0,0.44,1,0,879.11,525.93
1,15.43,28.57,0,0.17,0,0,1778.55,1069.59
0,31.68,59.97,1,0.33,1,0,3432.55,2053.33
1,15.41,28.63,1,0.76,1,1,2082.99,1253.74
0,6.26,11.16,0,0.43,0,0,698.48,414.55
0,92.94,182.78,0,0.45,1,1,10480.26,6282.25
1,13.13,23.46,0,0.79,1,1,1811.43,1098.18
0,8.06,13.17,1,0.76,1,0,847.17,517.45
1,30.15,58.43,0,0.19,1,0,3410.9,2047.28
0,9.34,15.94,1,0.42,1,0,996.34,605.54
0,36.07,70.44,0,0.85,0,0,3965.08,2377.42
1,7.93,12.42,0,0.46,1,1,1218.21,731.24
0,34.34,66.36,0,0.66,1,0,3755.64,2252.5
0,12.57,23.55,0,0.31,1,0,1389.15,828.92
1,27.69,53.36,1,0.06,1,1,3435.57,2050.62
1,66.36,128.75,1,0.16,1,0,7330.56,4396.79
1,6.26,9.0,1,0.4,0,0,732.6,446.07
1,29.31,54.77,1,0.35,1,1,3558.3,2137.36
0,5.5,8.26,0,0.9,1,1,873.63,529.25
1,7.69,12.29,1,0.55,1,1,1204.89,725.9
0,10.81,16.85,1,0.63,1,1,1394.5,833.47
1,18.14,33.71,0,0.69,0,0,2067.66,1241.84
0,12.36,21.58,0,0.53,1,0,1314.37,786.96
1,9.75,17.87,1,0.77,1,1,1473.74,879.93
1,14.65,26.04,1,0.78,0,0,1663.89,1002.93
1,18.26,33.96,1,0.35,1,1,2382.42,1423.93
1,18.5,35.04,0,0.08,1,0,2127.5,1273.2
1,30.7,57.83,1,0.99,1,1,3719.81,2243.97
1,41.13,79.58,0,0.64,0,0,4593.95,2759.88
0,11.81,21.15,0,0.71,1,0,1275.13,766.3
0,7.83,13.6,1,0.76,1,0,851.34,499.94
0,17.91,33.9,1,0.61,1,1,2262.77,1358.07
0,5.71,8.56,0,0.47,1,0,593.24,350.12
1,7.52,12.23,0,0.98,1,1,1193.34,716.62
1,22.44,43.04,0,0.73,1,0,2564.94,1538.01
1,11.44,20.32,0,0.85,1,0,1332.55,795.25
1,6.59,9.31,0,0.44,1,1,1058.56,642.0
1,4.56,7.17,0,0.9,1,0,594.42,361.43
0,16.63,28.9,0,0.73,1,1,2048.76,1224.63
0,25.77,49.57,1,0.75,1,1,3126.91,1885.02
0,26.02,48.43,0,0.09,1,1,3105.44,1858.51
0,15.0,26.74,0,0.62,1,0,1602.49,969.82
1,48.01,92.94,1,0.34,1,1,5639.23,3383.49
1,14.7,25.83,1,0.67,1,1,1958.91,1174.34
1,9.75,18.13,0,0.57,1,0,1181.01,716.05
1,4.06,4.16,0,0.11,1,0,477.88,285.9
1,8.31,14.42,1,0.53,1,0,993.12,601.36
