User ID,Side-quest Engagement,In-game Purchases
2e048539,low,225.41
28251571,low,28.24
22f7ac98,low,224.2
4b71bfea,low,21.65
3c66eccb,low,0
112fbc93,low,26.15
29e43c59,low,63.86
f57b868e,low,219.44
a2bad72e,low,215.16
cafa427b,low,225.46
f6f14239,low,223.04
5cb1daa7,low,219.92
340423e0,low,69.32
4b6805bd,low,23.62
2dcc8c19,low,55.24
8f8a277d,low,52.44
cf9ac759,low,16.49
bd50812e,low,229.12
4a55430f,low,12.35
e6025b9f,low,225.39
68c01844,low,52.96
69ef0aee,low,217.01
fa6f9d3e,low,85.31
724b4564,low,12.68
3a1e1567,low,225.26
767f01df,low,231.81
f0ac29bb,low,225.84
332cc667,low,40.06
adf346d2,low,0
0e607cbd,low,38.11
b119634b,low,42.46
c6193ea2,low,230.74
ba77868e,low,17.9
1c62e7b3,low,221.61
076686ef,low,73.59
5b70b3f6,low,214.56
1ef47284,low,9.44
dba500d7,low,228.57
e91409d0,low,46.13
b31c8a7d,low,51.71
dcaed8bd,low,230.81
1804ec86,low,229.36
9024d27a,low,231.78
74a405fc,low,29.97
6c319e0e,low,38.09
272daa7c,low,231.08
86a60ba7,low,225.38
29e51aab,low,4.27
57b315e6,low,0
ae7a8b2f,low,20.25
31be1802,low,215.1
2603de27,low,228.18
93c05e37,low,59.69
0bdff408,low,227.94
0c5b4596,low,218.15
0020cb08,low,24.73
9c955d24,low,218.98
a00f8a53,low,45.09
edb3f659,low,58.64
b1696961,low,60.96
6d6f711f,low,20.39
3fdab051,low,223.38
6bfcb7be,low,223.75
614a57c2,low,63.91
b98482b1,low,212.76
4d52eb14,low,25.41
bced709e,low,235.31
b045af68,low,57.8
7db7e2cc,low,224.41
a007a5cf,low,225.17
d5d7899c,low,34.2
e3dd0707,low,57.66
638874e5,low,14.86
f4946a40,low,228
beb71ee2,low,67.63
d8cace57,low,230.24
66047a7e,low,217.7
39c5e205,low,31.64
1def56e6,low,8.99
6fdf76b0,low,228.56
c535dca7,low,221.1
5e3869e3,low,22.7
f6af8cde,low,212.43
5aa42c27,low,55.67
2bdf302d,low,216.9
02e1f67a,low,0
9b033fc1,low,0
192002aa,low,57.06
881ba193,low,224.4
8895fa25,low,224.47
222b3ffd,low,0
937be3da,low,232.07
b6bfc3d3,low,0
d5a619c1,low,217.49
9dde38d8,low,222.57
aae902d7,low,211.99
0e1003fc,low,33.58
db850b19,low,223.31
62e43c46,low,227.31
17a93889,low,227.03
53dfc004,low,218.56
f509c798,low,43.12
033a935c,low,39.31
27ca9b1e,low,229.01
3a3d1b52,low,232.89
654230ee,low,222.67
fcc44979,low,221.82
0b754f83,low,46.9
4b54ad50,low,25.09
c75ad1bb,low,221.84
a045c632,low,9.58
8fa0aef2,low,44.44
cf53d233,low,35.88
c5fd0a77,low,43.58
417eedec,low,224.1
d1f02517,low,3.97
4f81da75,low,63.77
d7dd118c,low,222.38
705fcfcb,low,222.28
9acf9fd9,low,0
0e142076,low,223.49
f8dcc734,low,61.25
a5aaaf19,low,0
510822c8,low,220.26
bf8b1820,low,44.11
b0f6e50d,low,229.11
d564be9e,low,223.01
512aad1c,low,219.34
cc0e58cb,low,231.51
4e1fb8a4,low,216.25
03bd929d,low,45.94
9f17854f,low,241.3
285ec0c1,low,217.61
99e9f6c1,low,223.19
e361e176,low,0
7863c1ef,low,0
e29989e1,low,222.22
0a196a3e,low,229.46
bf667b6e,low,36.96
90bcb81e,low,228.8
7d2705f8,low,222.09
e5b04ea7,low,30.07
1f989abc,low,0.26
248498b7,low,6.38
39d6228b,low,58.16
48a62962,low,229
f94b84e0,low,45.32
eb73c025,low,0
1e46e410,low,229.3
a04426c4,low,231.82
983167d4,low,55.82
42e35dbb,low,92.5
63e565bc,low,46.93
96750bc6,low,30.98
7cbdd7aa,low,221.58
0ce6105e,low,5.09
222559f2,low,115.38
0b5b82c6,low,38.28
6ee5065f,low,0
64aa9b52,low,217.04
4f7c4695,low,230.31
d72e9597,low,42.01
c048fe47,low,0
7478735a,low,219.17
43f494e3,low,58.82
bac0c991,low,227.02
8a647cea,low,226.31
4fda467c,low,69.91
96af2ba6,low,226.5
4eb628ad,low,38.56
b13ede49,low,0
a4c1327f,low,57.3
8bedc26a,low,62.94
508fcc2f,low,231.29
6bdd81e9,low,235.88
461186f6,low,0
55b18b70,low,0
6c97deaa,low,37.74
dc78adaa,low,223.27
edbddced,low,0
c47cba7c,low,62.95
80301893,low,0
19f53c9c,low,0
9ed72c36,low,226.59
7abbaf68,low,227.69
1c91db31,low,223.3
2922572b,low,46.26
455b1825,low,49.92
7feb34a2,low,63.36
0c14ccc9,low,51.07
0f216d60,low,227.34
087eaf0c,low,227.49
f63bca69,low,27.27
e7f1af6b,low,229.93
cd3c7def,low,28.2
c6a514aa,low,0
a30b58a2,low,220.91
6866c4e0,low,64.12
58f24d3e,low,231.29
d39970af,low,12.49
1712f111,low,10.12
04f6a13f,low,225.89
ee646721,low,218.7
f9b225da,low,0
0f94f074,low,222.69
69b220f5,low,98.97
93abb8f9,low,222.26
36f9b5a2,low,227.32
a58ea5ae,low,216.1
4ab5a06c,low,213.93
e1900c53,low,0
2446c8d3,low,224.67
3d0e45c6,low,222.83
5520ede0,low,12.9
29f61399,low,46.1
f11a5dfb,low,96.14
b705348d,low,4.71
1fd8da2d,low,64.29
f362a1c5,low,237.53
b146e56c,low,225.02
924dfb17,low,224.24
93982eef,low,46.68
555cb7c7,low,4.35
71799685,low,229.35
0bc0ee7a,low,219.68
c0fb97a1,low,221.52
15e6ab0e,low,0
0e979342,low,222.17
483621ca,low,58.47
66c191a7,low,32.46
88c3aff7,low,0
41d50316,low,223.22
ed34e860,low,226.14
0af0b75f,low,220.69
0097ede7,low,17.41
adc4d18d,low,214.99
61aced1b,low,13.87
30f35ed3,low,31.14
6d0720e7,low,231.86
02f6aa95,low,23.4
7f39c0f3,low,221.26
5692c44d,low,228.89
e74f30be,low,29.15
61a5a8bd,low,48.6
3e5fe233,low,18.47
b6fe7546,low,219.04
3607c982,low,222.42
1111c0fc,low,213.96
bf1b582c,low,54.59
4ba55eea,low,32.06
60a3ca68,low,56.13
9bdda0f1,low,231.16
9e658464,low,220.06
ba1a2f3b,low,232.52
a00c0045,low,223.91
61154e02,low,35.37
fe329ae3,low,44.25
dc1bd2ef,low,12.16
1a8f730a,low,220.46
59f3a03a,low,223.73
439a9c7f,low,47.42
306a8e49,low,0
3dd6e4f7,low,217.68
2bcb144e,low,0
410fd24d,low,224.3
4b950184,low,227.68
af1cc896,low,228.39
e81203ea,low,209.75
4d4cdb41,low,13.15
edcf0e6c,low,40.44
f4ec8b61,low,220.63
d745754f,low,221.48
834aeace,low,33.46
9a2c2aca,low,34.17
ff1b0af7,low,225.06
7d283a7d,low,223.53
9bd50bf4,low,231.6
9253cabc,low,219.79
0c0269ba,low,20.19
58be527b,low,34.58
213917a2,low,217.36
6876fe99,low,218.17
2f3a5be9,low,75.81
e7660269,low,46.1
37b8c86f,low,226.45
499473a3,low,225.68
4432044f,low,14.92
323ef4dc,low,217.43
775f320b,low,25.61
5ea6c1dd,low,58.77
9f27d0e9,low,227.23
6579c529,low,226.36
4434c80f,low,232.18
941daa36,low,213.4
8d113754,low,23.4
18797d49,low,223.4
320f8595,low,7.98
a792de61,low,221.33
07f689fd,low,49.27
c1e217f4,low,24.49
a0e3ea1d,low,227.51
3380ef6a,low,0.24
544c8145,low,29.08
0b0b5445,low,223.83
d7537e8a,low,235.6
a1f84add,low,36.11
f852f533,low,222.23
7abd7f1a,low,223.92
5ad4b616,low,221.15
ade30017,low,70.53
103bc2a2,low,226.88
2c6a75d4,low,54.99
6aebb9f4,low,11.25
a8653b18,low,29.02
25f82e6b,low,229.02
1dd085a9,low,224.79
0849c3db,low,217.98
c267ed05,low,78.76
f6c3126b,low,9
f91e9649,low,2.2
399f0f6e,low,31.96
5db86a16,low,224.56
2a11b620,low,222.37
01027358,low,36.38
d2ac9f5a,low,225.47
897ebdfe,low,0
2444565e,low,50.98
37a20b61,low,230.96
dbcf7077,low,17.84
b7a9784c,low,70.29
45f7e78e,low,224.29
050a5f6a,low,220.32
9bf656bb,low,47.35
6014b52f,low,6.45
a3bc32d0,low,227.07
f6bfdfd1,low,28.09
3bbfb92c,low,217.97
b5875331,low,68.15
c93246c6,low,242.41
cb01fdb0,low,231.5
bd965bd8,low,221.27
e14c9d5f,low,0
7eb4bd85,low,41.93
f9494897,low,28.88
b81ba710,low,213.35
a18d01d1,low,220.22
0643dfee,low,51.48
5eddaa02,low,62.04
b0c07095,low,99.64
0258bdf9,low,225.68
356f2142,low,226.79
d2b0d1c4,low,225.53
f4f3f6b6,low,220.15
7174f0a9,low,80.69
e5a43946,low,28.84
e6f3b928,low,0
7d3b13ef,low,220.9
138a06da,low,29.77
12e65a85,low,221.17
9a39a807,low,219.63
81712953,low,223.73
902a9ec8,low,14.95
ac53ade7,low,14.43
ed939fb0,low,36.81
6df7baff,low,228.52
d56f60a0,low,225.35
853b5d05,low,220.16
55cc35b3,low,0
cfa0dacd,low,212.76
56769053,low,0
352f6050,low,65
8940347b,low,0
f76ff150,low,41.27
29105adb,low,45.12
7cc3adb7,low,214.98
f21a9c19,low,74.36
8d2dc0f8,low,227.17
4b3fe857,low,218.49
f628e93f,low,31.76
8f475838,low,39.42
f584aced,low,41.51
8f9f05d4,low,30.36
e67ec5fd,low,32.42
97e40be9,low,234.31
0664d5bb,low,217.23
0931b258,low,223.12
ee449cc8,low,16.06
609bd2c6,low,217
dd27d1fd,low,231.66
7e1f7a7c,low,23.3
7f301326,low,221.58
e0cba2bd,low,53.21
5bf1acff,low,219.87
b8bf5a4b,low,35.7
48f46379,low,225.08
26a8feef,low,223.58
4e8f81d3,low,221.47
6ba8f841,low,222.48
61612ba6,high,93.21
c3e3e97b,high,61.82
9d269645,high,188.76
54daad17,high,124.48
0dcbb2a1,high,46.61
29d46ae6,high,98.16
01cd8670,high,218.1
fff9bfec,high,51.19
04d41abe,high,127.07
b84a0e34,high,75.38
0c443e0b,high,57.6
4ccd1711,high,51.62
01f3fe9e,high,62.51
3e2f8c5f,high,142.83
c3018c94,high,207.84
f2a7e156,high,48
3021dad7,high,55.84
1f241b33,high,48.34
92913423,high,55.82
c8529bd5,high,45.53
8d009b60,high,51.24
2f5af9b6,high,72.35
2be1d6e0,high,66.66
3a254d46,high,97.16
80304340,high,62.11
16664060,high,59.43
d15128c7,high,58.54
0a21446c,high,55.38
7ba78eb9,high,59.2
856de65a,high,64.81
862cd7c5,high,50.55
98714305,high,121.48
7fbca28a,high,76.02
3ec0ca91,high,36.35
4122dbf0,high,101.24
f23236b9,high,56.16
eb2c3276,high,52.85
9f71ad03,high,199.01
c660addd,high,223.56
f8751403,high,110.07
d11d6ad4,high,159.49
933fd0fa,high,90.8
a7ffedf3,high,154.31
312fc8ca,high,59.7
32bae814,high,47.73
919f7848,high,59.81
ac54d6e0,high,74.53
45fa75ea,high,54.58
5f806a9a,high,57.8
22813784,high,45.85
a4631acc,high,50.04
93847ed7,high,115.94
db789338,high,51.4
083d5039,high,56.49
2c0d74bb,high,217.03
3823b223,high,66.96
a6767d1b,high,53.53
1b81ed5b,high,159.14
bd5e2684,high,40.31
6a807c31,high,109.16
6be65658,high,63.51
7dd19110,high,47.6
c0eac215,high,68.01
21f33fd7,high,57.3
2f6575aa,high,120.54
15f0d49c,high,186.07
06d53ae7,high,176.02
61c8670f,high,86.63
4731825e,high,192.37
aee7b56a,high,88.65
5f5d6770,high,126.37
834f7fac,high,31.35
c737bc34,high,180.87
e0505fbc,high,179.48
30fa1c1e,high,54.88
874b95d6,high,53.82
89ce03d3,high,52.42
789fc817,high,96.77
0ce33e71,high,51.15
307c1bcf,high,93.37
41911366,high,75.62
348f8939,high,45.76
c9ef1de7,high,189.89
f204ef5f,high,64.15
139b0c1f,high,100.32
a2f9695e,high,179.61
121382ff,high,63.93
d5543f26,high,62.66
d523268c,high,95.29
321233b3,high,120.71
8f65d028,high,202.23
8e28f98c,high,53.57
b0ba4538,high,276.82
d460c2cc,high,185.98
2926cca5,high,53.58
000cdadc,high,93.92
167d2474,high,97.07
efffbd37,high,160.83
eb2c66d1,high,58.96
4f1c89ac,high,84.66
95cc2996,high,125.63
bc6ac401,high,103.69
9d7e5d17,high,53.7
696edfcd,high,153
b4ba6e2a,high,50.12
173500af,high,46.06
fa1a97d2,high,51.27
d1ec9eb2,high,125.88
85c3669c,high,114.36
5d2aecf4,high,59.69
22dfb5f2,high,154.56
e338d5ae,high,148.1
e821b9ce,high,28.99
0f5bc0a8,high,231.58
13263cab,high,55.33
a07019ca,high,135.35
4b5f8c4a,high,101.27
4826dba1,high,50.69
34dc6a0f,high,61.58
023b0aa0,high,200.13
abbda131,high,149.65
3827cc02,high,54.78
d75c9a79,high,224.36
5c9746cd,high,65.32
197ba781,high,64.43
af1e782b,high,50.2
c6cfe3f4,high,151.16
855d4673,high,106.95
dc48c619,high,100.84
0b761b5c,high,224.64
4af705e8,high,51.42
d5b7b6fc,high,160.2
b64650e0,high,48.69
a39661c6,high,141.64
e740c033,high,58.73
a2d7f2b4,high,151.06
cf344004,high,48.33
ebadecad,high,57.4
631e56bb,high,56.73
f692c404,high,160.47
5d870b49,high,80.4
a735c850,high,151.53
dda90efb,high,265.78
dc11649f,high,54.05
bf1e1209,high,66.98
e17ea0f5,high,202.12
97373fa3,high,58.55
84d93ef6,high,159.07
31508f52,high,98.57
35c73faa,high,140.91
2c81c4b0,high,121.9
04dd85df,high,54.32
7dc0fe34,high,56.77
db90e977,high,42.06
620f7b8e,high,173.19
efccaa98,high,34.45
429342ac,high,49.33
cba2c27d,high,43.24
c18d05c6,high,136.89
38821e7b,high,117.51
ade98441,high,124.66
0c652ca8,high,59.21
f9af2b74,high,52.66
a33cccf9,high,61.19
e8597e5d,high,49.45
e9f132c1,high,38.95
851ea219,high,52.6
5429f333,high,57.11
2b602509,high,62.44
e97c8ee4,high,64.62
5ad17dd4,high,51.47
e8c7d747,high,157.5
75f21e60,high,57.49
4c93f531,high,50.39
94e043c5,high,176.34
11b6725d,high,183.1
fc5e3b6d,high,198.54
b33582f6,high,155.21
2a1de5e3,high,152.55
8f425091,high,67.43
b82ea1f0,high,7.05
06d8bf1a,high,208.08
84cd36c7,high,47.52
1a14b7cb,high,51.81
65d6783b,high,64.33
9626505e,high,57.31
8e894340,high,59.29
daa84639,high,140.41
bf5bd887,high,131.91
77ea5e9f,high,60.77
779035d2,high,47.68
8ea7f5ff,high,54.19
17c92495,high,56.14
06b52256,high,58.23
4b7b812e,high,60.86
59a0fcb7,high,63.57
e6d6b9b3,high,160.75
3cc3a16d,high,138.97
5180c978,high,54.52
b9cab055,high,54.37
c90ed4a6,high,59.33
dfa5be4c,high,52.14
d2950b13,high,76.78
6a4bc94f,high,54.91
4d41cc23,high,44.79
d0dde982,high,56.25
12313b11,high,57.14
4e56023a,high,162.08
267e8e3d,high,53.05
d7569dac,high,102.49
5ed69be6,high,63.04
2b94e1ff,high,113.54
fe73fd68,high,110.54
5115dcec,high,17.27
534a64a1,high,52.1
3fb2e7fa,high,51.77
a24f3230,high,185.12
6f3f0ade,high,61.44
60fc61f6,high,57.29
c121afb1,high,205.91
6319b3a0,high,76.44
43875b1b,high,61.06
5710fef9,high,58.74
e5ddab2c,high,51.13
f7549204,high,50.53
70aa45c1,high,156.69
c5631965,high,51.21
4afb2e7d,high,146.51
50686d5a,high,63.15
8a313518,high,157.35
486a395c,high,104.26
9a06a6b0,high,58.16
3acfa04f,high,50.17
c16fc9a1,high,76.45
9789e873,high,93.18
4757e57d,high,56.6
1b44e241,high,112.11
1a1ffb9a,high,125.77
5756c0bc,high,114.35
d21db54c,high,42.92
1d61c3da,high,49.73
68ed6abf,high,59.44
63f7c66c,high,50.38
be0d4d3b,high,61.31
817b84bd,high,132.68
044c691b,high,113.5
ce612c40,high,54.77
d516df7c,high,57.37
0b4df7a9,high,61.97
4136eb24,high,43.27
3eeb950e,high,90.79
1cbd3e51,high,122
31bd77d7,high,67.19
ef355cbf,high,52.93
300c05a7,high,54.92
fae23c7b,high,121.61
da439e52,high,132.43
2f0f371d,high,62.38
8c570812,high,81.59
10154494,high,56.26
1d83a1f6,high,139.91
e510430e,high,128.62
86bf37ea,high,135.27
42f799ae,high,64.76
dc9da291,high,152.24
fa59cd50,high,53.55
ffe62e85,high,65.63
8f9c862a,high,47.87
5c115550,high,63.16
a9a16e36,high,46.7
841a24c3,high,62.92
598de7c1,high,259.25
158d88ff,high,149.65
521119e1,high,88.66
7608a0d8,high,66.52
09da3e0d,high,191.85
daadeef3,high,61.11
62386a7f,high,48.54
134a6452,high,56.04
a09ab3a9,high,69.78
091a4d68,high,166.05
09f4fa10,high,50.02
25e691be,high,159.18
358ad2cd,high,53.88
74ccaaec,high,149.98
66e567f4,high,113.94
ba95540a,high,146.23
e4d48ef8,high,122.24
6eb1c498,high,115.29
a959e634,high,197.91
44ff46f6,high,129.15
aef2cff9,high,139.44
7b53b2cc,high,54.09
9fea9834,high,60.96
d0581d07,high,51.58
7405979d,high,55.36
35919921,high,112.4
dc79efc1,high,120.08
5be46b0c,high,166.49
250ae920,high,53.33
417d5c82,high,51.1
98114f7f,high,48.82
53b23f71,high,205.16
8ec4f719,high,133.53
54209f1d,high,46.4
3829fcf6,high,144.39
ad19bbd8,high,180.78
1a56e769,high,55.59
30588081,high,152.44
06894d66,high,56.83
394f993e,high,161.98
54ae278d,high,99.84
f25fe64e,high,125.1
91951a54,high,54.2
8b897c9f,high,63.52
edf2d972,high,149.35
748a0174,high,165.72
acff7037,high,94.39
0bf8f95e,high,55.19
94b22000,high,57.25
024968b4,high,197.2
b6b24923,high,52.69
fa792766,high,53.32
5eb0c7e6,high,175.42
75a2b58b,high,98.21
339aa15c,high,30.73
e80305e2,high,95.79
c8570f92,high,61.09
653b8169,high,60.62
979ac7a5,high,124.22
8e6c47ba,high,65.32
3132bc4a,high,47.73
568eaee1,high,55.33
47abb79e,high,66.26
40fef74e,high,55.04
90076ff0,high,53.97
acea12ac,high,128.86
498f4a98,high,199.88
0feebc3b,high,58.88
f771ca8d,high,175.72
5da246fd,high,69.43
3d548cee,high,54.79
f80570dc,high,53.48
04db667e,high,97.46
c75465b9,high,145.64
dedf607f,high,52.93
ad798e56,high,159.19
910d730c,high,50.23
44feef6b,high,62.82
0abb066d,high,190.76
f64251ef,high,156.34
58d55f4d,high,61.01
dbe2f2c7,high,233.55
f164353e,high,129.61
67295f1c,high,118.24
51ab6094,high,65.74
b8266c3d,high,120.17
f3b74459,high,50.26
d807b041,high,52.03
4137905d,high,55.21
7d3dbff7,high,52.61
62c4b942,high,45.75
9297c12f,high,51.46
0b2fa535,high,84.98
435d65fd,high,60.85
f28b8cd2,high,65.1
c1f906ed,high,77.35
281b6580,high,51.8
7b31d929,high,133.9
1d1003aa,high,139.1
eeb0c60f,high,54.42
8ed647d9,high,234.18
19fecfbd,high,134.36
55efc035,high,45.28
4e180cf9,high,85.67
420b6ce8,high,236.17
ea920aa0,high,76.45
fae3d8c1,high,66.06
7d6c1a1a,high,146.42
b7213325,high,52.42
34cc602d,high,55.9
be587e11,high,137.97
3bb11cc8,high,52.82
6fd2f98d,high,177.35
88be8942,high,170.78
129c2118,high,181.81
a00aa0d9,high,61.85
2a04c16a,high,57.09
947ab5b7,high,58.01
cb8dcffa,high,169.3
f3c14a0b,high,133.29
ccb94f78,high,180.61
543033be,high,68.54
dc96b9d7,high,148.35
49b6be13,high,56.39
d263d303,high,47.01
408ccf92,high,60.2
12ff063e,high,55.94
1bc772e5,high,65.3
015b972c,high,111.16
c12d6fe4,high,47.2
58f225c7,high,22.89
24a0e8d4,high,52.51
a8845e20,high,62.46
fa8b7c23,high,56.04
752bf252,high,129.15
106a1064,high,52.78
600b6e15,high,50.03
e6adbcfc,high,51.19
d48d7313,high,41.98
f9a83127,high,58.39
d5da85c9,high,52.69
f8b0faec,high,75.59
43ee4831,high,55.56
0fa9c5eb,high,55.8
a1187b9f,high,68.52
a93e58d1,high,45.91
43242b24,high,179.62
f39a2fb8,high,197.06
091164a1,high,57.56
e22bf9aa,high,89.88
fdddfa0f,high,172.13
b683f8c3,high,132.18
542bd620,high,148.32
fae4ae1a,high,51.13
88ca44c8,high,60.95
1510feff,high,51.66
8e164506,high,75.88
209af30b,high,114.94
4106ec0b,high,57.54
1a81bd92,high,138.27
50dc58cb,high,53.49
2f5772d5,high,86.83
bf6b7a54,high,45.85
50c85c9b,high,51.34
221ba025,high,54.61
706833cd,high,47.74
7e6deec0,high,147.02
23722e3c,high,58.46
e3faae10,high,152.79
4931c010,high,154.79
efa0bf61,high,191.64
c02e1d81,high,88.04
706dd726,high,155.44
3fa967f1,high,63.52
68593d93,high,30.53
02323a2a,high,90.95
5145ff8e,high,44.58
cfaee9d6,high,54.08
15c6b95a,high,54.17
b0c5775f,high,56.93
cdf77b25,high,151.72
3b83a555,high,48.29
14710f8e,high,59.08
9a191584,high,120.32
fafe5c70,high,55.22
3701fd4d,high,75.57
f4fd6c38,high,46.31
f9598987,high,119.51
1927b0ce,high,90.19
0e15b5c0,high,27.25
ed06cad3,high,52.84
9a41b31c,high,63.69
4e0b5d67,high,30.57
88434760,high,120.75
43d272f8,high,58.98
05f7fc36,high,52.94
f278abb8,high,164.83
c3eb2f55,high,53.36
9a09ce59,high,95.24
64a218e0,high,51.39
2f380d38,high,118.26
2d0a9f0d,high,92.77
6c224ad9,high,126.65
15f807d2,high,46.67
ab1d1ad9,high,96.49
9408f08f,high,58.7
d3e6f2f0,high,153.02
3a21bd6d,high,50.17
6ff021cf,high,52.94
175b71c3,high,152.07
5bdd4e6e,high,53.71
58685ab9,high,86.87
ed0b33cd,high,52.89
b9c0d014,high,29
1c87866d,high,119.18
9fa8caa3,high,57.52
f3add9f5,high,116.08
50073505,high,150.08
57a2c28e,high,45.93
21d985e7,high,66.86
2103a34e,high,63.11
ed91f04f,high,55.28
c285b182,high,176.83
6cd09d29,high,50.75
443e5f4d,high,159.24
ac719eae,high,54.7
f3c4a0cd,high,181.06
d3f21f90,high,67.45
75be6918,high,45.18
