,King,Prince,Kingdom,Distribution
69,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
70,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
71,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
72,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
73,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
74,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
75,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
76,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
77,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
78,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
79,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
80,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
81,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
82,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
83,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
84,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
85,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
86,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
87,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
88,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
89,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
90,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
91,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
92,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
93,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
94,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
95,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
96,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
97,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
98,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
99,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
100,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
101,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
102,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
103,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
104,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
105,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
106,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
107,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
108,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
109,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
110,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
111,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
112,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
113,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
114,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
115,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
116,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
117,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
118,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
119,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
120,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
121,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
122,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
123,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
124,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
125,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
126,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
127,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
128,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
129,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
130,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
131,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
132,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
133,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
134,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
135,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
136,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
137,"The respected king suddenly falls victim to the terrible illness, unable to rule effectively over the realm","His courageous Prince takes command, leading the kingdom's army to victory in battle after battle","As a result, the kingdom flourishes under the prince's wise rule, ushering in a new era of",observational
